[670.777] left_eye_9: lefteye_9 subscribed with Twitch Prime. They've subscribed for 14 months! 
[670.890] (M)Moobot: @LEFTEYE_9さん、14ヶ月目のサブスク登録更新！ありがとうございます！
[671.234] anabebe88: じゃあ四万ほど徴収しましょう
[675.027] ぴろぴろまる: 130%もらおう
[677.742] Rieetion: 私はあなたを愛します
[678.688] syan8011: ikazu
[679.827] wahaha7788: 流石に昨日は運がなさ過ぎたね
[680.697] Rieetion: !私はあなたを愛します!!!
[681.914] gedow_nukky: umeGrin
[683.947] ドーガゼー: 視聴者血も涙もなくて草
[689.361] late0211: late0211 subscribed with Twitch Prime. They've subscribed for 14 months! 
[689.454] (M)Moobot: @LATE0211 with the 14 months re-sub! 
[690.594] beer4649: ミルダムランキングでかなり違うから
[691.339] 総フロ: ウメレイドはＫＳＫを救う
[695.485] lucentsnow: ウメちゃんはそういう契約もないのか
[695.978] (S)user81023: メンツでしょｗ
[702.561] ememeume: そんなシステムなのか
[705.428] あばたあ: あばたりあん subscribed with Twitch Prime. 
[705.535] (M)Moobot: @AVATARIAN24さんTwitch Prime登録ありがとうございます！
[712.041] woodmud: 理想の客だったか
[714.544] (S)zappnn: ｗｗｗ
[716.261] Rieetion: 私はグーグル翻訳を使いました、私は日本語を話しません
[716.625] ememeume: 良いお客w
[717.083] ぴろぴろまる: しょうへいもミルダム行くって
[717.537] TeabaggingScorpion: hello daigo 
[718.407] Rieetion: !私はグーグル翻訳を使いました、私は日本語を話しません!
[718.694] lesame: 昨日は完全にヤクザだった
[719.632] ryokucha_: 昨日のは事故、分かってるね
[719.984] ryou7144: 今話作った？
[723.780] 電動マッサージ器: umeOuroboros
[724.036] hachi77777: それが普通ですよｗｗｗ
[725.229] だいこん_: 煽ったら灰皿ソニック飛んでくるわｗ
[727.160] lucentsnow: 酒のんで打ったりもしなかったの？
[730.035] gedow_nukky: umeYay
[731.552] wahaha7788: ミルダムまだサブスクできないの？
[735.485] dekamega: 雀荘でためてたものを全部吐き出すかのような昨日の卓
[736.037] 将門ゴルゴロ: 獄辛ペヤング食べて配信辞めてもウメちゃんは困らないけど、困る奴らは居るよな？
[736.501] (S)zappnn: 昨日まじ口悪かったｗ
[741.746] beer4649: 一時間ランキングで全然違うミルダム１位ならたしか時給１０００円のはず
[742.226] seirogannzei: umeNekorobu
[742.234] tyapa95: ルール分からなくても煽りがおもろいから麻雀見れる
[744.457] lesame: 他の配信でうめちゃんって怖い人なんですねって空気がおもしろかった
[745.499] ドーガゼー: 質悪い奴も多そうね
[745.652] (S)omedetroit: umeShave
[753.637] (S)kotatsunoko: 面白かったなー
[753.801] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[757.505] shuhei5623: 今日は16万点で逆転して下さい
[757.804] (S)のぶ_: 麻雀界のガンジーやぞ
[760.225] 不渡哲也: 免疫力上げるために胃腸を整えるのはすごく大事。激辛食べると胃腸が荒れる可能性あるのでまじで今は獄激辛はやめたほうが
[761.023] 超アンディー: おかげで昨日はメッチャ面白かったわ
[767.000] (S)yuuubin: umeJam
[767.250] ayataka33: おもしろかったw
[770.163] meganesandesuyo: アルティマの下りは面白かったww
[770.368] (S)ebithunder: 昨日のメンツでいいけどな
[773.212] (S)ebimayoo: 麻雀中にいろんな客観察してたんだね
[776.202] oimo: 会話ってかラジオ代わりでも十分面白い麻雀
[776.946] (S)子亀の親分: にゃん師は強打とかしそう
[777.343] dekamega: ウメちゃん「ゴミどもが・・・」って３０回以上言ってたからねｗ
[777.783] だいこん_: 雀荘いったことないけどフリー行く度胸がすごいわ。ムリ。
[778.154] (S)askrsu: askrsu subscribed with Twitch Prime. They've subscribed for 7 months! おはようございまする
[778.260] (M)Moobot: Thanks for subbing for 7 months, @ASKRSU 
[782.022] ぴろぴろまる: 三太郎のかわりにこく
[787.311] ミヤ0085: 先に牛乳飲んでおいてね？
[788.561] woodmud: 昨日は数少ない勝負所ぜんぶダメだった
[789.649] (S)Temujin9000: Praise be HyperX, Redbull, Twitchtv, Beastv, Moment#37, lord Daigo. For he love the FGC that he sacrificed Ryu for SFV sins. Amen.
[789.721] Rieetion: Rieetion subscribed at Tier 1. 
[789.780] (M)Moobot: RIEETIONさん、サブスク登録ありがとうございます！_(. _ .)_
[792.882] matsu_zalem: にゃん師さんは、まだ雪山で料理人しかしていないから、麻雀で力を発揮してもらいたい。
[794.711] gedow_nukky: umeSmoosh
[795.267] TEIKETTO: 板ザンが本当に面白いw
[801.912] natoooji: 昨日は事故物件引いちゃったからね
[802.032] ~MISSING_COMMENTER_INFO~: 吉ケンさんを煽ってるのも見てみたいなw
[802.913] ememeume: にゃんしさん来たらもっと口悪くなりそうで楽しみ笑
[803.139] (S)maddy2623: 雪山がラストエリクサーなら麻雀はハイポーションくらいには擦れるくらい面白かった
[803.440] hachi77777: 熊退治とかしたら伝説になりますよｗ
[806.989] (S)hayama01: umeSmoosh
[807.245] reaoamiaca: 昨日のメンツだとマサがやっぱり一番うまい？
[810.857] wahaha7788: URLの画像のウメちゃんはいつのウメちゃん？
[811.012] gedow_nukky: umeDuo
[811.376] obo_006: 配信環境ととのったときどを呼ぼう！
[812.303] tonyudx2025: 雀荘っていくら持っていけば遊べる？
