[1782.565] (S)shupii0907: わかる
[1783.240] h2hiroyuki: 練習はあるあるよねｗ
[1785.552] ilm0806: 指弾って、とぐろかな
[1797.261] kamadango: 二重の極み
[1810.590] orange016: とぐろだねぇ笑
[1815.117] ilm0806: 三重の極みには、笑った
[1816.155] amadori3: なぎはらえ
[1816.728] (S)matsu_zalem: ネビュラチェーン！
[1817.475] lutz001: 陸奥圓明流とかいう日本の偉人を大体倒してしまった流派
[1819.125] のな: かめはめ波と霊丸の二択や
[1820.993] ttp_hayato: めっちゃわかるｗ
[1821.383] 動画勢: アトミックレイ
[1822.024] izumih71128: わかる
[1841.468] ilm0806: 実に梅ちゃんは、面倒くさい
[1841.714] madcap_laughs_: 修羅の門ならイカヅチとかやりたくなる
[1844.273] gao1129: 通常攻撃よねあれ
[1848.205] hachi_mitsu: 必殺技は結果的に何回も出すから特別感ないのかな
[1848.792] OGPG_mendokusai: パロスペッシャル
[1850.368] ttp_hayato: 薙ぎ払ってややタイムラグがあって下からドカーンって爆風が真上にあがるやつ最高
[1851.470] (S)サラバア: スポーツだけどドッジ弾平のスイッチショットは練習した
[1852.085] suginaka56: 富田流の金剛は実在するらしいけど
[1855.755] 鉢植: メイプルリーフクラッチ
[1856.323] すなかわかのん: ドライブシュートとかやりますよね
[1856.677] h2hiroyuki: 通常攻撃が全体攻撃で？
[1872.252] (S)matsu_zalem: ギャラクティカマグナム
[1877.701] higashimurayama: 巨人兵が格ゲーキャラならあれは必殺技な気がする
[1878.794] (S)zak1818: 地獄の断頭台
[1891.591] (S)redbull_daisuki: 投げやりw
[1893.770] (S)naka105: クロスボンバー
[1899.494] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1921.412] balthazar000: 北海道まで電波届いてたか〜
[1939.147] (S)matsu_zalem: テレビ千鳥は見たほうがいい
[1943.316] Hempmind: I wonder what Daigo's favourite sandwich is.
[1945.387] かげでん: あいのり見てるんでは？
[1950.696] のな: NHKの７２時間だけたまに見てる
[1950.983] (S)verdict5557: 女の６０分
[1954.051] 鉢植: 恋のから騒ぎ
[1988.147] (S)sdy_hs: Gコードw
[1995.103] (S)lyo0822: 水ダウ
[2016.542] (S)わたあめちゃんですね: xxxxyayaxxxx subscribed with Twitch Prime. They've subscribed for 9 months! 
[2016.640] (M)Moobot: @XXXXYAYAXXXXさん、サブスク登録9ヶ月目！
[2044.279] diediedying: 勝ちたがりは見ないのか
[2053.366] あっと驚くイマイさん: ほん怖があるときは見るね
[2056.398] ilm0806: 梅ちゃん、トパンガや勝ちたがりみないでしょ
[2069.179] balthazar000: 火水はTOPANGA番組よなぁ
[2091.772] (S)matsu_zalem: ノンフィクションはアル中の人に鍋の材料を買ってもらうために金渡したら酒買ってきたのは笑った。
[2095.170] のな: ももちの配信見たいけど１７時間とかやるから見きれない
[2100.952] amadori3: ふっるｗ
[2107.299] amadori3: 埋蔵金か
[2107.994] 桜風かなた: 笑うセールスマンブームは異常だった
[2181.763] 山田たろう太郎: 草ｗ
[2184.021] ぼぜ: やべえｗ
[2190.241] rotonz: うわあああああ
[2190.440] 動画勢: クロダか？
[2194.968] (S)lyo0822: お蔵入りにはならなかった
[2200.683] 桜風かなた: 撮影中に殺された事件なんてのがあったような気がする
[2201.936] (S)yamasa141414: あえての
[2212.080] gamuq: クロダ…
[2233.471] (S)matsu_zalem: ウメさん、「ゆきゆきて神軍」は見てるのかな
[2252.471] (S)naka105: やらせ
[2254.577] higashimurayama: サービス精神かも
[2255.402] orange016: 曜日時間帯も独特なんだよなぁ
[2263.376] あっと驚くイマイさん: 演出といいな
[2302.259] ZeeZee0001: I dont know if you can read this but youre the reason I got into fighting games daigo
[2306.879] (S)lyo0822: へー
[2313.508] あっと驚くイマイさん: いやだそんなん
[2330.072] 記入漏れ: 半分も過ぎてしまっていた、こんばんは
[2336.373] izumih71128: ももチョコもノーナレでちょっとケンカしてましたね 
[2367.985] かげでん: ももチョコは映画でけんかしてたね
[2385.576] (S)yamasa141414: 草
[2386.289] ぼぜ: オガちゃんｗ
[2387.100] あっと驚くイマイさん: ｗｗｗ
[2387.108] 山田たろう太郎: おがちゃんｗ
[2389.510] (S)lyo0822: オガちゃん？
[2390.047] amadori3: おがちゃんｗ
[2390.368] ttp_hayato: ｗｗｗ
[2407.937] amadori3: ミカドで切れてたな～
[2410.232] pontarou: ちゃんと怒ってくれてるんだろ
[2413.698] higashimurayama: 修羅とかした兄ケン?
[2417.731] ぼぜ: ゆで卵を剥くオガちゃんすき
[2418.380] suginaka56: 兄ケン嘘っぽかったけど
[2433.030] gowest2018: 関西ノリ
[2433.913] (S)lyo0822: はぁ？！ってやつか
[2443.311] pontarou: 求められてるなって感じたんだろ
[2447.001] (S)shupii0907: 兄さん辛そうやったなぁ
[2452.228] natuoman: 小川とまちゃぼ～は一番ガチっぽかった
[2460.128] fox_boe: ん？
[2461.003] (S)さくらうめきち: 兄ケンのあのリアクションは忘れないな
[2461.744] suginaka56: えええ
[2463.979] あっと驚くイマイさん: 小川の、実際そうじゃん。て言ってたのは本気やなと思った
[2466.753] (S)さくらうめきち: あれは怖かった
[2466.834] ilm0806: 獣道の話をするって言ってたけど、全然ないもんな
[2483.189] かげでん: ゆうゆう怖かった
