[1327.054] (S)brocco_lin: ないす！
[1327.313] (S)misa0915: ないす！
[1327.620] karin_911: ないす！
[1327.674] infj_04_: ないすー！
[1327.705] saria_0302: うまー！
[1329.138] まっささん: ないす〜
[1329.365] (S)でざお: わこさか～
[1330.704] ssdkouki: わこさかー
[1330.999] (S)5353_417gr: ないすー
[1331.086] (S)michikaaa_: www
[1331.840] (S)maitiko0323: ないすー！
[1332.448] ray00014: ないす！！
[1336.031] (S)nnk_pop: cheer500
[1403.357] (S)たかたに: わこさかー
[1412.309] ryokucha47: こんばんはです！
[1421.817] ken74598: わこさかー
[1428.155] (S)モンタロー: ありさん、こんばんわ
[1434.116] (S)りあ㌨: わこさか〜
[1460.784] (S)キレる17秒前: わこさかあああ
[1463.217] まっささん: つよ〜
[1464.477] (S)kiho127: うま
[1464.852] (S)michikaaa_: ないす！
[1465.171] (S)ダムダル: ナイス
[1465.218] oki4353: なーーいす
[1465.406] (S)亜弥ノエル: おおお
[1465.512] まっささん: ないす〜
[1465.571] (S)まめ___: なーいす
[1465.852] (S)brocco_lin: ないす！
[1466.204] (S)希乃0107: ないすう
[1466.577] (S)はるさんさん_: ないす！
[1467.257] infj_04_: ないすー！
[1467.527] (S)misa0915: ないす！
[1468.500] お_か_ら: ないす！
[1469.167] (S)ur0co: ないすないす
[1470.750] (S)まこよ: ないす！
[1472.359] utatane213: うまぁ
[1527.909] syodo2: わこさかー！
[1528.049] まっささん: www
[1539.709] サノウラ: 何の音かと思ったw
[1583.213] Imuyaaa5: わこさか〜
[1587.160] qet0723: !sens
[1589.480] oki4353: でっか
[1589.998] まっささん: うおおおおおお
[1590.420] (S)かるぼなーら: ないす
[1592.243] (S)ダムダル: ないすう
[1592.838] (S)michikaaa_: ないす！！！
[1592.841] (S)ur0co: ないすー
[1592.962] ray00014: おおおおお
[1592.999] まっささん: ないす〜
[1593.057] お_か_ら: うまーい
[1593.171] (S)kiho127: うおお
[1593.734] (S)はるさんさん_: ないす！
[1594.363] (S)まめ___: なーいす！
[1594.722] (S)brocco_lin: ないす！
[1595.448] yuzuriym: ないすう！
[1595.973] infj_04_: うんま！
[1596.166] (S)Sekiha_C: ないすー！！！
[1596.201] (S)misa0915: おおお
[1597.057] saria_0302: ないす！
[1597.271] (S)fu4im1: ないすぅ！
[1597.842] ttuunnuu: ないす！！！
[1598.266] (S)希乃0107: ないす！
[1598.992] (S)misa0915: ないす
[1599.026] oshitatiiskawaii: うまー！！！
[1600.842] (S)まこよ: ないす！
[1606.545] ac41p38_yau85: ないす。うま！！
[1607.148] infj_04_: かっこよすぎた、、
[1609.319] (S)みにとーま: うま！！
[1611.345] (S)michikaaa_: カンペキ
[1623.444] nagityosu_: ネオン1デュエがきつそう、
[1624.237] qet0723: !member
[1624.341] Nightbot: きなこ、うるはさん、すみれさん、ゆいさん
[1630.798] まっささん: あw
[1660.628] まっささん: つよ〜
[1660.738] (S)michikaaa_: つよ
[1674.719] まっささん: 歯茎だな〜w
[1686.671] お_か_ら: なーいす
