[613.104] kuniyoshi8: できるのｗｗ
[615.731] (S)aviru428: それで試合時間わ？
[617.010] えこえこ: 勝敗はよ
[617.283] ポンポン: こくさんきゅーな
[618.734] TB2117: こくにい手際いいなｗ
[619.715] sahaha213: ポイントめちゃくちゃあるぞー！
[619.934] kamiya1979: 1戦目予想ー
[622.820] axchuuu: 2人とも顔こわばってんねえ
[623.925] (S)エムクロ: 有能こく
[624.700] (S)nikukuisugi333: ウメちゃんぷっさんと同じチームじゃん！あっつ
[624.854] mecroboxy: アクア毎回悲壮感漂ってるなw
[625.636] bobby_420x: 賭場やったー！！
[626.338] (S)evimayo88: 梅コインで賭けまーじか
[629.273] kurone_2022: ウメちゃんぷるると同じチームで草
[632.905] genbakantokumbe: 負けたらマジで終わりだもんなー
[639.111] koutwitchtv: 初戦予想間に合う？
[639.238] avareinu: うめコインめっちゃあるからオールイン
[643.379] kamiya1979: 勝敗
[651.563] (S)ましゅダヨ: ぷるると同じチームなのww
[654.711] v_harumi_v: ｗｗ
[656.872] tsukikage_saga: ｗｗｗｗ
[661.539] 今井みどり: ぷっさんとウメちゃんの絡みヤベぇよ……
[664.945] kimanaka28: CR発表されたんだ
[666.550] TB2117: 賭場きたああああああああ
[667.735] tsukikage_saga: アクア ＶＳ ジョン
[668.590] (S)Opening_Runner: 2億ポイント稼がなければ
[673.424] (S)nikukuisugi333: こくふーどのチームええやん
[674.180] (S)gold_power1969: ここのポイント沢山あるから一気に溶けそうw
[676.538] koutwitchtv: 先に自分の予想しな
[678.186] (S)tabibitox: RFN、プロ枠ウメふ～シュートかけるか
[678.866] sincro_blue: RFN
[679.100] (S)日本語かな: かるびに続いて『ホンモノ』のぷるる
[679.136] kebiisi: 優しい
[680.745] tsukikage_saga: ポイント全部つかうか
[681.381] kamiya1979: ぷっさんと？楽しみー
[681.833] (S)ましゅダヨ: お？かけますか
[682.185] (S)takahashiseigi: カワムラさんw
[687.128] melonpan16: 試合始まってまうで
[689.122] セツリ: ｳﾒﾊﾗｻﾝ ﾖﾛｼｸｵﾈｶﾞｲｼﾏｽ! ﾖﾛｼｸｵﾈｶﾞｲｼﾏｽ! ﾖﾛｼｸｵﾈｶﾞｲｼﾏｽ!
[689.685] chin_56_: john
[690.906] sn0wf0x3: アクアvsジョン
[690.928] kawasak1n: ジョン勝ちそう
[697.316] (S)きしー: ふーどのチーム強そうやな、、
[704.217] (S)gularain: ヌキさん？！？！？
[713.900] (S)きしー: さんちゃんとか出て欲しかったなー
[716.762] genbakantokumbe: ヌキさんおって草
[717.910] neojapan01010: 難しいなー
[718.694] はおすけ: ヌキさんいて草嬉しいわ
[720.722] 今井みどり: 予想屋のために試合開始遅れてるな
[723.305] TB2117: 賭場ありがとおおおおおおおおお
[724.301] (S)nikukuisugi333: ヌキさんもおるな
[725.148] nihonsyu_: さすがにアクア
[726.140] SuperMaguro: RFNきたああ！
[728.165] sn0wf0x3: wwww
[728.269] tsukikage_saga: ポイントぶちこんだ！
[730.204] v_harumi_v: ww
[731.187] tsukikage_saga: ポイントすごいな
[734.265] セツリ: 賭場もう締め切る
[736.117] kuniyoshi8: ヌキさんおるの？？ｗｗ
[736.305] koutwitchtv: アクアに7万いったで
[737.067] (S)ましゅダヨ: wwwwww
[738.226] (S)ラリメモ: 期待を込めて
[739.442] (S)~MISSING_COMMENTER_INFO~: 悩めるジョンよりはさすがにアクアかなぁ
[741.070] genbakantokumbe: 副将枠に実力差ありすぎるだろw
[743.150] mecroboxy: たのむ
[746.421] tsukikage_saga: ２７０万ポイントすごいな
[746.914] (S)aviru428: やり過ぎっす笑
[747.717] daikichiexluck: ジョンくんが勝ちます
[749.351] (S)エムクロ: みんなポイントあるなぁ
[754.725] (S)ましゅダヨ: みんなポイントありすぎて草
[755.459] えこえこ: ジョンたのむ
[755.539] kebiisi: ウメポイントめちゃくちゃある
[755.808] tsukikage_saga: おお
[759.579] utimomo_t: これ賭けれるのオモロイですね。
[759.747] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[759.874] (S)すれいまん: アクアさん人気すぎる
[761.837] IPPAN_Player: うおおおおおお
[765.017] axchuuu: デトネがんばれー！！
[765.936] genbakantokumbe: 悩んだ挙句賭けられんかった…
[766.128] bobby_420x: 始まった！
[767.769] yuuubin: さすがにあくあ
[770.117] 45tm83: wwwww
[770.194] leon12061829: ｗ
[770.706] tsukikage_saga: ｗｗｗｗｗ
[771.280] aru_0928: ん？
[771.517] genbakantokumbe: ジョンきゅん応援！
[771.523] (S)~MISSING_COMMENTER_INFO~: ww
[771.747] アヘ丸: w
[771.770] (S)黒猫くん: ウメ？
[771.979] ぢょごぢゃん: www
[772.035] hal0087: wwww
[772.304] のぞみくん: wwwwww
[773.724] (S)ましゅダヨ: wwwwww
[773.895] (S)Hiclere: はあ？ｗｗｗ
[774.193] chamomile21: ウメチャン！？
[774.202] lll3939: 予想屋さん？
[774.435] (S)日本語かな: w ww
[775.491] ヨコグシ: wwwwwww
[775.991] (S)tabibitox: ウメちゃん？
[776.255] (S)monpiipop: 雑ww
[776.478] morinagasyuya: キャラ見えず？
[777.074] shellfish55: ジェイミーあるで
[777.090] mecroboxy: wwww
[779.039] one596: おいw
[781.841] (S)ましゅダヨ: ｳﾒﾁｬﾝ…
[782.729] 反省済2: naru04NHK
[783.918] tsubame5204: umeFail
[785.042] kawasak1n: ジョンがんばれー
[786.048] axchuuu: あれー？
[787.941] umetyaahan: かずのこが一瞬で2000行ってた
[788.348] ミジンコ隊長: a
[789.785] (S)evimayo88: ボコボコだぞ
[789.857] genbakantokumbe: ？
[789.978] (S)ましゅダヨ: はや
[790.281] lll3939: きっつうｗ
[790.475] bolabola102: なるおがケンならなぁ
[790.488] kuniyoshi8: まぁアクアよ
[791.229] meganesandesuyo: あ
[791.559] leon12061829: まあねえ
[793.110] (S)あぱれる君: umeFail
[800.527] ちなはま: いいね
[805.802] (S)~MISSING_COMMENTER_INFO~: アクアは安定型のプレー
[809.491] (S)ましゅダヨ: らっきー……
[810.939] axchuuu: いけ！！！
[817.765] ポンポン: ラッキー人物
[824.148] axchuuu: きてんぞ！！！
[825.063] domontyan: ｗｗ
[826.290] chin_56_: 轢死
[826.962] ミジンコ隊長: お？
[827.222] tsukikage_saga: ｗｗｗｗｗ
[828.795] kuniyoshi8: しょうがないｗｗ
[828.834] SuperMaguro: 📞？
[829.853] genbakantokumbe: wwwww
[830.066] bobby_420x: ジョンいいよー
[839.452] kawasak1n: おっけい
