[2302.382] かささぎ: リベンジタイムきてしまった
[2313.526] かささぎ: どろぼー！
[2336.615] h2hiroyuki: これは死闘
[2340.642] (S)hisotensokuzei: いったｗ
[2342.742] 憂う者の弟子: がにさす？
[2349.184] ~MISSING_COMMENTER_INFO~: おおおお
[2354.045] prisira: すげーなｗ
[2356.118] jtopnbsd: すげーｗｗｗ
[2356.125] k4sugano: PogChamp
[2356.544] angardgg: 追いついた
[2356.574] curryko: さすがに？
[2356.644] かささぎ: おおおおおおおおおお
[2358.281] おじキッズ兄: ぎりぎりｗ
[2367.161] prisira: めっちゃいい試合だったｗ
[2370.036] curryko: 熱いねー
[2373.438] rtmt: すげー試合
[2380.843] かささぎ: グッドゲーム
[2383.968] ryou7144: めっちゃいい勝負やん素敵やん
[2414.025] (S)Kentaro44: Kentaro44 subscribed with Twitch Prime. 
[2414.095] (M)Moobot: @KENTARO44さんTwitch Prime登録ありがとうございます！
[2450.482] かささぎ: ４モリ対策デッキは用意してなかったのか
[2458.642] 憂う者の弟子: 大人？
[2469.303] cashafter: 上画面もうちょい上にしないとApみえない
[2504.979] kirsch_jing: 下の画面の右上にAP映ってるんじゃない？
[2512.246] ヤギー: ひそひそｗ
[2521.000] (S)rat_2442: こんにちは
[2528.203] scottiever06: 調整ありがとー
[2543.692] ぷーぬ: てっぺんって何なの？最近ウメさんやってるけど
[2547.333] cashafter: ごめん、APじゃなくコストだった
[2549.928] 憂う者の弟子: ぞんびー
[2553.070] venomlow_: ArigatoNas
[2554.415] cashafter: 見えたありがとう
[2684.356] 憂う者の弟子: ｼﾞｭﾘﾁﾞｬﾝ
[2689.396] (S)gaogaoticket: umeSalute
[2720.241] (S)rat_2442: umeFail
[2732.223] ultimAelveZ: i
[2733.518] ultimAelveZ: hi
[2742.298] かささぎ: レミーはイビルジョーも受け止められるから大事
[2807.868] (S)penitarou0515: ぷつぷつ？
[2818.745] tabibitox: ああ、やべ
[2913.450] 憂う者の弟子: 逆に
[2930.037] fapfapjpn: PogChamp
[2934.156] kirsch_jing: きわどいｗ
[2935.212] R_BChe: PogChamp
[2937.666] ジン368: ギリかあ
[2944.013] yossi1225: このマッチアップリベンジモリガンが少し有利っぽいんですよね
[2950.283] siyouchu: すごい試合だな
[2955.844] ryou7144: いい勝負が続くｗ
[2959.421] おじキッズ兄: デッキの名前
[2960.666] SsHomes: dante?
[2975.057] kitagawakun: 今環境のリベンジモリガンってどんなレシピになってるんだろう？
[2989.369] 憂う者の弟子: ｼﾞｭﾘﾁﾞｬﾝ！
[3000.291] yossi1225: 入ったｗｗｗ
[3003.590] kitagawakun: ああああ
[3004.326] おじキッズ兄: やーばいｗ
[3012.249] SsHomes: engine
[3013.442] kirsch_jing: やばいね
[3021.598] kitagawakun: スト５ではありません。ウル４の風水エンジンです
[3021.785] sagecomand: スーパーよっさんタイム
[3045.495] yossi1225: ディー育成ゲームですな
[3046.562] かささぎ: あばばばばば
[3065.754] 憂う者の弟子: ばりあー
[3074.184] woodmud: 風水エンジンは体力まで増えるのが強い
[3075.572] かささぎ: あれ
[3090.416] R_BChe: damn
[3093.890] kirsch_jing: なんかモリッとついたな
[3103.716] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[3127.422] sagecomand: 連続では打てないから怪しい
[3168.227] おじキッズ兄: ｗｗｗ
[3169.180] kitagawakun: ｗｗｗｗ
[3169.371] (S)hisotensokuzei: ｗｗ
[3172.102] ~MISSING_COMMENTER_INFO~: うおおおおおお
[3172.171] fapfapjpn: LUL
[3174.737] Danielvutran: FortOne
[3175.884] kahaku91: これ熱いｗ
[3177.567] jackeryna: ｇｇ
[3180.307] hanpamon: 死闘
[3183.703] かささぎ: ガードしないという強さ
[3187.187] ryou7144: 熱いｗｗｗｗｗ
[3188.452] kitagawakun: 間柴ｖｓ木村みたいだったｗｗｗ
[3188.962] curryko: そりゃ声でるわ
[3194.127] siyouchu: 何が起きたの？
[3201.661] ジン368: ダンテありなのか
[3202.239] Kilvoctu: evo19Heart
[3206.671] かささぎ: １６秒停止
[3208.694] yossi1225: めちゃくちゃ面白い！！
[3211.688] h2hiroyuki: 風水エンジンはTEPPENでもやっぱり最強だったということで
[3214.341] ヤギー: 濃密でしたｗ
[3216.061] (S)gomesu: めちゃくちゃ、おもしろい！！
[3219.500] rtmt: すげー
[3221.013] woodmud: 飛行の瞬間にシャドウブレードで落としたのうまかったんだけどな
[3230.376] ryou7144: 勢いありすぎて見てても追いつかんｗｗｗ
[3247.945] 憂う者の弟子: 顔を殴るのはむじゅい
[3249.400] kahaku91: 風水とおさないと負けそうｗ
[3256.422] sagecomand: 除去強要するのが強い
[3259.420] curryko: まぁね
[3269.687] woodmud: 空戦、ね名前間違えちゃいかんｗ
[3273.235] kitagawakun: ＋１＋４もつく
[3309.370] naa777: MTGやってたら飛行になる
[3318.374] daruma2597: 手札以外の場面の解説とかしてほしいな
[3322.084] 憂う者の弟子: 眠りでいい CAもスパコンでいい
[3322.834] (S)gomesu: 素晴らしい試合
[3323.937] tabibitox: わかる
[3325.885] 金ゆで玉太郎: わかる
