[1445.459] (S)owo_8o8: それね
[1456.231] (S)zakiyoka: バッキバキ
[1457.571] (S)かなるな: バキバキーか！
[1458.410] giselle_irene: ぼ？
[1461.403] inufu: みんな強えからなあぶいすぽ
[1467.474] asuta_0928: バキバキバッキー
[1469.912] エルネコ: さぁ、序章は終わりですね
[1474.013] maguro_eleven: バ、ッキー
[1477.908] 柴犬のしっぽ: ヘンディーには何に見えた？
[1491.770] gumic: ま、まだ2回目だし一旦ね
[1526.177] エンドラ_: 打ち合い強いな～
[1536.856] (S)owo_8o8: 哲学w
[1542.807] ABRxay: ヘンディーｸﾗｯﾁ見たい
[1551.481] ANATAMori: レイナロー！ほど不確定な報告はないわなw
[1564.903] (S)akahige9280: 駆け引き
[1568.782] asuta_0928: やばｗ
[1569.383] エルネコ: つんよ
[1569.466] (S)akahige9280: うんま
[1571.912] (S)ケダ: つええ
[1572.016] achan141: ナイス！
[1572.137] (S)かなるな: ないす
[1573.392] なまけぬこ: 英雄だ
[1573.500] (S)junn_0212: うんまいねー
[1576.253] (S)owo_8o8: すご
[1577.344] (S)akahige9280: tonaka2Nice2
[1579.147] (S)zakiyoka: ないす
[1579.371] (S)natu0713: 味方がつええや
[1580.463] kaito_1k: www
[1581.625] (S)はおちゃ: つよいわねー
[1584.344] inufu: キャーかっこいい
[1585.197] エンドラ_: こーれオーメンキャリーです
[1596.427] (S)owo_8o8: 頼んだ
[1598.071] (S)かなるな: tonaka2Makaserori
[1616.554] achan141: 闇堕ちw
[1625.568] (S)かなるな: 闇堕ちは草
[1646.998] いくと2: ｗ
[1647.696] エルネコ: ｗｗｗｗ
[1649.022] achan141: ナイス
[1649.211] gumic: ｗ
[1651.227] (S)owo_8o8: wwwww
[1651.918] inufu: www
[1652.775] (S)かなるな: ランク間違えてるんちゃうやろな！
[1665.586] inufu: 少しずつ調子上げてこ！チルチル
[1666.305] なまけぬこ: 声色の差で笑っちゃったw
[1667.804] エルネコ: 頭1発はゴールドからって決まってんねん！！
[1692.168] achan141: またリアルw
