[1299.120] (S)rtmt: EVOですっげー喋ってたの思い出して笑うｗ
[1299.203] aobara0208: 久々のリアルタイム。こんばんはー
[1301.397] metalface_05: ゴザ氏試合中の声が大すぎｗｗ
[1304.968] asdtzg: スフィアの人教えるの？
[1308.588] Imaise: コサク、緊張しているな？
[1316.191] (S)もけたわけ: 一人のときもこんな声出してるんかな?w
[1324.885] loq901: コサク？
[1326.836] metalface_05: ｗ
[1330.354] (S)ayuka_game: ふ～ど先生の競争率めちゃたかそうだなぁ
[1343.751] korikori_c: ネモ先生もいるんだっけ？
[1354.727] metalface_05: 二人ともうるさいｗｗ
[1354.978] omedetroit: ネモマゴがいるや
[1361.882] asdtzg: 青虎軍団は首領以外駄目だなー
[1368.979] hisoka0309: 一人でもとっさに出ちゃうから出してるんじゃないｗ
[1372.345] (S)ayuka_game: FOOOFOOOとかテンションあがってるばあいじゃないぞオリカサ
[1372.639] tk3333: 折笠さん、強いな〜
[1375.197] inoitami: えコサク弱いｗ
[1386.613] okitotoro: 強いのは確かよね、ファンダメンタル
[1388.889] metalface_05: ｗｗｗｗ
[1389.110] 二丁目: ｗｗｗｗｗｗｗｗｗ
[1389.576] korikori_c: さすがに？
[1389.802] loq901: あれ？
[1390.612] krowflow: 草
[1391.434] h2hiroyuki: セット取られるかねｗ
[1391.548] lightkk0: いやいやいやｗ
[1393.946] metalface_05: これｗｗｗ
[1394.005] n242f45aa: wwwwwww
[1394.089] (S)momochan6: いやいやいやｗ
[1395.708] (S)prosciu: wwww
[1397.242] loq901: コサクの立ち位置があいまいになっていく
[1397.809] ocelote95: 百鬼サイキョッ！
[1399.306] (S)風呂でフルーチェ: 百鬼おじｗｗｗ
[1399.599] asdtzg: カーニバル
[1399.974] loserswear: 甘え百鬼でたな？
[1402.254] 99sapp: キャラ批判ｗ
[1403.081] (S)kuini__: 普通に動けてるんじゃね
[1405.336] user0511: 1-1
[1405.961] watafork: コサクざっこｗｗ
[1406.883] (S)ayuka_game: ｗ
[1406.988] kokodokomk: あれ？
[1407.176] Maldenv11: FrankerZ
[1407.875] maemaemaema: 折笠さんうまいねーー
[1409.116] h2hiroyuki: 青虎軍団これでいいのか
[1412.567] current_06: コサク引退か？
[1417.388] 名無しベータ: 実質LP70000
[1418.024] (S)もけたわけ: うっさw
[1419.708] Imaise: 2先で！w
[1422.860] kokodokomk: こさく 浅い？
[1426.256] krowflow: 一生言われるやつ
[1430.738] metalface_05: 悲鳴やめろｗｗ
[1432.917] ratchet0512: リスクマッチすぎる
[1438.673] sagecomand: 前から百鬼だけで負けてたよなぁ！
[1444.941] asdtzg: この対戦を1700人見ている事実に震える
[1458.299] Frasco006: コサク負けたらポエムされそう
[1460.470] omedetroit: 今日は視聴者多いね
[1461.871] loq901: 折笠KSKみたいな立ち位置手に入れてるなｗ
[1461.965] (S)sugarsato_: コサクの動きどうですか？
