[1702.373] 騙すカス鋼: 職場は草
[1703.716] rockmantarou: SFLミラー許可したら視聴者分散しちゃうね
[1704.950] びあびあ: 職場勢
[1706.163] PoeTheHermitCrab: LUL
[1707.647] Neodanger: MIXED
[1708.293] putukun: 上司の方！ここです！
[1712.502] monen_tofu: 職場でスト6
[1714.831] satoukazuma777: 職場でやってんのか・・・
[1717.153] ジャンクばっち: 職場ニキ強いな
[1724.012] v_harumi_v: 真剣な顔して仕事してるかと思わせて、対戦
[1724.406] rockmantarou: 職場自宅で
[1725.142] latenight000: やっぱり職場という緊張感のある場所ではリリーが馴染む
[1726.576] (S)super_fluo: いい職場だw
[1733.959] doldono: 職場でゲーム実質プロゲーマー
[1735.590] shiro_risu01: キーボード勢なのかな 
[1738.525] ぼっち王子: karubisFurifurii
[1739.100] hikky722: ロートの人？えださん？
[1741.431] kakaowpgj: コマ投げうざすぎw
[1744.365] v_harumi_v: キーボードなんですかね
[1749.082] Jeakfreet: たぶん在宅勤務かな？
[1751.034] nikkou18: 上司「今日の仕事の成果は？」仕事ニキ「ウメハラ倒しました」
[1754.145] (S)mart_00_: 急な離席w
[1760.702] (S)haicro_zm: まじで職場なのかな
[1767.382] どもるがん: PogChamp
[1768.264] v_harumi_v: お名前には職場って書いてある
[1776.905] 騙すカス鋼: ウメハラ倒しましたｗ
[1778.805] rockmantarou: 寝起きハラさんですか？
[1779.015] chin_56_: 元気にやっとるかね
[1785.113] のぶとも: カプコンの社員かもしれん
[1787.070] (S)HinaConoKiyo: 名前草
[1790.397] (S)super_fluo: キーボードだとぱっと見めっちゃ真剣に仕事してる風に見えるねw
[1796.676] hidekaonashi: ウメちゃん倒したらインセンティブだろ
[1797.006] hitmehitme: 仕事ながらは草
[1797.416] (S)仙ニーン: ~MISSING_MESSAGE_INFO~
[1799.337] (S)mart_00_: 丁寧ではあるよな、伝えてくれててｗ
[1801.191] どもるがん: PogChamp
[1803.838] Neodanger: WAAAAAAAAAAAAAAAA
[1807.001] bellbet: オタやどの人かな
[1807.595] rockmantarou: 離席二キ
[1808.635] I_Slap_Pandas: no command grab, no win
[1809.651] gensan55: gensan55 subscribed with Prime. They've subscribed for 5 months! Gg
[1811.956] nyata1234: 今日はお仕事？
[1817.546] quwrof_sb: ちょっと除草剤まいといて
[1817.707] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[1827.428] monen_tofu: 動かなくなったら離席
[1829.318] sndkzfm1: マスターランクに潜入するカプコン社員
[1849.327] rockmantarou: 職場でゲームやってんのか
[1872.714] (S)super_fluo: リリーが急に止まったら客先から入電
[1873.743] rockmantarou: 職場でアケコンの音
[1878.766] bellbet: リリーってホークの子供？
[1895.748] のぶとも: 職場でウメハラとマッチしたら変な汗出るだろなぁ
[1901.087] (S)日本語かな: 同じ一族で子どもではない
[1905.088] びあびあ: 殺意リリー
[1912.761] OSfrog_go: PogChamp
[1919.084] ゆきつばき: 職場リリー
[1939.570] (S)HinaConoKiyo: 梅原に勝ったって職場に報告して欲しい
[1940.916] hidekaonashi: いい仕事したなぁ
[1941.069] ジャンクばっち: あ、ホークの娘じゃないのね
[1958.613] naien3: xregionx343 subscribed with Prime. They've subscribed for 12 months! 
[1959.264] sndkzfm1: リリーもきちんと使われてていいね
[1962.137] (S)ぼわぼわ: リリーでもプロと戦えるんだなあ
[1980.216] (S)仙ニーン: 風🌪️を纏いしメスガキ・リリー
[1986.643] (S)中段立てず表裏も見えない: リリー言うて1900超えてるプレイヤーちゃんといるからまあリュウよりは強いんだろうなって・・・
[1990.188] xvedll: Kreygasm
[2028.882] (S)HinaConoKiyo: 初心者なんですけどケン強くてリュウ弱いのは何故ですか
[2053.463] booby_one: ケンの方が強いのは伝統
[2063.571] ludic__: DAIGO!
[2063.778] ジャンクばっち: 何故...なぜなんだろうなぁ(遠い目)
[2064.586] rockmantarou: 上司に見つかりませんように
[2067.046] (S)HinaConoKiyo: そうなんすね：：あざす
[2067.917] vart1115: リュウには家族が居ないからですね
[2068.135] wahaha7788: ケンの昇竜グランドヴァイパーみたいでかっこいいね
[2079.494] のぶとも: セブンイレブンとローソンは同じコンビニだけどみんなセブンにいくようなもん
[2081.635] (S)仙ニーン: ウメさんの配信みてたら謎がわかるよ
[2081.947] sndkzfm1: リュウは使用率が高いので下手に強くできないんだと思いますよ
[2091.617] 女子便くん: 守るものがある方が強いのウケるな
[2093.718] kkshkk: 投げが通ると
[2113.844] monen_tofu: 職場勢撃破
[2114.415] reimonddd: 勝つんだあ
[2117.922] sistersguitarreplica: リュウはもうそういうキャラなんかな
[2120.781] (S)日本語かな: 運び性能、崩しの選択肢、小技からのリターンなど枚挙にいとまがありません
[2123.800] yasgoku: Nice man
[2131.355] 竹槍マン: 仕事してるキャラいるのこのゲーム
[2149.115] tuu_gg: 画面端起きぜめOD波動拳の利点教えてください。
[2149.685] daichan1200: マリーザデザイナーだっけ
[2150.605] C9sofine: How are you so good? 😳
[2152.588] (S)HinaConoKiyo: ウメコミュニティやさしくて草
[2158.711] (S)日本語かな: ジュエリーデザイナー
[2163.285] GG_sensay: JP経営者だし
[2165.808] ratchet0512: ラシードは配信者
[2166.971] MvK3772: Modern 
[2168.932] v_harumi_v: マリちゃんはジュエリデザイナー💎
[2169.782] (S)仙ニーン: よーーーい！よいよいよい！
[2170.393] (S)tabibitox: もんだ
[2185.406] SILENT__NL: modern 
[2186.768] FeNiSeTi: What place did he get in tournament?
[2190.326] 皇帝ルル: OD波動で＋2取れる
[2192.582] 新ころりん: エドモダンホンダ
[2195.432] ぷつお: リュウは無職
[2203.369] FirstBlood_GG: モンダ
[2204.406] sndkzfm1: Mホンダだ
[2204.536] GG_sensay: which tournament? lol
[2211.681] potocki1810: umeNirami
[2225.504] sobabetterudon: お口くちゅくちゅモンダ民
[2229.305] tsukumo800: モンダ…死んだはずじゃ
[2230.330] rockmantarou: エドモンダ
[2231.554] v_harumi_v: モンダ！
[2232.250] FeNiSeTi: UAE Arab
[2232.511] wrice: daigo won
[2234.600] 竹槍マン: 本田つええ
[2246.014] (S)仙ニーン: よいよいよいよいよいよい🖐️
[2264.349] GG_sensay: like 13 or something
[2269.849] monen_tofu: おー
[2270.048] yamcher_: atpRtsd
[2270.934] (S)日本語かな: 無職じゃない。工事現場での日雇い、用心棒とかでお金稼いでる。なお、ブラックカード所持（ケンのだけど）。
[2271.150] ジャンクばっち: あ
[2271.444] 岢岢: wow
[2271.738] kskfarksk: うひょー
[2272.931] 岢岢: buce
[2275.982] kastodui: Whaaaaaat
[2275.996] (S)仙ニーン: umeCossack
[2276.232] (S)perfecttakahashi: おおお
[2278.293] ぷつお: ナイスフォロー！
[2278.618] のぶとも: それ拾えるんか
[2279.235] 岢岢: nice one man
[2279.811] (S)ぼわぼわ: そこから勝っちまうんかあ
[2282.639] (S)tabibitox: 補正小さかったから足りた
[2283.350] potocki1810: umeCossack
[2284.303] k_vandan: nkoSmart
[2288.303] ぷつお: うますぎぃ
[2289.936] FeNiSeTi: Ty
[2296.431] chicken_dumpling: did Daigo sign up for the singapore offline premier?
[2298.146] monen_tofu: ジャスパ冴えてるぅ！
[2300.661] (S)仙ニーン: umeSnooze
[2300.858] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2310.089] xvedll: Daigo perfect parry
[2320.197] (S)HinaConoKiyo: EVOの日本解説でE本田の真似してる人はミートさんだと思ってました
[2321.075] prisira: 見事な垂直飛び
[2340.716] xvedll: @chicken_dumpling is part of Cpt and open up to anyone ?
[2343.593] (S)仙ニーン: リフティングうんま！
[2348.724] sistersguitarreplica: すごw
[2349.722] (S)tabibitox: あ
[2352.442] chin_56_: のこったのこった
[2354.117] (S)しゃくれ: あ
[2362.417] (S)仙ニーン: umeCossack
[2362.895] (S)中段立てず表裏も見えない: 10500
[2365.974] chicken_dumpling: @xvedll there is only 2 offline premiers, singapore and france. they are open to anyone
[2366.622] gaga_u4x: ケンもサッカーする様になったのか
[2381.843] sobabetterudon: お前ボールな
[2396.851] 皇帝ルル: ケンは昔から足癖悪いね
[2402.569] gaga_u4x: ⚽️
[2407.636] (S)仙ニーン: どんなやつもボール⚽️
[2413.535] sndkzfm1: ケンて日本人らしいな
[2424.562] rat_2442: なんだこれw
[2429.606] monen_tofu: ホンダ蹴りあげてたら足痛くなりそう
[2429.794] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[2430.094] xvedll: @chicken_dumpling really ? They block anyone from entering from different countries
[2437.789] xvedll: I thought*
[2453.805] snkfkn: わたしはどすこいが好きです日本の伝統だからです
[2457.903] chicken_dumpling: @xvedll offline premier is open to anyone. online premier is only for those in that region.
[2463.728] blackcoffee0821: Dosukoi
[2464.325] GG_sensay: you're thinking of the online tournements @xvedll
[2470.365] あさつき教: 楽しくゲーム出来てますてｗ
[2474.284] tact_honda: 10月の日本とサウジのイベントはスト5なんですか？
[2475.860] (S)日本語かな: ちゃんこ食わんかい🍲
[2483.552] sobabetterudon: あっぱれでごわす
[2489.243] chicken_dumpling: before covid, there used to be many offline premier so daigo and others travel around the world.
[2498.210] monen_tofu: ウメちゃんエルデンリングのDLC出たらやるの？
[2498.584] doanobu00000: ウメハラさんはあまり迅雷使いませんね
[2501.941] nyogamigoh: あっぱれでごわすぅ
[2522.703] xvedll: @gg_sensay @chicken_dumpling thank you. I think they should do more offline event. I think online is a jokes.
[2529.165] (S)仙ニーン: 忍者きたわね
[2534.257] FirstBlood_GG: すごい圧
[2545.431] titilrin: アングリーの影響で迅雷の下段と中段の択するひと増えたな
[2561.494] monen_tofu: おー
[2564.210] (S)ソーラン武士: FallWinning
[2565.676] reimonddd: はーーー
[2569.095] kastodui: Whaaaat
[2576.297] (S)仙ニーン: 蹴り🦵でドーン💥
[2576.751] あさつき教: インパクトじゃなくてOD昇竜なんやね
[2578.055] mokzxxxx: このランク帯でも色んなキャラ見られるのすごいなあ
[2586.210] (S)日本語かな: アングリーの影響で奮迅中段も増えたね
[2596.360] (S)tabibitox: 完璧
[2605.026] (S)仙ニーン: umeSnooze
[2632.072] chicken_dumpling: both birds are gauranteed to be in capcom cup.
[2656.639] mukimukipanda: ボンちゃんMR2080超え？すげー
[2666.746] りゅうぅ_: 歩いて投げてくるな
[2684.238] rinze_chan: ウメとボンで200くらい差があるのか
[2690.608] (S)仙ニーン: Judo
