[2151.240] (S)毛穴つぶつぶ: 不適切にも程がある面白いねｗｗ
[2152.447] fikat_0702: リーチャー
[2153.560] (S)pp3p_twitch: 不適切にもほどがあるは面白い
[2158.191] (S)わんだー77: 60冊で何タイトルくらいですか？
[2162.479] (S)じゅーくぼーい: 韓国でよければザ・グローリーとか
[2164.152] ロバヲ: 実写版幽遊白書
[2166.877] tenrimi: ブラッシュアップライフ
[2168.275] (S)イエール: まほろ駅前シリーズ
[2169.303] (S)syouyuireppa: あれは見たの？ブラッシュアップライフ
[2170.037] sindou_ume: 半沢直樹の俳優さんの新作？
[2174.037] (S)hoshi_boshi_0: アンナチュラルとMIU404はもう見たことある？
[2182.069] v_harumi_v: ネトフリ、アマプラあたりで観れるやつですか？
[2182.623] (S)けろろがめ: 「坂の上の雲」めっちゃ面白いです！！！
[2182.638] poki35: クイーンズギャンビット
[2198.322] (S)monpiipop: まじかw
[2198.873] latenight000: 全方位
[2198.963] v_harumi_v: おお、色々
[2207.774] (S)ponponguripon: でずにーぷらすあらず
[2216.894] fireballkid1981: 織田裕二が出てるのは大体面白い気がする
[2229.462] mahoutukaiakikunn: TRICK アマプラでみれる
[2235.041] tango_oscar2: ゲームオブスローンズ
[2239.550] yuya__516: テセウスの船めっちゃ良きです泣けます
[2243.642] (S)じゅーくぼーい: ネトフリで、いじめられっこ、いじめてきた奴を1人1人復讐してく賞もとったドラマです。ザ・グローリー
[2256.040] (S)hoshi_boshi_0: SPECは見たことある？
[2256.878] fikat_0702: うおおおお
[2258.159] fireballkid1981: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[2258.935] v_harumi_v: おおおお
[2259.116] chachachakoma: うおおおおおおお
[2260.792] maya_g01: やったーー！！
[2260.803] be1surprise: かっけえ
[2261.368] ひろみつー: おめでとおおおおおおお
[2262.028] ryuken_future: いいね
[2263.344] (S)イエール: きたああ
[2263.579] (S)hoshi_boshi_0: ないすううううううううう
[2263.831] マンゴスチン: おおおおお
[2264.679] (S)monpiipop: おおおお！！
[2264.746] umetyaahan: 武器ぃぃぃ
[2265.503] きょうまる00: きちゃあああ！
[2266.316] tsubame5204: umeYay
[2266.514] tabibitox: えーらいｗ
[2269.254] よもぎです: やったー
[2272.564] 千葉県おっさん: きたあああああああああ
[2275.479] provisualfight: capcomKO
[2278.299] ilm0806: 見逃したので、再度お願いします
