[69.203] (S)aoringo4: オハヨオハヨ
[69.689] musan1125: シャンちゃんｵﾊﾖｵﾊﾖ
[69.904] かわのみどり: 王の帰還
[70.035] (S)ttt2836: ｵﾊﾖ ｵﾊﾖ
[70.102] (S)もこふ_55: 椅子どう？
[70.318] viv3150: おはよおはよ
[71.456] 味なプレゼント: おはよ おはよ
[71.790] (S)ツカサ10: おはよーーー
[71.815] rinnteiyaa: ｵﾊﾖｵﾊﾖ
[71.838] (S)mint0_9: 面白いほうきたー
[72.013] (S)tzmn81: おかえりかなさーい！！！！
[72.022] rovin1151: おはよ、おはよ
[72.261] (S)アリスとと: シャンちゃん、オハヨ、オハヨ
[72.412] (S)きゅむぉ: !title
[72.457] (S)tarouzirousaburou: おはよおはよ
[72.611] (S)うぃむじー: ｼｬﾝﾁｬﾝ、ｵﾊﾖ、ｵﾊﾖ
[72.614] (M)Nightbot: @きゅむぉ -> Current Stream Title: ストグラ190日～帰～
[72.642] moti0106: こんばんは
[72.951] momotaro__: おはよ、おはよ
[73.490] (S)はとちゃん999: こんばんは！
[73.501] (S)kyo_fny: うぃー
[73.560] (S)ネオノアン: ｵﾊﾖｵﾊﾖ
[73.732] minmin5557: ｼｬﾝﾁｬﾝ ｵﾊﾖｵﾊﾖ
[74.294] (S)nvyf6flup11ffpbyzy3k: おっ王〜
[74.306] seele_0001: ｵﾊﾖｵﾊﾖ
[74.389] hazime3538: ｵﾊﾖｵﾊﾖ
[74.477] (S)reovivi: オカエリ、オカエリ
[74.601] (S)kasu75: オハヨオハヨ
[74.767] jojdin: fantas22Kusa
[74.776] mokkennn: 王！！！！
[74.978] ivvg1245: ｵﾊﾖｵﾊﾖ
[75.577] (S)テバ_02: 王の帰還
[75.724] ををち: わー
[75.889] めび薄: オハヨオハヨ
[76.121] (S)a___to06: ｵﾊﾖ､ｵﾊﾖ
[76.130] you_eva: おはよおはよ！
[76.337] (S)こんにちわとそん: ｵﾊﾖｵﾊﾖ
[76.960] (S)kuropon5078: ｵﾊﾖ､ｵﾊﾖ
[76.980] (S)mirorin21: ShowLove100
[77.202] rozeo_ov: おはよ、おはよ
[77.221] ゴルーン: ｵﾊﾖｵﾊﾖ
[77.340] (S)konnn_123: ｵﾊﾖｵﾊﾖ
[77.379] (S)akasa1106: オハヨオハヨ
[77.402] (S)yashida26: こんなとこで寝てたか
[77.506] (S)zakzak_39: ｵﾊﾖｵﾊﾖ
[77.561] tomosashisu_8: この町も変わんねえな…
[77.568] tiga916: オハヨオハヨ
[77.614] (S)gorimoooom: 旅行お疲れ様でした
[78.467] (S)けたた: ｼｬﾝﾁｬﾝ､ｵﾊﾖ､ｵﾊﾖ
[78.587] arusui222: オハヨオハヨ
[78.678] ebiflyjunk: なんか痩せた？
[79.243] オオゼキ: ｵﾊﾖ ｵﾊﾖ
[79.882] ~MISSING_COMMENTER_INFO~: ｵﾊﾖｵﾊﾖ
[80.437] (S)tororo_k: 椅子どんな感じ？
[80.450] (S)et_et876: おはよおはよ
[80.557] (S)4tsu_03: ｵﾊﾖ、ｵﾊﾖ
[81.192] (S)steeee_oki: ｵﾊﾖｵﾊﾖ
[81.281] ををち: ぴった仕事終わりで助かる
[81.317] 悠音_1: ｵﾊ王ｵﾊ王
[81.816] (S)rick12237: sorapo1BYE
[82.624] dorgon359824: オハヨオハヨ
[82.693] NOINNOIN: オハヨオハヨ
[82.916] (S)こんにちわとそん: ファンちゃんｵﾊﾖｵﾊﾖ
[83.363] yukito127: ｵﾊﾖ ｵﾊﾖ
[83.570] (S)hunyarouu: ｵﾊﾖｵﾊﾖ
[83.885] (S)xxxxxhiroxxxxx: オハヨ♡オハヨ♡
[84.089] (S)_じん_: _じん_ subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! 
[84.754] れんぴょこ: ｵﾊﾖｵﾊﾖ
[85.318] kisiro02ky: オハヨオハヨ
[85.497] zakinchaan: おっおーう
[85.710] masa_165: ｵﾊﾖｵﾊﾖ
[85.780] (S)スカイライン乗り: 裏で激動が
[85.969] (S)kanakana1231: こん
[86.663] pixietube: sirryWavehands
[87.380] (S)_ととまる_: こん
[87.779] (S)OudonEater_kun: 王の帰還
[87.883] 無料の屍: こんばんは
[88.279] taku611111: ォㇵ
[88.585] (S)クロウズ2: こん
[89.146] トーカ20: クズちゃん ｵﾊﾖ ｵﾊﾖ
[89.337] (S)bonehead51: ｵﾊﾖ､ｵﾊﾖ
[90.311] (S)ruru_1048: おはよ、おはよ
[90.320] キセ: こん
[90.380] あいまー: ｵﾊﾖｵﾊﾖ
[90.816] (S)rinko626: 王かえり！！！！
[91.098] (S)zerogravity0910: オハヨオハヨ
[91.166] gircro: おかえり
[92.319] sensuikan_fuji: ｵﾊﾖｵﾊﾖ
[92.497] yk_999: おかえりなさい
[92.555] ebifraaaaai: ｵﾊﾖｵﾊﾖ
[92.650] (S)バロン67: こん
[92.882] (S)alkesituhaya: fantas22Muscle
[93.145] すーぱーえめるちゃん: 王、凱旋
[94.036] (S)mitiru825: ｵﾊﾖｵﾊﾖ
[94.134] harumaki__f: なぜ、ここからのスタート？
[94.396] (S)_なこ_: こんばんは
[94.562] ゴルーン: おっ、王〜
[94.623] 茶葉茶葉: こんばんは
[94.757] (S)roi_hi: ｵﾊﾖｵﾊﾖ
[94.853] ﾏﾏ: ｵﾊﾖｵﾊﾖ
[94.932] もかもかぁ: ｺｺﾄﾞｺ!?
[95.577] 4alba6: おはよおはよ
[95.682] (S)フルパワーアフロマン: おはよ、おはよ
[95.775] pokkunnn: オハヨオハヨ
[95.972] kisiro02ky: オハヨ♡オハヨ♡
[95.984] (S)アニー0930: ｵﾊﾖｵﾊﾖ
[96.145] (S)イブプロフェン配合の白井: こんばんは🍵
[96.221] (S)uwantea: jaiker3Yametene
[96.349] (S)craxton7: ｵﾊﾖｵﾊﾖ
[96.803] (S)kaneshiro_0103: ｼｬﾝﾁｬﾝ、ｵﾊﾖｵﾊﾖ
[97.112] (S)tk5800: おはようございます。
[97.235] liebe28: おは塩
[97.586] (S)元気なデブ: ｵﾊﾖｵﾊﾖ
[97.652] (S)クロウズ2: おかえりー
[97.781] ゆうとビッキー: おはよあはよ
[98.000] ryuichi9029: ｵﾊﾖ､ｵﾊﾖ
[98.208] eiganojaiann_: ファンちゃんオハヨ
[98.417] (S)サダンガ: sirryAirkiss
[99.284] humokiti: 王の帰還じゃw
[99.484] (S)yuchanas: ストグラジオ見てました？
[99.587] (S)やどんどん: やどんどん subscribed with Prime. They've subscribed for 9 months! 
[100.258] (S)tororo_k: ｵﾊﾖｵﾊﾖ
[100.309] (S)ky1124boc: ｵﾊﾖｵﾊﾖ
[100.503] (S)まちまちだ: ｵﾊﾖｵﾊﾖ
[100.946] harupon1023: オハヨオハヨ
[101.082] イーダコ: ストグラジオ聞いたけどマジ激動だね
[101.099] kittakku222: ｵﾊ王
[101.167] kuritorisu_69: シャンプロのラジオ聞いてました
[101.604] (S)0068ys: ｵﾊﾖｵﾊﾖ
[101.776] (S)CREVAZF1_496: ここどこ
[101.841] (S)マザコンハーサカ: ｵﾊﾖｵﾊﾖ
[101.987] tomosashisu_8: wwwwwwww
[102.090] (S)ネオノアン: www
[102.317] chinpanmansan: おはよおはよ
[102.463] (S)ひし形メロン: 椅子どんな感じ？
[102.542] (S)裕さん: 本家きちゃー
[102.772] (S)kina_g1: 昨日のRUSTみたいにストグラの世界でも王になると言ってくれ
[103.338] (S)のむこちゃん: 王、どこ 
[103.537] めび薄: ww
[103.577] (S)tzmn81: 道路の真ん中wwwウケる
[103.606] (S)ttt2836: ｵﾊﾖ ｵﾊﾖ
