[476.600] narufuuuuu__: ⣿⣿⣿⠿⠟⠛⠛⣉⢉⣉⣉⣤⣬⣥⣤⣤⣤⣤⣬⣭⣈⣉⡙⠻⣿⣿⣿⣿⣿⣿ ⣿⣿⢠⣶⣶⣿⣿⢫⢷⢋⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⣿⣿⣿⣿⣿⣿ ⣿⣿⠀⣿⣿⠟⡛⠛⠳⣾⣿⣿⣿⣿⣿⣿⡿⢋⡤⠀⠉⢿⣿⡇⠿⠛⠛⢿⣿⣿ ⣿⣿⡀⣿⣏⠈⣁⢤⣠⢻⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠄⣸⣿⡇⠀⣾⣿⣘⠛⢿ ⣿⣿⠇⣿⣧⡽⠟⣛⣛⣛⣛⠛⢛⡛⣛⣛⣛⣛⢛⡛⠿⣿⣿⣶⣷⣿⢻⣿⣇⠸ ⣿⠃⣼⣿⣿⣧⡠⣍⣿⣿⣧⣤⣽⣿⣿⣿⣿⣿⣩⡅⣠⣿⣿⣿⣿⣟⣾⣿⡟⢰ ⠇⣼⣿⢻⣿⣿⣿⣶⣭⣝⣙⣻⠻⠻⠛⠿⣟⣉⣭⣾⣿⣿⣿⣿⠿⠛⣋⣬⣤⣾ ⣇⠻⣿⢺⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣾⣿⣿⣿⣿⣿⣿⣿⡆⢸⣿⣿⣿⣿⣿ ⣿⣷⣬⠸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⣼⣿⣿⣿⣿⣿ ⣿⣿⣿⠀⣿⣿⣿⣿⣿⣶⣶⢠⣤⣤⣤⡄⢰⣿⣿⣿⣿⣿⣿⡇⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣦⣉⣛⣛⠛⣛⣉⣁⣼⣿⣿⣿⣷⣌⡛⠛⠛⠛⢛⣋⣤⣿⣿⣿⣿at
[481.047] mick39039: にるｗｗｗ
[490.756] ikuikusumomon: !commands
[490.858] (M)Nightbot: @ikuikusumomon -> The bot commands for this channel are available at https://nightbot.tv/t/vodkavdk/commands
[495.981] unagitabeta1: ニル最強！
[500.726] どくたぁ: に、る
[503.958] dhdhbshss: だるま
[511.011] obanzaistudio: ニル勝手に名前変えちゃだめだよ〜
[512.885] ketsudapurio: にっさん、、がんばれ
[524.721] godfc2dayo: ムーブめちゃくちゃいいね、saku爺の感覚戻ってきて本当に良かった
[525.403] mocooo15: アムさんは今何してますか？🐕
[528.399] otakara00: 近々ヴァロの大会もあるしリドルすっごい盛り上がってきたね！
[530.776] 96nowa: BloodTrail
[531.224] (S)さみすす: さみすす subscribed with Prime. They've subscribed for 10 months! 
[539.072] (S)okeike_: 今週まじ正念場だな
[546.118] pick1u: 今日で世界ほぼ決めてくれー
[553.140] コサンジです: 今日もチャンピオンみたいです
[555.374] o_jun1217_o: にるさんに関しては経験差でかいと思うけど
[565.719] mocooo15: リドルは絶対いけるだろうなぁー！
[566.213] imJoru__: 贅沢言わないから世界きめてくれ
[570.603] komomo_beans: まじか
[574.505] (S)marrona91: 高校？
[575.220] みりみりみりみり: うお
[577.059] ぱんぷきんへっど: 同窓会東京なの？
[578.658] どくたぁ: 同窓会ええなーー
[578.849] fk_two: fk_two subscribed at Tier 1. They've subscribed for 24 months, currently on a 23 month streak! 
[579.328] 20971522: 行きたくない
[579.641] おむだお: 視聴者いるかな
[580.037] flower__hiromaru: ボド来たらみんな嬉しいでしょ
[581.204] unagitabeta1: いくしかない
[583.180] らむぽっぷ: 驕らされるぞ
[583.473] kitsuneudon1223: 同窓会って微妙なつまらなさしてる
[583.788] (S)okeike_: リドルが目指してるのは上位4位以内で世界
[584.758] otakara00: いつなん？
[586.160] donkatsuburger: 早めにポケモン返しといた方が良いんちゃう
[586.642] もんこみ2: ニルpadなのにMNK付いてるやん
[590.622] nkzction: 配信しよう
[592.171] Chili_tomatojr: 1万集められるのつえー
[594.061] ナーキー: 同窓会とかで金持ち扱いされたりする?
[596.436] RainBerry1515: 同窓会でRIDDLEウォ千パしよう
[601.997] (S)yacha17: yacha17 subscribed with Prime. They've subscribed for 8 months, currently on a 2 month streak! 
[610.069] choregisarade: あいつら全員同窓会♫
[615.105] namak0024: 仲いいやつとは結局定期的に合うしなぁ
[617.974] (S)蔓喰: 蔓喰 subscribed with Prime. They've subscribed for 2 months! 
[618.447] afro_aphro: 東京地方民で溢れとる
[619.412] kazuma0123210: あーそっか
[619.602] gurararaaa: いい関係
[624.183] mendy11111: チーム同窓会
[626.065] 肆愛徒: チーム金持ち
[627.348] rizuttv: ボンボン学校
[628.131] キューブってる: 言ってたね
[629.993] すきしゃ: やな
[633.085] flower__hiromaru: マジでそう
[634.393] (S)marrona91: 神戸の一等地組か
[634.615] dosukoiparadise: わかる
[635.238] オカっち: チーム友達
[636.539] chatarojo: わかるそれ
[637.267] ryuji3936: ボドカって知られてるの？
[637.346] (S)hnq27s: hnq27s subscribed with Prime. 
[639.397] たつまくす: チーム金持ち
[639.434] PrePreaim: わかる
[640.158] takatako24: それはそうや
[643.307] (S)るい0512: おはようございます
[643.739] komomo_beans: わかるよ
[650.585] RainBerry1515: 気がついたらドロップ・アウトする人いるよね
[650.592] euphorp: チーム金持ち
[651.955] heiwaiya: 西宮はいいよなぁ〜
[653.049] コサンジです: BGMがひどいですよ・・・
[653.592] futaba70: それはそう
[653.963] oyyoooo2o: 西宮やもんな
[654.235] mocooo15: リドル世界行ったらみんなで試合鑑賞できる期間限定BARしましょ！
[656.788] (S)shikaness: こいつらうるさww
[659.695] ikki_oga: 顔出ししてるしな
[660.740] eight_smc04: BGM草
[663.304] sonnanikowaikanew_era: 顔だして隠すってなんやねんてな
[663.473] かねちょー: 話とか価値観合うなら楽しそうでいいね
[667.625] flower__hiromaru: 高校当時からゲーム配信してることは言ってたの？？
[668.581] dosukoiparadise: ちょっとしたもののお金の使い方とかで感じるわ
[672.480] uTa_twi: 西宮まじでいいとこ
[673.133] jundaisuki2002: ボド！同窓会こいよな！待ってるぜ👍
[673.354] kuroomutu: 今日の目標は何位ですか？
[689.797] (S)yacha17: みんな元気すぎる
[691.108] wonderboy_9: あ
[695.458] たつまくす: あ
[695.589] ぬっくさん: そっち優先すんのｗ
[696.997] ますおさんさん: 学生時代みたいな適当なノリじゃ付き合えなくなるからね
[697.547] よしずーー: ww
[698.281] afro_aphro: 受験勉強かよ
[698.513] dosukoiparadise: w
[698.746] ぱんぷきんへっど: それでも続く関係値なのいいね
[701.703] o_jun1217_o: ww
[706.859] mattya0213: リドルのバナーとか出ませんか？
[710.601] Nakadai_s2: Nakadai_s2 subscribed with Prime. They've subscribed for 24 months! 
[711.543] キューブってる: そうね
[712.995] namak0024: おらんやったなぁ
[713.101] ぬっくさん: Ｙｏｔｕｂｅで稼げるのは知ってたの？
[718.032] かねちょー: ただ趣味で動画上げてる人みたいな？
[718.884] smoena: ヒカキンがボイパしてた頃
[719.027] takatako24: 違法動画の巣窟のイメージだった YouTube
[727.620] RainBerry1515: ギリニコニコ動画が流行ってたしなまた
[729.295] dosukoiparadise: 動画投稿者はいても職業ではなかったもんな〜
[729.524] ryuji3936: ボドカは有名やったからな
[729.713] heiwaiya: 北高半分以上東京行ってんなぁ
[730.182] ぬっくさん: へぇへぇ
[735.212] znoponopo: モンスター家に何本あるの
[736.850] マスク大佐: 趣味の場所
[745.609] コサンジです: めちゃわかるｗ
[748.244] 96_nineteensix: 弟者のサイコブレイクガチで見てたわ
[748.819] ますおさんさん: youtubeはニコニコから転載される場所だった
[750.140] オカっち: そうなんだよな
[751.692] キューブってる: そうね
[751.800] (S)Quu_o: うぃーーーねえー
[752.905] byacco40: まだヒカキンも有名で無かった時代か
[752.985] flower__hiromaru: 懐かしいよな〜〜
[753.035] ぬっくさん: それで始めたんや
[753.149] ぱんぷきんへっど: 承認欲求を満たす場所だよね
[753.621] (S)激ローメタモン: おいす！リドルがんばれ！
[754.517] yomi_hell: ほんそれ
[758.157] どくたぁ: うちの高校ボドカ好きな人いっぱいおったな
[759.680] 52133648: 100万人登録者もほんまに少なかったしな昔は
[759.933] tetenosuke1111: 稼ぐなんてイメージなかったな
[763.878] kuroomutu: バロはムラゲ apeはnoez っていうオーナー同士も選手もいいライバルチームができたね
[764.144] dosukoiparadise: ニコニコ学
[766.265] sakanakunn4: 実験系の動画好きだった
[766.300] グラル87: 今のコメント欄は…
[768.132] (S)okeike_: ヒカキンの存在でけえ
[774.161] あさヒ: ボドのCODのクリップ見るの好きだった
[774.223] わああああああああ: 同窓会でボドカについて触れられるのやだですか？
[775.029] オカっち: 金稼げるのなんて一部の人やしな
[776.905] SseinRJ: 宝島作戦
[776.919] (S)haruka_aaaa: 自分のプレイ見返すためにって人もおった気する
[777.360] ぬっくさん: 再生数目当てでおかしな奴らが現れてうんざりや
[778.133] takatako24: saku元気だな
[779.078] Ayanon777: 女性配信者’ニコ生出身多くない？
[779.832] けしの実: 皆働きながらやってたってことか
[780.490] deroderoroad: ｳﾝ…
[783.494] (S)okeike_: RID WIN
[784.700] KeNG_tv: ニコニコは全盛期くらいじゃない？
[785.047] vaseline7777: 21
[786.113] znoponopo: 一番リドル応援してるよ
[786.670] ナーキー: 今の子供は職業としてやりたい人しかいなさそう
[787.553] flower__hiromaru: うみた今日いつもに比べてうるさくて良いね
[788.532] rysk_9890: ボドカの犬ってなんて名前だっけ？
[788.551] o_jun1217_o: 最近YouTube運用代理なんてのもあるぞ
[789.019] ganges456: 宝島で草
[794.452] psyduck_cu: ｗｗｗｗｗｗｗ
[798.340] (S)okeike_: アムちゃん
[800.658] asai43: 趣味でやってる時が一番楽しいよ
[801.850] littleriver_0723: 昔YouTubeでエロ動画探しまくってた
[802.668] ジャマおじさん: ぼどかさん待ってたよ
[804.318] flower__hiromaru: アムやで
[806.651] omochooo: １００万人行ってるのヒカキンさんくらいだったもんな
[809.357] senninhaaaaaaaa: これ初戦？
[810.630] portgas_d_rouge: しゅんみ？
[811.649] 不死くん: 今日何試合？
[814.143] わああああああああ: もう何年編集してないですか？
[815.819] vaseline7777: なおひろはそれだよ
[816.649] だいでん: 「YouTube休みます」じゃなくて休みの日にYouTubeってやるもんだったな
[816.817] どくたぁ: がんばれーー！
[818.557] どくたぁ: 2試合目
[818.932] zakko_otsu: ボドのboからボド自身がコンテンツの楽しみや
[820.214] ganges456: 今2試合目
[821.588] tetenosuke1111: どんどん質が良くなっていくのおもろいよな
[822.011] u_cchi: フック東しっぶ
[822.819] ぱんぷきんへっど: 趣味が義務になる瞬間めっちゃ苦しくない？
[822.899] (S)ナギナギ君: ナギナギ君 subscribed with Prime. They've subscribed for 3 months! 
[823.785] minaminami3735: 渋いとこ降りてんなぁ
[825.074] let3nfn805986: 高校生の頃キル集作るのハマってた
[825.412] コサンジです: よろこんでもらうのもええよね
[826.431] namak0024: ひかきんとか名前も聞いたことなかったぞ
[828.363] senninhaaaaaaaa: 初戦どうだった？
[829.775] otakara00: 初めの頃は一本一本どきどきするもん
[830.142] ぬっくさん: まじかｗ
[830.482] (S)okeike_: 今日は6試合6試合で12試合
[831.405] わああああああああ: えらw
[833.636] fumimi27: えっらｗｗ
[835.439] zakko_otsu: すごい
[836.130] myamuis: テロップ入れが一番めんどいのよね
[836.773] fps_mattsu_7: ええw
[840.519] あさヒ: 生粋やね
[842.657] ryota_akg: 忙しそうなのにすげえ
[846.807] (S)suuute: 3位2キル
[848.754] ナーキー: なおたとかもどんだけ再生数なくてもあげるって二度と同じ考えなのかな?
[850.488] (S)ぴっぴ17: ぴっぴ17 subscribed with Prime. 
[854.301] uTa_twi: 動画作成今でもしたい？
[858.387] ぬっくさん: 編集者くそ助かるやん
[859.494] cqrr0t_: vdkがサムネ作ったらうみちゃんのやつみたいになりそう
