[76.928] (S)pon_pon_bomb_: マップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せ
[77.464] (S)sai11000: yoshimiClap
[77.528] カフ力: ばーとらばーとらばーとら
[78.206] pauljohnson1118: ヴァロやめてね
[78.492] (S)takoyaki888t: くそウキウキで笑う
[78.734] buzz_cloud: マップ隠して
[78.944] y_submarine: 風邪で明日休んどけ
[79.329] (S)もこうやぞ: 会社辞めてオールすべ‼️
[79.392] (S)firakku2034: バトラうきうき
[79.537] (S)村紗あざらし: かっさんもコラボまびか！？！？！？
[79.656] ビートきよし: 仕事は？
[80.067] 1908_nikko: かかってる
[80.276] てやみ: BloodTrail
[80.512] あんソロ: マップ
[80.774] アイス1204: お前明日仕事ないの？
[80.988] taiyakisan3: バトラ失禁中！
[81.086] ~MISSING_COMMENTER_INFO~: パワポケ8の頃から見てたこと伝えろ！
[81.292] avaranti: 世界出た時より嬉しそうやん
[81.917] Leon_nns: 仕事大丈夫なんか
[82.005] (S)hoge_foo: 軍団に降ったか
[82.393] (S)potenzak: ***ちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ… ***ちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ…
[82.937] (S)サかね: 小僧あへあへでクカｗ
[83.301] lokinlokinlokin: すだちくんだせ
[83.350] (S)pandasan_power: お前なんで立川とやる時は裏なのに加藤とやるときは配信するんだ
[84.395] _いちか: 仕事休んでくれ
[84.794] ~MISSING_COMMENTER_INFO~: おい！パワポケ8の頃から見てたこと伝えろ！！！！！
[84.990] (S)からーげくん: マップ隠せ
[85.064] (S)오코메짱: 痴漢界隈入り
[85.196] (S)猫舌の犬: しか
[85.397] ~MISSING_COMMENTER_INFO~: マップ隠せ
[85.975] gula00852: 英雄団、入団試験合格！w
[86.224] (S)molarea: なあ、仕事休みなのか？
[86.607] akiragamer2: HolidaySanta
[86.982] (S)yoshiyoshiunko: うおおおおおおおおおお
[87.794] (S)yuthi_hida: batoraKirai
[88.101] ねね紅茶: ｗ英雄弾
[88.210] b_s_q_s: 小僧ウキウキ失禁中で草なんよ
[88.643] いわシー: とうとう痴漢界隈に 
[88.715] nardoku: 既婚者ヴァロきちゃああああ
[88.914] (S)もこうやぞ: コラボ界隈
[89.480] ~MISSING_COMMENTER_INFO~: へった
[89.691] (S)tatatatao22: おい！働いてる設定どうした！
[89.810] (S)yff32415: かっさんコラボ再び
[89.888] てやみ: w
[90.298] ~MISSING_COMMENTER_INFO~: おい！！！パワポケ8の頃から見てたこと伝えろ！
[90.540] MindC7: BloodTrail
