[336.751] spinet12345: 鯖落ちありそー
[337.060] suu110: PCの相性？
[339.982] atawo1: アカウント依存の問題もあるらしいしえぐいよね
[341.387] egas66: 回線相性
[344.171] (S)プリン競馬: 時間帯的なものかな？
[345.833] torea1024: あるね
[346.306] 7picnic7: なるほど
[347.215] りーばぁみん: あるね
[347.799] まよなかの: 今日はゲハ？
[349.996] dorano02: ログインサーバー別だったり
[351.812] honda_sankakkei: 鯖落ちはありそう
[351.957] enemy2828: 今北どした？
[353.142] A1ice19: 個人のやつじゃだめなんかな
[354.570] (S)令和のペレ: 今日はブーキャンやんな？
[356.149] puion_: ログインサーバしんでんのかな
[359.123] (S)imokorori: ハズレ鯖引いた？
[360.657] tomtom_320: 全員か
[360.886] m_nao0419: 入れる人と入れない人の違いか
[362.855] 184_________: 大会クライアントってそんな直前で入るのか
[363.369] torea1024: これ延期ならボドカさんどするん
[365.145] pppppopy: リドル毎回大変やな
[365.445] (S)Quu_o: 集まってるのに
[365.943] mitoliszt: ZETAハウスからですか？
[368.474] minaminami3735: しょーもね
[370.918] ankooisii_1: Szの選手もらしいね
[370.950] pokepokepopopo: 日本来てるのか
[372.847] hunbaa13: ていうか相手も入れてないんでしょ？
[375.701] ojiji57: 今日の試合延期？
[376.909] lilychoco: こっそり再入国してるのか
[379.166] anai000: !title
[379.378] (M)Nightbot: @anai000 -> Current Stream Title: 大会クライアントにみんなinできないから試合はまだ始まらないみたいです
[380.442] artemis_ais: 相手もできてないから仕方ない気もする
[380.740] friedexx: まじかわいそうやな
[380.827] mashasi1015: 相手も入れへんなんてあるんや
[385.281] りーばぁみん: BibleThump
[387.716] kazuho04: RIDDLEばっかり起きてるよね
[387.953] (S)令和のペレ: やつか、、、、😭
[391.777] m_nao0419: そうだよねぇ
[394.351] グラル87: リドル差別ですか…
[395.799] ankooisii_1: まじでかわいそう
[396.015] ただのともや: 確かに
[397.636] maru__2127: これに関しては運が悪すぎる
[398.763] kqreh: この時間じゃないと見れないんだが 
[399.274] omo_chi7: うん可哀想
[402.959] m_nao0419: コンディションをね
[403.175] arlingtonnnnn: ホストがモデレート説
[405.255] bacoyashi: 運営にリドルアンチいます
[406.607] pokepokepopopo: モチベを上げてきてるからな
[407.258] oncormasou: ddos狙われてるとかじゃないの？
[408.535] spinet12345: アンラッキーやな
[409.611] ayataka_039: 前の延期になったのってどうなったの？
[413.209] aiueo_zzz: こういうこと起きたら大会できないねぇ
[413.734] ssssssssszx: やつーか萎えています
[414.322] 7picnic7: 期間空いたしな
[415.840] (S)Crown_chan: wwwww
[417.017] (S)imokorori: まぁお互い落ちてるのがまだ良かったな
[417.228] dainyvalo: wwww
[417.439] ねこサカナ: ww
[417.558] tengu_114514: www
[417.592] aqutan_sukikamo: せめて何時までに解決しなかったら延期するとかはアナウンスしてほしい
[418.730] ry10968: riotjpにRIDアンチがいます！
[419.248] erum0re: ｗｗｗｗｗ
[430.635] u_yang: なつすぎる笑
[431.175] inalet007: これ延期やろ
[434.671] mayakuchuudokusho: BO2今からやりません？
[434.798] Zeeklind: 回線抜いたら部屋消えるやつ…
[435.845] (S)banzam_jp: 先のチームがログアウトしないと全員入れないとか？
[437.455] m_nao0419: アナウンス早めに欲しいよね
[439.427] umeyou: 試合vorz10人？
[441.489] (S)令和のペレ: 次の試合ないからまだ良かった
[442.043] torea1024: そうだよね
[443.700] (S)rqiko: vodkav2YA
[445.964] tawotowa: 早くどうにかしないとアセンションの悪夢が再び
[446.615] maronamooooooo: ふつうにぼる図イン楽しみ
[448.138] torea1024: 18時までは予定通りだよね
[449.650] kqreh: 昼12時からとかに延期なったら見れへん 
[452.508] 愛子さまガチ恋: 何も悪いことしていないのにひどい…😿
[452.942] Takezo0830: Vorz vs Fadesiz
[459.748] ssssssssszx: むら、げ
[459.986] おもチ: BibleThump
[461.324] chickennumber4: なんで早めに終わったの？
[461.561] (S)imokorori: 18時半くらいまでならいけるやろ
[465.672] spinet12345: 調子悪いクライアントでやるの不安だけどな
[466.081] ankooisii_1: コーチも入れないらしいです
[466.201] まよなかの: 伝説のボルズみれるのかな？
[467.899] しばこう: 大概にせーよ
[468.485] ry10968: 今日のムラゲクソ弱かったわ
[468.774] anai000: 延期なら明日の1試合目の前になるのかな
