[4008.400] lililllln: マ！？
[4008.492] (S)roremiroresu: tonaka2Nzyuuago
[4009.537] デクです: うまうま！
[4012.666] (S)あずきです: tonaka2Nice2
[4013.560] Nagoya_taro: www
[4016.451] (S)manji5616: ww
[4021.934] (S)k1ng10646: tonaka2Nice2
[4085.446] lililllln: ないすー
[4094.125] (S)akahige9280: tonaka2Nice2
[4103.286] lililllln: ホラー？
[4129.964] lililllln: ｗｗｗ
[4151.316] lililllln: さよならけんき…
[4157.905] ミロスティック: ぷっさんw
[4160.123] Nagoya_taro: wwww
[4191.243] lililllln: ないす削りだぷるるー！
[4194.402] (S)あとたろ: ナイス削り！
[4259.290] ミロスティック: おっしい
[4261.894] lililllln: おしいん
[4270.789] lililllln: ｗｗｗ
[4276.094] two_bell: ｗｗｗｗ
[4276.677] lililllln: かわいいｗｗｗ
[4278.047] (S)akahige9280: あぶねw
[4279.556] Nagoya_taro: アトラクションwww
[4283.913] tattu_kun: ｗｗｗｗｗｗｗｗｗｗｗ
[4296.751] lililllln: ないすー！
[4318.031] ミロスティック: www
[4323.475] (S)akahige9280: まだ足枷ついてる？w
[4326.982] lililllln: りおんがんばえ〜ｗｗｗ
[4404.727] ミロスティック: けんきも元プロやからいける
[4412.331] lililllln: ひん
[4413.859] (S)akahige9280: おしー
[4415.146] lililllln: ntnt
[4430.676] lililllln: ｗｗｗ
[4481.981] ミロスティック: www
[4483.998] lililllln: NotLikeThis
[4488.053] lililllln: ｗｗｗ
[4489.228] (S)yamada9712: tonaka2Wwwwww
[4490.278] pwgkpmtjwm: なんそれww
[4490.706] (S)taroten18: www
[4490.884] (S)k1ng10646: www
[4504.927] lililllln: キャラコン関係なく4んだｗｗｗ
[4515.679] (S)junn_0212: ww
[4525.575] nanban_chicken3: ヘンディー終わってるって言葉はまってるよな
[4536.434] lililllln: ないすとらーい！
[4547.108] lililllln: 仲良くしてｗｗｗ
[4556.981] (S)yamada9712: うるーかww
[4561.617] lililllln: うるーかすぐ骨折するｗｗ
[4611.725] lililllln: もうすっごい♡
[4611.958] (S)manji5616: ww
[4639.921] lililllln: え？
[4655.956] lililllln: わあああ
[4657.904] (S)akahige9280: えぐw
[4702.022] lililllln: わぁ
[4737.390] lililllln: した！！！
[4740.351] ミロスティック: 自由すぎるw
[4790.241] lililllln: ｗｗｗ
[4823.382] (S)あずきです: こたちゃん今日はお喋りねw
[4883.979] lililllln: ないすぅ
[4908.142] lililllln: ｗｗｗ
[4960.741] lililllln: シナシナりおん
[4971.930] lililllln: ないすー！
[4980.194] ミロスティック: 追いつけるぞおお
[4987.933] lililllln: ｗｗｗ
[5036.230] lililllln: ないす
[5060.176] lililllln: LUL
[5126.480] lililllln: あぶないあぶない
[5135.109] lililllln: ｗｗｗ
[5167.223] jarashi119: ちょっとごついよね
[5218.650] lililllln: ntnt
[5230.430] ミロスティック: 確認ww
[5233.916] lililllln: 不安になるのやめて 
[5252.960] cocomaaru: 大丈夫よ〜って言った後不安にならないでよw
[5299.698] lililllln: あわわ
[5305.209] (S)akahige9280: www
[5307.069] lililllln: gg
[5313.605] (S)akahige9280: nt
[5320.458] vovovod: リアルあわわ
[5325.202] lililllln: インタビュー(謝罪)
[5356.372] cocomaaru: ス、マーフしてくれよ
[5396.732] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[5440.833] lililllln: ｗｗｗ
[5445.686] (S)akahige9280: 早かったなーら
[5448.736] (S)akahige9280: www
[5454.298] lililllln: 大丈夫かぁｗｗｗ
[5463.203] lililllln: 俺用ね
[5465.257] (S)akahige9280: 俺よう？
[5561.001] lililllln: NotLikeThis
[5570.077] (S)manji5616: www
[5610.808] (S)akahige9280: www
[5614.068] lililllln: ガチだｗｗｗ
[5636.394] lililllln: ゲッコ⤴︎⤴︎
[5638.914] (S)あとたろ: ゲッコォ↑
[5692.273] lililllln: うるーか楽しそうだなｗｗ
[5737.267] lililllln: こたはこたでもけんきん家のこた🐶
[5760.372] lililllln: ｗｗｗ
[5764.759] デクです: wwwww
[5853.872] lililllln: LUL
[5934.465] lililllln: がんばえ〜
[5941.142] デクです: またACE見せちゃお
[6024.815] (S)akahige9280: www
[6026.195] lililllln: ｗ
[6114.843] lililllln: あ
[6116.118] ミロスティック: www
[6117.493] (S)akahige9280: wwwwww
[6119.597] vegadrums: www
[6120.728] lililllln: なんでだよおおおおおwwwww
[6124.537] (S)manji5616: www www
[6125.109] (S)かなるな: え？
[6128.143] lililllln: おもろすぎだろｗｗｗ
[6134.572] vegadrums: さすがにわろたｗｗ
[6136.577] うみねこ01: めっちゃ手前ｗｗｗ
[6142.254] chromrem: wwwwwww
[6144.511] (S)かなるな: 見に来たらえぐいことしてた
[6164.054] (S)かなるな: その手ってどのて？？
[6170.585] (S)じぇにん: https://clips.twitch.tv/PiercingGenerousCheeseDerp-WuJtxjCwWALkXzqJ
[6184.184] lililllln: ｗｗｗ
[6189.820] lililllln: あ
[6192.714] ミロスティック: www
[6196.520] (S)かなるな: 上手いよねぇ笑
[6199.497] lililllln: なんだ？何かあったのか？
[6218.312] (S)akahige9280: wwwwww
