[2169.980] (S)ルイボステイ: 過去キャラとかネタ出てきたときはそう考えると楽しいのは実際そうｗ
[2175.623] (S)akahige9280: 没入感得られる
[2181.523] (S)今来たクラウド: マルチバースやね
[2184.054] kiuipie: メイン配信がんばです💪
[2184.939] ultimateinudog: もしかしたら14の歴史の中に3と同じ流れがあったかもしれない
[2185.793] (S)かなるな: わかる、映画シナリオみたいでスコ
[2202.437] (S)chiikoma: 過去作たくさん出てくるのほんとうれしい
[2203.446] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[2213.783] (S)かなるな: なくね
[2215.199] (S)ふここ: 危ないところだった
[2223.815] pkpk14: まだ大丈夫そう
[2225.018] nwurm: テスリーン未遂
[2228.822] (S)おばらら: けっこう序盤でえぐってくるからね １４
[2246.243] (S)おばらら: 上手に過去作とからめてくるから
[2250.239] (S)rootlic: 元作品の話をうまいこと14アレンジするね
[2254.667] ナターレの2019: 元ネタと話の流れがだいたい同じだったりするしね～
[2261.349] pkpk14: ケフカとか魔列車も出てくるの熱かった
[2261.803] 忍者衛門: 今のままならだいぶ丁寧なフリやった後にああなっただけで済む
[2262.521] nwurm: ６の話もすこし出てた
[2265.877] (S)りこりりぃ: りこりりぃ subscribed at Tier 1. They've subscribed for 3 months! 
[2266.361] (S)かなるな: 繋がってるのエモいよな
[2287.505] (S)waruguchi_typhoon: 過去作を風化させないの、イイ！
[2294.444] 缶ぶり: 他の世界があえて明らかになってないよね
[2299.596] (S)ainniain: 完全なイコールじゃないけど、全く違う人にはならないようにしてたりしてる
[2314.422] alphas_white: 逆に原作と絡めて欲しくないって人もいるだろうしね、好きに解釈していい
[2314.509] (S)akahige9280: スーって落とし込めるのすごい
[2321.008] (S)かなるな: 違和感がないように、上手いことやってる
[2323.503] (S)弾丸: 作って人上手いなー
[2338.090] nwurm: 太守と会えるらしいぞ
[2359.402] (S)ふここ: やっと
[2365.784] (S)弾丸: DinoDance
[2367.032] (S)らずきち: びゃん
[2389.177] nwurm: 陸路だとラザハン遠いんだよな
[2413.101] (S)おばらら: 破綻しないように丁寧に設定してる
[2423.815] (S)rootlic: 全作やりこんでてもなお気付かんかったとことかあったわ
[2424.806] (S)おちむう: ニヤリと出来るんがいい
[2430.909] けいしゃん: 魔列車も最後あっ！！って演出あったもんな
[2434.494] (S)黒枝我楽: FF14から過去作もう一回やりたくなるよね
[2435.680] (S)yukke268: 秘話とかもいいですよ
[2453.859] (S)akahige9280: ほぉ
[2455.380] topi12121: わかる
[2457.099] (S)rootlic: 9の要素はめっちゃ期待されてるね
[2457.178] だーば: 楽しみよね
[2458.707] (S)おばらら: わかる
[2458.846] (S)chiikoma: うんうん
[2461.882] kukuhanaya: わかる
[2465.965] (S)今来たクラウド: ソリューションナインね
[2466.289] 清水です: ほぼ確定でしょ
[2469.856] nwurm: FFだと９が一番好き
[2470.176] けいしゃん: 特典マウントもアークやしね
[2472.265] karutanpt: 楽しみや
[2479.051] kukuhanaya: アークがもらえると聞いて飛び上がって予約した
[2483.928] (S)おちむう: 楽しみ
[2484.649] (S)にうるす: それもあって９の予習避けてるや
[2489.785] pkpk14: 過去作にいた種族とかも来るし
[2489.881] ナターレの2019: ﾊｯﾊｯ ﾊｯﾊｯ
[2493.250] (S)rootlic: くそ長演出召喚でおなじみのアークさん
[2502.155] (S)ふここ: ようやく入れてもらえる
[2516.432] kiuipie: ジタンのミニオンがエモいエモい…
[2522.506] pkpk14: アーク知らなかったけどかっこよかったから予約したw
[2530.756] (S)りすてぃー: 紅蓮祭のユウナはミスリードだったんかな
[2543.818] (S)ふここ: ではないか
[2546.501] (S)弾丸: ちゃうか
[2555.820] (S)おばらら: いい声ふたたび
[2561.305] pkpk14: 耳が幸せや
[2565.149] ナターレの2019: ガイドさん来たあ
[2568.687] (S)ふここ: 草
[2570.369] 韮戸春菊: 良い声だ...
[2571.131] (S)サンレ: おい
[2571.301] (S)ふここ: 台無しや
[2572.817] (S)chiikoma: ｗｗｗ
[2573.038] (S)rootlic: 植生からして鮮やか
[2573.479] gozen_reiji000: 最悪や
[2574.065] 七瀬007: w
[2574.086] (S)弾丸: ｗｗｗ
[2574.705] topi12121: え？w
[2575.754] メメゲンマイ: あるあるｗ
[2575.912] (S)えりち_: ？？？？
[2576.577] torineko: wwwwwwwww
[2576.611] pkpk14: おい
[2577.270] ナターレの2019: なんて例え
[2578.753] だーば: やめいｗ
[2580.745] ティアマトー: わかりづらい例えｗ
[2582.124] nu__chrono: あるあるｗ
[2582.202] (S)chloe48o: つらい
[2584.087] xhibikixxx: 例えやめてｗｗ
[2584.181] (S)akahige9280: こんな感じなんだw
[2585.145] 缶ぶり: 金色のあれかw
[2586.189] gon3399: あるけどw
[2586.256] soralis99: 例えおわってない？w
[2586.355] (S)かなるな: 世界観が
[2586.689] himayama___: あるよなこんなの
[2597.227] (S)サンレ: 言いたいことはわかるけどｗ
[2597.894] (S)しぃっぽい: カラフルですけどもｗｗｗ
[2599.023] xhibikixxx: 奇抜なデザインなのあるよね
[2599.573] メメゲンマイ: まじでアラビアン
[2600.364] tombi1973: 湾岸線から見えるとこねｗ
[2606.101] porinman: 小学校の社会見学で行ったことある！
[2606.740] (S)おばらら: まじか みてみる
[2607.837] (S)サンレ: あれ派手よなｗ
[2609.463] nwurm: 大阪はそういうところ多い
[2611.187] (S)えりち_: ほんまやwww
[2611.471] ナターレの2019: ホントだｗ
[2616.738] ティアマトー: 舞洲工場とかいうやつ？
[2616.780] weezer_jp: 舞洲のやつかあ
[2616.982] gon3399: いや、ほんとにそうなのw
[2617.664] (S)rootlic: どちゃくそ派手で草
[2617.803] (S)akahige9280: ほんまやったwww
[2618.036] だーば: ほんまやｗ
[2623.165] (S)かなるな: ほんまや
[2630.982] (S)えりち_: テーマパークの入口みたいだったwww
[2638.937] (S)ふここ: どこかで見た
[2639.713] (S)サンレ: お気づきでしょうか
[2639.812] (S)yukke268: ｗｗｗ
[2640.290] (S)rootlic: みたことあるなぁ
[2641.398] (S)おばらら: ぐぐってきた そのまま
[2641.916] nwurm: 見覚えが？
[2643.744] (S)今来たクラウド: あ
[2643.975] 七瀬007: www
[2644.395] (S)かなるな: 昔テレビです記憶あったわ
[2648.852] xhibikixxx: ｗｗ
[2697.488] ナターレの2019: ゴミ処理場より使ってる色が多い
[2703.253] (S)らずきち: ｗ
[2703.542] (S)えりち_: レイドくん？？
[2705.609] (S)しょーぐん: ｗｗ
[2709.151] (S)yukke268: れいーど
[2709.658] (S)バンクマ: れいーど
[2712.975] (S)かなるな: ここにおったか
[2719.125] soralis99: 例えおわってるって言ってごめんね(見てきた)
[2722.177] (S)えりち_: すーぐあだ名つけるw
[2731.098] torineko: wwwwwwwww
[2743.808] gozen_reiji000: ちょっとにてるけども
[2748.649] (S)えりち_: www
[2749.359] (S)chiikoma: ｗｗｗ
[2752.349] (S)かなるな: テーマパークのキャストやしぁない
[2776.976] (S)iemoto1110: イケオジだ
[2783.432] hujikolpxxx: ｱﾋｯ
[2783.838] porinman: 言葉に出して呼びたくなる名前
[2785.830] だーば: ｱﾋｯ
[2794.720] (S)ルイボステイ: いい人そう
[2794.803] (S)えりち_: 髪の毛どうなってんだ？
[2830.838] (S)かなるな: 角立派やな
[2841.950] (S)ふここ: どうしたんや
[2844.566] えにぐま: 流れ変わったな
[2849.057] (S)かなるな: おお？？
[2860.578] ナターレの2019: またまた……
[2867.820] (S)らずきち: い・いいこえ
[2875.808] (S)かなるな: よくあるやつやーん
[2875.815] merutyyyy: w
[2878.960] nwurm: きた
[2887.131] (S)ふここ: BGM好き
[2889.120] (S)おばらら: ふふ
[2891.168] (S)弾丸: ほあ！？
[2898.377] pkpk14: きたぁぁあぁぁぁぁ
[2899.654] (S)らずきち: ふぁああ
[2900.975] だーば: 竜！？
[2901.090] (S)かなるな: 帳ガ上がったらeyesか
[2901.634] (S)akahige9280: えええええ
[2906.295] (S)yukke268: ヘラクレス！
[2911.724] (S)らずきち: にゃん！
[2913.966] つくし__: にゃんにはわかるんやねえ
[2914.758] (S)えりち_: ブリトラ
[2918.368] (S)chiikoma: ニャンとも？
[2923.211] genba_kantoku: 偉い竜
[2927.694] (S)akahige9280: すご
[2931.087] oimotimoti38: 末っ子ちゃん
[2932.706] porinman: セブンに売ってるピザ生地っぽい名前
[2933.464] genba_kantoku: 末っ子
[2942.447] ティアマトー: ミドやんとこの末っ子
[2949.581] (S)おちむう: w
[2954.212] torineko: 合点承知之助やめてwwwwwwwww
[2955.491] (S)かなるな: アハ体験
[2956.817] 清水です: ふっる
[2970.531] (S)iemoto1110: 天竜の鱗ならそりゃ強いわな
[2973.552] tanokuma: wwww
[2993.569] みら姉ぇ: ここなるほど死するかとおもったね
[3024.047] びびたお: ヒューランさぁ
[3026.989] (S)らずきち: おぉ
[3027.115] (S)akahige9280: ドーパミンどばどばやね
[3027.124] 郁_かおる: ここヒューランだと気まずいです〜
[3040.089] yu_yu_cherry: ヒューラン君さぁ…
[3048.343] (S)おばらら: ここ興奮する
[3056.070] (S)sixfutaba: ここで一気に引き込まれちゃうよね
[3064.000] (S)おばらら: 優しい
[3064.013] (S)かなるな: いい龍やん
[3069.383] (S)えりち_: やさしいやつ
[3074.202] (S)ふここ: まさか
[3077.061] (S)らずきち: あ！
[3081.437] (S)akahige9280: あ
[3086.169] (S)えりち_: え
[3087.140] (S)ふここ: ｗｗｗ
[3092.078] (S)らずきち: え！
[3095.859] (S)今来たクラウド: V！？
[3098.527] (S)かなるな: え！？
[3098.988] (S)chiikoma: れいーどの秘密
[3099.909] (S)rootlic: Vtuberってこと！？
[3100.400] (S)サンレ: はー・・・
