[450.174] HirocoT: 誘われ待ちアプデ・・・？
[450.435] aranami0: メンヘラw
[451.625] morinagasyuya: 誘ってあげて 
[452.464] masabonchicken: リザーバーとして待機してたのかな
[452.655] enuemu3: チラチラ勢
[453.747] hiaaru: NotLikeThis
[454.684] (S)hiro_chan: サロンさん？
[455.147] suppappa: 怒るから？
[455.176] thunderbolt0422: こわいこわいこわい
[455.258] taroumaruh: こくは売れた
[456.266] triton11519: キレたからじゃね
[456.337] kaomoji3: 裏で営業頑張ってる感じ？
[456.485] foo_twitch: 雪山できれちゃうから
[457.110] woodmud: やなアピールだなｗ
[457.161] れく太: akikiさん毎回声かけてるけど都合が合わないみたい
[457.549] baystar9377: メンヘラ
[458.608] baibai29: ウメさんに呼ばれないと行けない？
[458.818] kokusairengou: こくは雪山でキレちまうからさ
[459.054] furu13: 仲悪いんか？
[459.493] kaigaizei: 昔しょうへいがやってたやつじゃねえか
[460.032] DancingSheep1119: 空気悪くなるから...
[460.054] donder112: なにそれｗ
[461.102] パンがなければパンはない: 粉営業
[461.306] inkgran: BibleThump
[461.561] MN_HERO: 離婚して一人でフラフラ雪山に・・・危ないな
[463.390] taroumaruh: あ
[463.973] mizu0525: あ・・・
[464.113] toshio0224: あ・・・
[464.294] feel2525: いつでもできますよアピール？
[464.310] yuuubin: 前回は家にいなかったと思う
[464.479] ~MISSING_COMMENTER_INFO~: あっ・・・
[464.656] Botamoti1: シュートより呼べそうでしょあのメンツならｗ
[464.824] celsior_chan: こくは雪山でガチ切れ事件が
[464.920] porcupinepine: ん
[464.925] くせげーむ: あ
[465.188] gomeeen: ん？
[465.228] クラクラ777: あ
[465.703] momiji4431: あ
[465.766] thunderbolt0422: あっ
[465.880] mmiiacha: あ・・・・
[465.881] 残り8万: あ
[465.911] イゼット: あっ
[465.962] suginaka56: 誘って欲しかったの 
[466.320] mako6912: あっ
[466.571] usa451: あ
[466.651] (S)成吉大: あ
[466.716] (S)deadlykitten2525: あ
[466.724] (S)dorayann: あ
[466.927] ハルキ10: あ…
[466.959] kaituburi: もしや、サロン兄の部屋ってコク…
[466.960] Coedawg: あ
[467.038] kakugedaisuki: あ
[467.057] れんぞね: あ
[467.170] 憂う者の弟子: ！！！！！！！！！
[467.181] tissuepaper857: あ
[467.201] chamomile21: あ
[467.345] kiku1133: えぬ…
[467.407] mevius003: あっ
[467.569] nurupo_3: あ
[467.768] ライム_: akikiに嫌われてる？？
[467.885] 将門ゴルゴロ: あ
[468.434] morinagasyuya: あ
[468.519] ゴン攻め: あ
[468.540] 有栖永真: あ…
[468.656] nail06k: こりゃあ・・・
[468.956] raurakd: やめな
[468.991] ザワチョク: あ
[468.998] ミジンコ隊長: あ
[469.489] ebikatsu39: あ
[469.820] wankoro_moti: BibleThump
[469.920] tama_zx61: ｗｗｗｗ
[469.938] blackcoffee0821: え
[470.777] nitamago33: ＮＧ出てる？
[471.186] suginaka56: ああああ
[471.879] ゴン攻め: しーーーーーー
[471.924] kokusairengou: 草
[472.733] akaao123: えいたもいない
[473.172] 将門ゴルゴロ: 紐解いた
[473.782] balthazar000: FPSに行ったんだから、邪魔しちゃ悪いよ
[474.056] やあああ: どういうことだ
[474.554] 我がゴイチ: あ
[475.424] aoi80085: ｗｗｗｗｗｗｗｗｗｗ
[475.435] johnnyppas: 共演NG
[475.492] gorogorogorn: 切れたからかなあ
[475.666] 粉の民くんちゃん: BibleThump
[475.809] egatyan: 雪山でコンプラ違反したから？
[475.918] porcupinepine: "都合が合わない"か
[476.421] junjamaica: あききさん誘ったけど都合合わなかったって
[476.762] Natsuri_k: つまり
[476.901] baibai29: 売れちまったか
[477.606] ilm0806: 昼間は、難しいかもね
[477.609] furu13: ほんと？
[477.778] アベ0206: この話やめとこっか
[478.017] ~MISSING_COMMENTER_INFO~: 都合、ですか
[478.077] イゼット: こくがNG出してる？
[478.125] usa451: ”都合”
[478.380] thunderbolt0422: ”都合”
[478.878] oh_yama329: ｗｗｗｗ
[478.912] woodmud: 金
[479.189] rm_rf__: ちょっと、やめとこうか...
[479.733] adachikujin: こくsakoNG！？
[479.890] mmiiacha: "都合"
[481.020] krs3737: あ
[481.056] onyancoscratch: コラ
[481.159] bbb14231: NGは草
[481.661] 残り8万: ちゃん選ぶ人は決めてるってことよ
[482.576] mukade3: 因縁つくろうとするなｗ
[482.827] 我がゴイチ: 誰の都?合
[482.954] (S)成吉大: 誰かにNG出てるかもね
[483.584] タイフーン: おとなの 都合
[483.664] chamomile21: 共演NG
[485.515] tabibitox: やめろｗ
[486.701] np2np: 昔だったら予定空けてでも出たのになぁ
[486.711] mememe10: こく側がNGか
[486.721] oguricapg1: やめたれ
[488.046] ~MISSING_COMMENTER_INFO~: 生理的にね
[489.889] furu13: 今回は
[490.119] yuuubin: えいたは
[491.109] millioniwashi: 一回キレたからな
[491.867] osipon: www
[492.397] porcupinepine: こくとは"都合"が合わない
[492.868] 泣き虫サクラ: まーたカタンやるのか
[494.736] junjamaica: こく劇の準備じゃない？
[497.792] ~MISSING_COMMENTER_INFO~: ツイッター謝罪の彼
[497.905] pot1111111: こくじん一人で赤３緑８！とか言ってたのかな
[503.416] furu13: 都合、今回は
[504.047] foo_twitch: シノギズム雪山でこくを呼ぶ？
[505.660] suginaka56: リスク管理
[506.529] valhalla5555: コクは女性うけ悪いかもな
[507.490] ライム_: akiki、こくじん仲直り配信たのむ
[508.245] triton11519: 声が大きい人が強い
[510.447] ~MISSING_COMMENTER_INFO~: ギスギスするからね
[513.288] mako_oswald: ksk死にすぎではある
[514.682] kaomoji3: やり込みが違いすぎる
[515.381] muucrs: ナウマン入れる？
[516.077] taroumaruh: いうてこの前の結構負けてたけどねｗ
[516.179] porcupinepine: 人が強いね
[516.509] low_single: シュートぐらいかな
[517.337] gettyozi: バランスブレイカーなんか
[519.851] np2np: みんな簡単に信じすぎなんだよね
[521.533] amaterasdesign: えいた自分はだいぶ久々
[523.877] lm312v04wo: どっちに転ぶにしても支配してるよね
[524.286] イゼット: KSKさんがデスノートでしんでたのはクソ笑った
[524.883] ebikatsu39: 最初の２連続はちょっと変な空気になってたｗ
[524.938] (S)tibusa8: あれはゲーム壊してる
[525.337] woodmud: ヌキさんときどには知りすぎてるからかだまされてたよ
[526.329] ユ一キャン: 声のデカいヤツが強いのは仕方ない
[532.666] reganfa: ヌキさんがいて成立してる部分もあるし難しいね
[533.236] ememeume: ememeume subscribed with Prime. They've subscribed for 46 months! ウメハラさんーーー 
[533.290] (M)Moobot: @EMEMEUMEさん、46ヶ月目のサブスク登録更新！ありがとうございます！
[534.942] onigiri21: ヌキさんの覇気
[536.381] lucentsnow: 不遜の才
[537.331] (S)tibusa8: ヌキさんなんでやり過ぎちゃうの
[537.948] raurakd: ヌキさんだけ練度が違うしね
[538.989] taroumaruh: 未来のヌキさん候補
[540.564] メタルぱんだ: ｗ
[541.781] triton11519: シュートはやるよ
[542.004] 粉の民くんちゃん: ヌキさんの声がデカ過ぎてキツいww
[542.572] porcupinepine: 修羅の子じゃん
[543.462] gomeeen: しゅーとうまいのにおもろい
[543.624] kokusairengou: シュートはなんでも上手い
[544.011] nitamago33: シュートはうまおだよな
[544.043] mizu0525: シュートはどんなゲームもうまいよね
[547.411] アベ0206: ときどさんもうまくなってきた
[547.721] millioniwashi: 抜いて自分で報告してな
[547.931] やあああ: 普通の人狼もうまいしな
[554.361] okojo1991: ヌキさんがひっぱってくれてるって部分もあるんだがなぁ
[554.670] baibai29: シュート人狼強いし考えて動くの好きなのかな
[555.495] Spike_rod: 直して壊してなすりつける
[558.226] ilm0806: あんまり上手くても、つまらんな
[559.321] oh_yama329: ヌキさん神視点実況にしたら？
[560.084] erukima: 頭が良いのね
[560.976] gorogorogorn: シュートおもしろ重視でやってくれるからいいね
[560.980] HirocoT: うまおもしろい
[562.202] junjamaica: あれはヌキもうまかったいうてたね
[568.214] yuuubin: ふーどがやられたとこは笑ったw
[568.356] taroumaruh: シュートくんは地頭マジでいいよね
[570.251] hotokemax: シュートは、コードネームだけは…
[574.325] potocki1810: シュートは雪山野良勢だったですし
[576.320] usa451: 総師範なんでいつもすぐシンでしまうん？
[579.678] chibaxx: ヌキさんおじリーグ楽しみ
[579.932] tondemonaiyo: 一休さんがよお
[588.505] baystar9377: シュートはおじと絡んでも面白い
[588.999] bonanza_death: うめちゃんと組んでる時もうまかった
[591.981] アベ0206: ロッジで息絶えたKSKさん今年一番笑った
[593.163] toshio0224: ああいう系のゲームの野良は怖いよなあ
[595.125] kokusairengou: そういえばそうだったな、野良で三太郎と遭遇してたような
[595.268] porcupinepine: タチもやってたなぁ
[595.509] baibai29: ｗｗｗ
[595.753] lucentsnow: 40歳サイエンティスト
[595.951] foo_twitch: コミュおばけか
[597.155] oimo: ｗｗ
[597.475] prototypeie: www
[597.537] れんぞね: チェリ太郎
[597.613] thunderbolt0422: 三太郎さんの雪山マジでおもしろかったｗ
[598.066] ~MISSING_COMMENTER_INFO~: あったねｗ
[599.608] raurakd: ヌキさん信じきれなかったウメちゃん笑ったな
[601.068] millioniwashi: さんちゃんの野良は地獄だったわ
[602.239] akaao123: さんちゃんの面白かった
[602.306] low_single: ｗｗｗ
[602.469] osipon: wwwwwww
[602.700] sarah_0519: wwww
[602.849] mako6912: チェリ太郎w
[604.839] ememeume: 懐かしいw
[607.635] kaituburi: 三太郎さんの野良は面白かったw
[608.126] triton11519: 三太郎さんは“やばい”
[608.288] krs3737: チェリ爆誕
[610.204] ebikatsu39: ｗｗｗｗ
[610.320] as6623: ｗｗｗｗｗｗｗｗ
[610.524] ~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗｗｗ
[610.649] potocki1810: 見てたーw
[610.966] aranami0: wwwwww
[611.031] feel2525: ｗｗｗ
[611.229] sariechan: wwwwww
[612.394] lucentsnow: ｗｗｗｗｗ
[612.589] rm_rf__: wwwwww
[612.705] kaomoji3: 面白すぎる
[612.728] (S)dorayann: ｗｗｗｗ
[613.096] HirocoT: ｗ
[613.810] shishigamibungu: ｗｗｗｗｗ
