[203.944] すぐるん: レッドブルシュガーフリーのやつじゃね？
[204.060] dfhik: うめちゃんふーどよりデブじゃない？
[204.724] lecanon: fatboy slim
[204.772] sowhat77179: 汗染みかと思った
[205.261] 5555454n: デブデブコンビ
[206.489] ~MISSING_COMMENTER_INFO~: Red bull kills your insides 
[207.472] yadai09: レッドブルは太るんですね
[207.903] naoyoshi73: ぐりぐらｗｗｗ
[208.085] おかりゅう: ハラキリソニックの真相が！！
[208.099] hkfj0: アル中デブコンビ
[208.539] rtmt: ふーどが痩せて見えるという良効果が
[208.573] Leonhard598: ライン
[209.423] 7yashiki: 太い
[209.734] lookeezy: Razer?
[209.739] memenki: レッドブル飲んでじゃねえよ
[209.991] tenshi_ch: デブいたあ
[210.512] さぶろ: ＥＶＯで売る服ってどんなやつなの
[210.544] suwatei: シュガーフリー
[210.916] ~MISSING_COMMENTER_INFO~: とりあえずおなかみせてよ
[211.274] nanasi12: ウメちゃん何キロあるの今ｗ
[211.618] 鷹爪三角脚: レッドブル
[211.968] kakiseed: レッドブル飲むなはスポンサー降りろと同義でしょｗ
[212.735] foc_wake_up_cue: ラーデブとアルデブ
[213.629] hjhjhjkk: 横向いたときの腹ｗ
[214.369] 023023: rageからいこうか
[214.936] domontyan: BAM9から
[215.023] maguru: ブクブク太りやがって
[215.768] marumaru6: デブハラ・・・
[216.822] へれそ: あっ
[216.899] gmmcom: ｗｗｗｗｗｗｗｗｗｗｗｗ
[217.324] samawan: 後ろの人形痩せてるな
[217.396] miyuhoshino: ふーどログ戦凄くよかったよ
[217.629] zako2ako: Rage辺りからじゃない？
[217.727] meajikan: 暑がりデブ
[218.136] rias9121: あっ
[218.136] liberz11: jiyuna daisuke
[218.164] わたりぃ: 切腹
[218.435] shin4567890: レイジｗｗｗｗｗ
[218.688] twitch555123: 時系列
[218.866] mutuizumi: ちこく
[219.292] okamasa456: ｗｗｗｗｗ
[219.550] omochi_3: ｗ
[219.768] fujikof3: レッドデブ
[219.933] tristana525: あっ
[220.303] Papapadad: あっ
[220.441] sugarsato_: いけない
[220.449] entrony: 時系列
[220.606] gmmcom: ＲＡＧＥｗｗｗｗｗｗｗｗｗｗ
[220.693] leere1017: RAGEからかｗ
[221.461] donpappeer: 時系列でお願いします
[221.663] 鷹爪三角脚: レイジｗｗｗｗｗ
[221.936] ~MISSING_COMMENTER_INFO~: あ
[221.978] that_japanese_dude: あ・・・
[222.323] ~MISSING_COMMENTER_INFO~: いや違うよ
[222.490] kart_8686: ふーどさんスイッチ買えた？
[223.176] zweihandor: 話すことあるぅ？
[223.188] sarah_0519: あっ
[223.234] KeyserSaucet: wee need to see you on Tekken 7 guys 
[223.943] tiger_x_chicken: 今日のウメちゃん結構作画いいね
[223.995] okamasa456: レイジｗｗｗｗｗ
[224.053] junya0430: 遅刻ｗ
