[21.423] m_k_style: umeSalute
[737.441] kamiya1979: えー
[737.858] sonic_chop: チーズかめんたい？
[737.963] 我がゴイチ: ドン！
[738.049] 5don: ながいwww
[738.199] かぁわむら: wwwwww
[738.428] fbhjkl: WutFace
[738.494] クラクラ777: 鉄板
[738.641] (S)イエール: アイイイイイ
[738.818] ひろみつー: ええええええ
[739.885] (S)yukikaze083: ですよね～
[740.257] (S)moppu_gake: w
[741.281] (S)ichione111: ですよねー
[741.334] sonic_chop: あーｗ
[741.633] gomeeen: ですよねー
[741.721] (S)sharks_up: 納得
[741.789] tabibitox: 知ってた
[741.808] momomon_y: ええええええ
[742.050] tayue07: サラミは？
[742.915] いぬみみ: めんたいかww
[743.422] mamamamatsu: んんん
[743.531] (S)Reopon_: 変態小足？
[743.813] blackuma: ですねｗ
[743.824] brocco999: あたりまえよ
[744.439] joedart123: でしょうね
[745.037] 我がゴイチ: 小声www
[746.112] fuku_hiro: コンポタどうして・・・
[746.356] 5don: めんたいかああああああ
[746.568] lutz001: やっぱりね
[747.712] ebiebi12: それはわかる
[747.842] 000105: コンポタは好き嫌いあるのかな
[748.738] potocki1810: だいたいみんなそうｗ
[750.278] ilm0806: え、普通
[751.771] poposuke: 3rd.サラダ・納豆、2nd.たこ焼き、1st.めんたい味
[751.866] (S)イエール: wwww
[752.373] べガモス: ASMRたすかる
[753.107] 5don: コンポタは
[753.663] 箸くれ: 意外とガチ勢の回答
[753.990] (S)とも8はる: めんたいイエーイ！！！
[755.629] カブトシロ: ナ・ル・ホ・ド
[756.352] かぁわむら: 紫のやつな
[757.149] v_harumi_v: なるほどー
[757.399] blackuma: 結局人気どころよねｗ
[758.071] gomeeen: あの粉はやべー
[758.582] chin_56_: くう
[762.096] 千葉県おっさん: 分かってるね
[762.532] (S)イエール: コンポタも美味いよね
[763.120] (S)ponponguripon: どぅるるるるるる
[764.106] poposuke: あれ、明太子味じゃなくて、めんたい味ね
[766.720] (S)とも8はる: わかる
[774.314] 000105: コンポタちょっと甘いのよ
[778.676] 眼鏡_時々曇り: コンポタさん……
[787.287] 5don: 詳しい
[792.695] クラクラ777: ほう
[795.019] (S)イエール: ほほい
[795.423] (S)yukikaze083: はーい
[796.599] kamiya1979: ほい
[797.011] v_harumi_v: 皆で決めるの？
[797.115] sonic_chop: はぁ～い
[798.493] かぁわむら: 1つめうまい棒
[800.740] 5don: はーい
[801.119] potocki1810: おおおお
[801.372] v_harumi_v: はいですー
[802.041] (S)sharks_up: 暫定一位
[803.812] fbhjkl: ok
[808.895] asakou_8929: 質問が良かった？回答が良かった？
[809.441] v_harumi_v: はーい
[814.964] 5don: umeWin
[816.355] 風水ライダー: 過去から読むのね
[817.163] ダーニシ: はーい
[821.953] (S)イエール: 梅原先生
[822.939] 夜神総一朗: なげえ
[828.417] 5don: 先生！
[834.508] ~MISSING_COMMENTER_INFO~: お悩み相談です
[835.663] sonic_chop: あらー
[843.991] chin_56_: 愛やよ
[849.886] 泣き虫サクラ: 女性作家がキャラを殺せないとかのやつ
[851.239] 5don: 愛ゆえに… 
[870.687] 000105: 独立かぁ
[870.818] hikky722: Love is over.
[871.764] 箸くれ: せんせい
[884.860] gomeeen: どんだけやらせんねん
[887.713] ~MISSING_COMMENTER_INFO~: themus62WeirdSmile
[897.936] gettyozi: こりゃ難しいな
[898.604] chin_56_: せんせぇ〜
[902.214] ~MISSING_COMMENTER_INFO~: まずながい
[908.258] 風水ライダー: やる気勢
[918.121] 箸くれ: 責任おもてえ
[927.814] あかの: いい事言ってくれる上司だな。気付かないクリエイター多いと思う
[929.095] ~MISSING_COMMENTER_INFO~: 俺の貴重な時間をな
[930.011] uroitann: そうなんだw
[930.465] (S)sharks_up: 長くても全部はわからんよな
[933.772] 泣き虫サクラ: 回答する側あるある
[942.830] 夜神総一朗: 1万円も払うなら、仕事はハッキリ言わないともったいない
[952.382] tabibitox: 前にウメちゃん言ってた大衆受けは妥協じゃなく課題ってやつやな
[958.229] カブトシロ: 対策不十分か。
[966.632] ~MISSING_COMMENTER_INFO~: マシュマロに送ってね
[971.494] v_harumi_v: うんうん
[979.921] homu0117: 部下じゃなくて右腕ならいるが…
[1000.746] ecell11: クリエイトしたいか管理職でいいのかで選択肢が変わりそう
[1000.894] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1023.124] yawake: 質問者はサビ残とかで仕事を成り立たせてたりするってことかな
[1024.076] v_harumi_v: はーい
[1025.712] ドンルーカス: こんばんはーー 
[1029.196] v_harumi_v: 優しい
[1045.133] inari_tencho: スーパーレター＝お急ぎ便
[1047.643] hikky722: story of my life
[1073.780] niemalsaufgeben: 考えて思ったことを言ってくれればいいよね
[1087.777] hikky722: 俺たちだ…
[1093.962] カブトシロ: 狂気の沙汰ですね。
[1099.954] brocco999: 愛で締切ぶっちぎってたりすると論外
[1108.445] v_harumi_v: ；＿；
[1150.881] 箸くれ: かっこいいよなぁ
[1157.220] ~MISSING_COMMENTER_INFO~: 自業自得
[1157.714] ミジンコ隊長: BibleThump
[1185.237] gomeeen: 明日死ぬとしたら
[1188.216] もきち555: 心を殺して生きていく
[1189.141] niemalsaufgeben: 好きなことやることにはリスクがあると納得してた
[1205.790] tabibitox: 道理やねほんと
[1216.221] 楽しいお寿司: SFにオールイン
[1226.136] hikky722: 道理ではないでしょ…
[1243.818] ekakinoken: ウメちゃん
[1266.152] kogumi5961: うめちゃーーーん
[1268.847] potocki1810: BibleThump
[1272.937] ekakinoken: 蠱毒
[1273.366] なんやねん: ；；
[1309.028] pityutyunpa: これはわかります
[1309.139] (M)(S)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1315.626] 箸くれ: 言語化はたぶん漫画読みまくりの副産物でもあるｗ
[1334.183] tabibitox: 編集の田中さん
[1346.584] ミジンコ隊長: かっこよ
[1354.372] クラクラ777: ひとそれぞれやな
[1360.590] erisuk: 金あるなら次も同じにならない可能性もあるし離れてもいいんでね
[1364.434] 箸くれ: 出世したいのかどうかもあるよねえ
[1370.220] (S)ponponguripon: 独立して仕事選んで食えていけるなら
[1372.685] もきち555: 何を求めてるかになっちゃうか
[1379.155] 楽しいお寿司: テレ東の佐久間Pみたい
[1381.378] sei_6: 安定だしてから夢追うパターンもある
[1387.215] (S)sharks_up: 背中押してほしいような気もする
[1396.763] (S)yuukida39: キャリア進むと管理職になるんよね
[1398.746] chin_56_: こんなもんど
[1405.212] pityutyunpa: 覚悟があるかってことよね
[1406.110] niemalsaufgeben: 説得力ある
[1413.673] v_harumi_v: もちろんいいよー
[1414.374] クラクラ777: やってなかったｗ
[1414.877] (S)sharks_up: 許可する
[1415.337] potocki1810: のどをまもれーい
[1415.750] カブトシロ: どうぞどうぞ。
[1415.858] bakuseiha: ウメちゃんは元々プロになろうと全く思ってなかったし成り行きでプロになったようなもんだし
[1416.652] erisuk: 多少売れててもつまんねーなこれっておもうもんはこうやって生産されてくんだな
[1417.243] hatomugi101: どうぞ
[1417.300] momomon_y: だめだよー
[1417.585] (S)ponponguripon: どぅるるるるるするから
[1418.410] もきち555: 加湿に目覚めたウメちゃん
[1418.573] ~MISSING_COMMENTER_INFO~: ネセス
[1419.330] v_harumi_v: とことことこ
[1421.129] tabibitox: 水からかよｗｗｗｗ
[1421.693] ミジンコ隊長: ええで
[1427.551] maya_g01: 加湿加湿～
[1428.279] kamiya1979: 許可必要なのねw
[1431.958] gomeeen: 加湿器に水を！？
[1432.348] kogumi5961: かわいいいいい
[1441.125] ~MISSING_COMMENTER_INFO~: themus62DogDanceShake
[1445.459] ekakinoken: 加湿器どうぞ
[1447.789] 000105: 加湿器コンシェルジュＤはおらんか？
[1448.038] chin_56_: ｼﾞｮﾎﾞﾎﾞﾎﾞﾎﾞﾎﾞ
[1459.929] カブトシロ: 加湿器「水プリーズ！」
[1462.179] niemalsaufgeben: のどケア
[1463.957] もきち555: 湿度計もあると便利よー
[1473.168] ~MISSING_COMMENTER_INFO~: 半袖
[1478.986] erisuk: のそのそ
[1482.835] v_harumi_v: 加湿もばっちし。
[1485.114] v_harumi_v: おかえりなさい
[1485.302] まるいとうふ: umeDuo
[1485.805] chin_56_: よっこいしょ
[1487.179] v_harumi_v: はい
[1495.036] 5don: はーい
[1530.045] gomeeen: ｱｷﾁｬﾝいるぅ？
[1531.548] カブトシロ: はい。
[1533.557] mukimukipanda: きそん
[1534.561] もきち555: まーたキャラクター多くなりすぎるｗ
[1538.355] かぁわむら: アキなぁ
[1543.729] tabibitox: マリちゃん
[1546.331] 箸くれ: マリーザ
[1547.475] v_harumi_v: アキ、マリーザ
[1548.203] hikky722: スト6新キャラ結構頑張ったよなぁ
[1548.439] ミジンコ隊長: 結構いるな
[1550.371] 4444446666: キンバリーは？
[1551.137] 千葉県おっさん: キンバリー？
[1554.850] v_harumi_v: キンバリーも
[1562.413] パイパイ: 結構居んな
[1571.896] かぁわむら: 結構多いよ
[1572.501] kinazoukun: 新規の人多そうだから完全な新キャラでよさそう
[1576.531] shoooookgo: そんなもん
[1580.504] jamxqc: 新キャラ少ないそして弱い
[1592.093] hikky722: 本田ブランカダルシム…
[1595.829] tabibitox: 追加の新キャラはAKIだけだしな
[1618.274] erisuk: 新キャラ本当によくできてる
[1621.128] 闘劇のアルベルト: マリちゃんいいキャラ
[1622.125] hikky722: キンバリーは武神流だしな
[1623.308] potocki1810: りりーたそ。。。
[1623.785] mart_00_: 新キャラ人気な割合多いね
[1629.080] poposuke: A.K.I. リリー JP マリーザ マノン キンバリー ジェイミー
[1629.360] niemalsaufgeben: 人気もあるね
[1630.331] かぁわむら: マリーザは分かりやすくて良い
[1634.738] (S)sharks_up: リリーは転生
[1634.822] sei_6: ｗ
[1636.245] tabibitox: リリーはホーク
[1638.009] クラクラ777: りりー・・・どうして・・・
[1638.457] maddy2623: w
[1639.204] chin_56_: リリーてめーはだめだ
[1640.608] hikky722: ホーク転生ｗ
[1641.524] ~MISSING_COMMENTER_INFO~: ほうほう？
[1643.170] 箸くれ: ひびき；；
[1644.007] erisuk: リリーはしょせんホークだよ
[1645.276] (S)kosmos5567: T…
[1646.296] ぐるえむ: ｗｗ
[1647.063] osarusan26: マノン弱いって言われてたけど使ってみたらめっちゃ面白くてメイン変わるレベルで遊んでる
[1653.903] nikkou18: そらホークのスキンみたいなもんやしなリリー
[1654.987] mart_00_: 要素がおもろいよね
[1665.284] j_zima: j_zima subscribed with Prime. They've subscribed for 50 months! 
[1666.237] もきち555: ちっちゃい女の子になっただけ
[1668.396] かぁわむら: マノンのメダルとかおもろい
[1676.523] pityutyunpa: うん
[1683.669] niemalsaufgeben: スト2
[1690.547] jagajaga1943: りゅう・・・
[1696.115] erisuk: まず自由度はなくなるわいなあ
[1698.339] ミスターポポ: おもろい考察
[1701.964] tabibitox: たかし・・・ケンは進化したのに
[1703.506] 闘劇のアルベルト: 一旦刷新したいね
[1707.319] ~MISSING_COMMENTER_INFO~: 過去をいつまでもね
[1709.405] すずかぜ: リュウのこと?
[1709.410] 下から失礼: たかし
[1710.323] v_harumi_v: なるほどねぇ
[1710.498] ミジンコ隊長: たかし・・・
[1710.984] chin_56_: なんかこれぇ…
[1712.724] valhalla5555: がいーる？
[1718.694] 千葉県おっさん: たかしお前旅に出ろ
[1719.783] カブトシロ: 本田はあまり変わらんね。
[1720.339] hikky722: 過去へのリスペクト
[1720.953] pityutyunpa: 1度完成されちゃうとねえ
[1736.668] (S)sharks_up: いいバランス
[1739.636] 下から失礼: ぶらんか
[1743.614] ミジンコ隊長: 売れなきゃ次出せないからね・・・
[1744.139] erisuk: 全部新キャラだったらもうタイトル違うことになるからね
[1745.491] niemalsaufgeben: 半々
[1748.532] mukimukipanda: きそん
[1751.762] 4444446666: うっまｗｗ
[1755.073] mart_00_: すご
[1755.900] クラクラ777: すっごｗ
[1757.991] mac011400: すご
[1760.207] pityutyunpa: おお？
[1761.484] 4444446666: ３か月でそれはやばすぎるだろ
[1762.836] tsubomaru: 5のエドは好きじゃなかったけど、6のエドは使ってみたい
[1765.677] 5don: すごそう
[1766.953] (S)nail06k: え？つよ
[1768.907] hikky722: マスター未満はモダン多いねぇ
[1770.827] brocco999: 才能の塊
[1775.893] j_zima: umeYay
[1777.631] (S)sharks_up: 動画ないんよね
[1782.731] 4444446666: ＭＲって言ってる時点でマスターなんだが
[1784.178] ekakinoken: ウメまんズ
[1793.419] chin_56_: ｷﾞｷﾞｷﾞ…
[1793.734] 5don: 1週間 えらい
[1814.767] (S)へちさん: よく1週間続けられたなぁ
