[467.768] sistersguitarreplica: 遅刻にい
[469.107] usa451: ジョジョの実況やってたからか
[469.377] よっとです: 888888888
[469.892] のぞみくん: kokuji3Hook
[470.207] (S)nitro_7171: soushihanKane
[470.978] chikumy: umeHotoke
[471.975] feel2525: 斧
[472.035] kurobedam: ぶっちゃけ企画倒れだと思ってた
[473.659] ei1eN: umeYay
[474.940] tsukikage_saga: ８８８８
[474.976] cook_5921: 8888
[474.995] umetyaahan: ハチワレ大吾
[475.837] モギタマ: 獲れんのか！！！
[476.615] donekofg: 珍しい分け目
[477.825] latenight000: 斧最強説筆頭
[478.086] (S)えび猫: umeYay
[478.086] sndkzfm1: bokete
[478.520] sahaha213: 王
[478.927] nihonsyu_: 888888
[480.172] ヨコグシ: 888888888
[480.387] (S)黒猫くん: 遅こく草
[480.756] pandascal: boketeがスポンサーに！？
[480.922] 新ころりん: こく兄
[481.131] tsukikage_saga: ウメちゃん若い頃に髪型にてるねえ
[481.929] のって: ﾄﾚﾄﾅ
[482.362] (S)tama_zx61: 斧久
[483.831] Rose_Line: アールさんやん
[484.668] lun__01: こく"にい"
[484.898] takakurataito: Rじゃねえか！！！
[484.912] のぞみくん: kokuji3Chu
[485.395] ta3z_: シュバルツ・ブルーダー
[485.398] よるねこ族: 何時に終わるかなー
[485.503] kuroji61: アールさんきょう現場２つ目だろwがんばるなぁ
[486.251] totokarutyo: DETA
[486.922] ememeume: オノ
[487.141] Norsest: こく兄
[487.840] river7676: あのリジェクトの！？
[487.924] ましゅダヨ: ハチワレ王草
[488.038] zyangara2: こく”にぃ”
[488.086] kimanaka28: た、たれんと
[488.518] GYAKUBANE: 流石に許可取るのに時間がかかった模様
[488.583] baycurry16: 120kgだっけ？
[489.257] 憂う者の弟子: じんで
[489.264] tsukikage_saga: ｗｗｗ
[489.745] (S)nitro_7171: soushihanTekika
[490.064] donekofg: おねがいしまーす
[490.631] ルキ: これ見るためにチャンネル登録した
[490.663] (S)CampFire71: 草
[490.768] ちゃやこ: umeCossack
[491.158] methotrexate_aym: ｗｗｗ
[491.206] cook_5921: こくじん！
[491.228] usa451: ｗｗｗ
[491.744] feel2525: こくじん
[492.059] tsukikage_saga: こく”じん”
[492.190] mako_oswald: wwwwwwww
[492.216] danny_love_danny: wwww
[492.430] v_harumi_v: こくじんさん！
[492.491] meeememe: ｗｗｗ
[492.652] (S)nikukuisugi333: 遅刻さん
[492.754] ebiebi12: 背景の色がちゃんと抜けてない
[492.768] (S)fikat_0702: ｗｗ
[492.895] 新ころりん: アッハイ
[493.106] ヨコグシ: www
[493.257] umetyaahan: こくじんで
[493.544] hohijin: あ
[493.798] Loytory: ｗｗｗ
[493.809] Cammy_strike: DFNの裏でやってんのか！
[493.925] tosshy_type89: LUL
[494.449] numewo0: www
[494.547] ddb365: ん
[494.741] tsukikage_saga: ８８８８
[495.021] sn0wf0x3: wwww
[495.256] 5don: じん
[495.901] もきち555: こくじーん
[495.985] sai927: 名前の扱いがダルい
[496.077] sarah_0519: wwww
[496.185] (S)くえんち: ｗｗｗｗｗｗｗｗｗｗｗ
[496.320] lun__01: こっくじん！
[496.432] 何も知らないジョンスノウ: www
[496.474] kaban1192: じん
[496.512] onedaan: こくじん
[496.615] ぷーぬ: おいおい
[496.797] (S)deep_cross: www
[497.105] furyu0402: きょうはこくじんｗｗｗｗｗｗｗ
[497.255] しろまるこ: 888888
[497.358] ラリぶべぼ: じーん！
[497.403] Norsest: こくじんで
[497.471] moritakaduyosi_aka_tamori: こくじんｗ
[497.496] ましゅダヨ: こくのほうww
[497.894] naginagi99: 公認ついてるけど、いいのか？ｗ
[498.082] (S)エムクロ: ええんか
[498.298] amorphoushap: kokuji3Nya
[498.394] (S)箸くれ: 王のルール
[498.477] (S)takahashiseigi: いいのかよw
[498.691] (S)evimayo88: 「こくじん」
[498.835] Tani1090: wwwwww
[498.884] ta3z_: それで良いのかｗ
[498.946] yudedako: 帰ってきたこくじん
[499.051] mako6912: こくじんさん
[499.079] モギタマ: 裏の顔やん
[499.450] herumann: 初心者のコスプレイヤーさんにスト６負けた人だ
[499.557] のぞみくん: じん
[500.172] sunu_p: 黒人！？
[500.430] poppy1232: まっずい
[500.667] user_5960: あっ…
[500.832] ememeume: どっちでw
[501.384] ヘイヨー: こなにい
[501.592] (S)れんぞね: 使い分けあるんだ
[501.604] xxzoids: こくじん！
[502.019] (S)4きね8: 大丈夫かｗｗｗ
[502.072] yuhi_N: じん
[502.115] maruino351: 危ないほう
[502.864] (S)brutal9998: めんどくせえよz
[502.865] daiz_u: ”シュバルツ”
[503.211] stoner3322: こく、じん
[503.382] usa451: おまえは、こくじん！
[503.382] shin2555: 選んでこくじん
[503.450] ポンポン: こくじんはまずい
[503.471] shiro_risu01: umeCat
[503.620] baycurry16: 裸の勝久
[503.640] ys120: ラインに挑んでいく
[503.759] 新ころりん: 今日は配慮無し！
[503.911] (S)kani7321: こくじん 
[503.918] latenight000: 今日はこくじんで
[503.921] danny_love_danny: そろそろ
[504.009] sndkzfm1: めんどくせーなこくじんは
[504.201] (S)tabibitox: どっちでもいい男
[504.763] よっとです: kokuji3Kaki
[504.894] RaonCrow: ガヤ芸人
[506.620] hanachirusato: kokuji3Chu
[506.914] krs3737: こくじんだとおもいまーす
[507.198] スーパー対魔人4: どっちでもよくはないでしょ！ｗ
[507.439] valhalla5555: めんどくせえ名前だ～ｗ
[507.674] mogami_riv: 今日は汚い方
[508.731] titilrin: 3rd有名プレイヤーのこくじんさんや
[509.452] 5don: ちょっと面倒w
[509.490] wiskey_tempura: 酒飲みながら仕事しながら聴かせて観させてもらいまーすワクワクするなあー！
[510.532] feel2525: 黒塵！
[511.908] ババシャツ: 危ない方ｗ
[512.151] 絵馬にょ: 汚い側企画となっております
[513.623] weeep1: REJECT「だめです」
[514.278] sndkzfm1: 名前変えろこくじん
[515.116] とふろ: こくじん久々に見たな
[516.350] (S)fahmy0825: Aru, Daigo, Kokujin!
[517.993] ラス爺: コクジンはライン
[522.510] arnhmci: ウメちゃん頭かわいいｗ
[523.115] kaban1192: うんうん
[526.190] moririka755: ウメちゃん髪型おぼっちゃんみたいw
[526.648] zyangara2: せやな
[527.568] chin_56_: なんだこの服
[528.545] 5don: ままま
[529.076] yomogi0610: 切り抜きみたいになっとるｗ
[531.002] のぞみくん: まん中分けハラ
[531.762] sndkzfm1: 大田勝久にしろ
[532.091] mariannnu: ふむふむ
[533.077] usa451: このブルの量はスフィアだな
[533.685] TB2117: これぞ 翼をさずける
[534.471] 歩くマン: 歩くマン subscribed with Prime. 
[536.030] ましゅダヨ: うめちゃんかわいい
[537.080] rauch_tan: こくwwwww
[537.545] kaban1192: 翔もいるしな
[539.066] androidand: うんうん
[539.223] lun__01: 強いやつは他にもいる
[539.351] 俺は大貫信者: こぉく！
[540.003] pandascal: 大悟さんダメですよ～
[540.380] baycurry16: 出ないから言える
[541.285] 何も知らないジョンスノウ: いいね
[541.518] latenight000: 翼を授ける
[541.550] ememeume: ハチワレみたいな
[541.615] bikibiki999: そもそもこくじんって名前がアウトなんて叩かれ方してないしな
[541.994] 5don: ジョジョ現場の帰りなので、ジョジョコーデのアールさんです
[542.355] aru_0928: ササモは二刀流
[543.712] koimen: リップ
[544.018] のぞみくん: ぬりぬり
[544.499] makebuta: 💄
[544.976] ぷーぬ: いい考えだなあ
[545.508] ランジェリーバード: 特級呪物のアールもいるじゃん
[545.736] erisuk: かっさかさ
[546.842] Papapadad: 素晴らしいね
[547.917] (S)takahashiseigi: 勝久、何やってるw
[549.176] (S)gorogorogorn: ほんまSFLな
[549.462] v_harumi_v: リップケア
[553.761] umetyaahan: リップは開始前に塗っとけ
[553.863] donekofg: SFリーグが華なんよね
[556.409] usa451: ；；
[556.513] yomogi0610: ｗｗ
[556.997] maddy2623: w
[557.150] (S)tama_zx61: ｗｗｗ
[557.334] kaban1192: え
[557.339] 新ころりん: せやね
[557.690] saga_1223: ネクスト翔くん
[558.004] river7676: ｗｗｗ
[558.881] feel2525: そんなに
[559.914] くろさん777: 落ちそうｗ
[560.257] ぷーぬ: 特級鷲峰山やめーや
[560.286] (S)tabibitox: 瀕死フェチ
[560.388] tsukikage_saga: だからジョジョの服なんだｗ
[560.430] sh1zuku716: ブレイキングダウン
[560.495] (S)evimayo88: 3倍ｗ
[560.908] ememeume: 崖っぷちw
[561.037] mako_oswald: wwwwwwww
[561.257] ヨコグシ: www
[561.337] dorayann: ｗｗｗｗ
[561.637] umesecond: ｗｗｗｗｗｗ
[561.751] (S)箸くれ: ジャンル問わずって言うから…
[561.764] (S)nikukuisugi333: ｗ
