[2596.443] ~MISSING_COMMENTER_INFO~: legend rank
[2599.463] sugata128: 大会かな？
[2603.128] (S)ましゅダヨ: 同棲しててもそれでも1回衛生通すんだよね
[2604.863] (S)keel_116: 間合いがすご
[2616.277] esutark: 新しい戦闘スタイル
[2622.363] tabibitox: もっけはめっちゃ下がるスタイル試してるぽい感じ？
[2626.052] donachan: キコーケン 
[2628.692] suzan_star: 硬派なゲームですね
[2632.745] hojihojidx: スト６って自分だけSAゲージ溜まる状況ある？相手３MAX除いて
[2635.183] (S)keel_116: めちゃ緻密な闘い
[2635.729] suupu: 同棲してネット対戦は不仲
[2639.603] ~MISSING_COMMENTER_INFO~: Maki is cutest dan Mika
[2664.610] takahashiseigi: いつの間にかヴァルマス待ちスタイルのもけ
[2666.729] une3333: すごい戦いだｗ
[2677.988] (S)ましゅダヨ: こうなると止められないもんなあ
[2683.637] びすこーど: ooo
[2708.857] hironox: 緊張感あるな
[2711.715] potocki1810: レッドブルニット助かる 
[2746.879] donachan: 浅いっ
[2751.482] tsukikage_saga: いくぜぇ～～～
[2753.042] une3333: この顔でそのシノギすんのかｗ
[2753.754] bec118_japan: 有利
[2755.542] (S)kirbis_044: kirbis_044 subscribed with Prime. They've subscribed for 6 months! 
[2767.256] chicken_dumpling: burnout master
[2767.471] ~MISSING_COMMENTER_INFO~: NotLikeThis
[2767.825] tabibitox: これは有利
[2773.035] prisira: つみ
[2773.515] bec118_japan: きたあああ
[2773.816] donachan: 詰んだ！
[2774.773] une3333: 詰みです
[2777.082] shin_akito: うっま
[2777.648] akira_s_: あっちいけキックつよ
[2779.430] latenight000: 詰み申した
[2781.694] (S)ちぇすとです: にっこり
[2783.403] 超ゲジゲジ: うま
[2783.960] tabibitox: 流れるような詰み
[2792.599] esutark: ボス倒した
[2793.364] une3333: あまりにも試合巧者
[2793.441] (S)のぶとも: あの瞬間が1番気持ちええ
[2807.320] ~MISSING_COMMENTER_INFO~: wik combo
[2809.793] たかんこ: 1試合のカロリーが高い
[2814.090] bec118_japan: 二戦でT二回か
[2841.935] akira_s_: フフフ
[2844.588] (S)vaio_95: なーるおっ
[2846.041] maya_g01: なるきゅん
[2848.260] (S)のぶとも: でたぞ
[2851.022] akira_s_: 売れっ子
[2852.114] latenight000: レジェンドの彼
[2854.688] tikkyponpon: ボスラッシュ
[2857.013] pondenring0930: 魚群シリーズ
[2857.949] esutark: 流行りの芸能人
[2858.220] potocki1810: 野田さん実況サルーインも楽しみ
[2876.701] une3333: このコスかっこいいですねージェイミー
[2877.305] (S)ponponguripon: ちゃぽん
[2891.751] jojojoy001: ジェイミーかっけぇ
[2897.326] bec118_japan: わっかんねぇー
[2899.687] goki_satsuinohado: Daigod
[2913.703] suupu: 強欲飲みｗ
[2940.270] (S)frodo0922: Daigo needs to get back to number 1 legend
[2959.356] esutark: この時間にこのランクだと勝ちたがるボス多くて練習になる
[3017.691] maddy2623: つかわず
[3034.512] chicken_dumpling: @frodo0922 nah, if you are top, people will just study your replays.
[3056.789] TK28vamps: うめ？
[3056.886] potocki1810: こーれはもてるキャラ
[3089.425] (S)frodo0922: @chicken_dumpling i assume people are already studying him number 1 or not
[3106.726] exile23z: crazy how much one loss can drop you in rank
[3132.877] Very_Bad_Fish: @chicken_dumpling daigo is too famous people are studying his replays anyway i think
[3133.014] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[3149.188] Very_Bad_Fish: @frodo0922 i feel the same
[3170.225] chicken_dumpling: @frodo0922 unlikely. there are too many pros to study them all. top1 attracts attention. example when daigo was struggling, people studies Tokidos ken, not daigos
[3198.038] bec118_japan: 運ぶから撃ったのか
[3217.821] (S)frodo0922: @chicken_dumpling i mean maybe but all the youtube channels still post Daigos matches
[3223.063] Very_Bad_Fish: @chicken_dumpling i would agree with any other pro player, but daigo is just the most famous player in sf i feel
[3242.095] ~MISSING_COMMENTER_INFO~: if legend drop a exclusive skin..
[3285.263] (S)frodo0922: @Very_Bad_Fish yea exactly
[3307.884] shirorenka: いったか
[3311.584] maya_g01: おわげき
[3311.780] Magpuller: wow
[3311.845] jojojoy001: やっばｗｗｗｗｗ
[3313.182] prisira: 最強コマ投げ
[3313.873] TEIKETTO: しっかしなるおつえーな
[3314.309] suupu: おわげき
[3315.794] une3333: あ、いくの
[3316.075] potocki1810: しむじゃう
[3318.559] latenight000: 祖国やん
[3319.088] (S)4きね8: mecchahetta!
[3319.710] mugigohan_3023: へーる
[3321.020] 愛鳳: 酒3
[3321.706] ZERO7360: DAMN
[3323.909] rashin_compa: Shit it killed
[3325.011] ~MISSING_COMMENTER_INFO~: maximilian dud is famos too speedruing fighting games
[3326.654] une3333: 補正なし？
[3327.676] bec118_japan: おわげき
[3327.817] (S)4きね8: めっちゃへった！
[3328.038] (S)ましゅダヨ: へったなー
[3329.424] (S)kakutora_no_o: おわげき減ったなぁw
[3330.304] つきよ2223: ダメージ伸びるのよねー
[3337.640] suzan_star: karubisGyo
[3337.773] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[3339.113] The_Loewenator: Yeah as soon as I saw the command grab I knew that was over
[3339.157] esutark: レアキャラわからん殺し
