[675.937] akiaki0612: 始まるまでゲーム画面小さくていいんじゃない？
[676.867] canon_203: 機能も是空ってたな
[679.350] (S)24si: 犬派ですか？猫派ですか？
[679.886] domontyan: 今日はグランドファイナルまで配信しますか？
[683.313] vaaaans0614: ワイプ大きくして
[683.497] burisuke: 虹色7だぞ！！
[685.255] (S)たけおか: らーめんアイコン
[687.836] ort12345: 是空見てるよ
[689.928] bacchuskou: アナログな優先方法だｗ
[690.881] numberball9: 是空さんの実況聞けるとか最高じゃん
[691.380] asdfgzxcvqwer: 最低だな
[691.601] wash4: 是空のキャラパワーはどのTierですか？
[695.576] kiku1133: しょぅないね
[696.220] kumatedd: 別垢で今月使ってるからすまんな
[703.125] akiaki0612: ワイプのほうを大きくしたら？
[703.426] (S)maruku0: 2 -year subはヤバイ
[704.956] gypsy2603: ケンジさんとアールさんはお知り合いですか？
[708.637] spring__thief: 差別しないで！
[710.890] makibisi8787: プールからGFまでだからなぁ
[716.430] (S)poki_frappe: 予定では決勝まで？
[721.057] oleo0227: 1日だけで更に午後スタートって半端ないな
[721.872] burisuke: ランクマかラウンジ配信して
[723.555] xyz3864: ももちも応援配信するのかな
[724.386] (S)simple_geek: twitterでURLも入れてくれるとありがたい
[732.843] (S)MadEggMania: とりあえずビール飲む？
[733.996] Ryugui: 20:30からtop8だってね
[734.080] kaedekuno1: まじか
[734.570] clear_asahi: 配信の為にきたの？ｗ
[738.878] 乱火隊長: うめちゃんに是空使ってもらおう
[740.761] scottiever06: まじかｗ
[743.957] f_tama: 今週も1dayなんか
[750.821] largsrn: もう仕事やん
[752.986] roytaly: てかこの組み合わせキチパもやりたかねーだろｗ
[765.633] canon_203: 古っ
[768.158] akiaki0612: 世の中狭いなｗ
[769.578] (S)ma6_uv: そっから
[771.182] (S)MadEggMania: アールさん来たし乾杯する？
[772.472] kiku1133: 埼玉県民なんだ
[774.164] emrld_s: アールさんが実況で叫ぶ時、声の高音がよく出ていて気持ちいいのですけど、どうやって声出してますか？
[775.455] gypsy2603: へぇ〜
[791.736] 乱火隊長: 埼玉の越谷から見ております
[796.354] clear_asahi: 最低だな
[798.689] iisnotgat18dk: 狂犬の時か
[800.664] matuzawa826: Dバル
[802.276] akiaki0612: ダッシュｗ
[804.978] emrld_s: 埼玉県民っぽい
[806.054] user0511: やべぇやつ
[806.299] jtopnbsd: 誰がいるの？
[810.684] Ryugui: 対話拒否
[810.836] bacchuskou: 肌色使うとか最低
[811.653] tk44444: アールさんの是空でウメガイルわからせて下さい
[815.574] 食の細い山田: アールと山口県について
[819.203] domontyan: ウメちゃんも髪切ったんだね
[820.378] (S)ohnumakunio: やべぇやつじゃねーか
[820.531] kiku1133: 死体の山気づいてた頃
[820.590] garfunkel99: ウメハラ×ケンジ の出会いは？
[821.962] largsrn: やべえ
[826.428] ort12345: 厨二くさい
[848.536] むこなくん: けんじさんて言ったらビッグワンで叫んでるイメージしかないw
[852.096] zyagamon: アールやんちゃ時代あったの？
[853.620] tw_numa: 25000是空の人だ
[855.759] LogicalDashGG: ｗｗｗ
[856.481] (S)ohnumakunio: アンドリューはアークゲーマーなん
[859.347] jtopnbsd: 指令 
[859.473] mejiro_: ｗｗｗ
[861.640] bacchuskou: 虹色の言いなり
[864.537] gypsy2603: ウメちゃんから見たプレーヤーケンジ評はどんな感じですか？
[866.258] Heracles_12: 差別はじまった
[868.142] burisuke: ウメちゃんも大人になったんだよ
[868.177] (S)ccccowe: 髪切りました？
[870.745] kahaku91: アンバサダー
