[375.707] inui06310: 大谷くんと板ザンさん
[376.522] tonfamily: ガチくんとかは残ってんのか？
[376.651] mjkaject: 逆に誰が残ってるんだ
[378.518] number29yona: 板ザン対大谷
[380.399] (S)asayake_cider: ひぐちマジか
[383.668] aiueo03: もうATMじゃない
[386.138] ysldksn: Wほぼいないね
[386.497] pacifico35: 立川に期待していい？
[394.213] number29yona: ボンちゃん対Nephew
[397.778] おかあさんいつも: タチでいっか
[398.552] (S)ジョニー中本: 立川残ってんの！？
[405.320] rororo1922: 大谷立川残ってんのか
[405.499] X_March_X: 人エッグいな
[405.583] puyo2007: すげー人だ
[407.357] nonsugar_24: フェン様とかどうなんだろう
[408.611] (S)ジョニー中本: 立川世界獲れ！
[408.938] wacky0000: かけちゃんは？
[410.797] ほねこっぷ: 板ザントナメ強い
[417.060] johndoe6523rp: 立川ウィナーズサイドで残ってるはず
[417.227] number29yona: VXBAO対ジャッシー
[417.526] しーぶん: 立川優勝あります
[420.513] (S)nononono_uhoho: どんさん！
[423.338] (S)ジョニー中本: どんぴさんだぁ
[423.562] (S)takumaru23: うおおお
[424.318] (S)roval789: ドンさんだ
[426.361] (S)えむしーぽんぽん: ドンさん！
[427.165] (S)わたあめワゴン: おおお
[428.056] (S)kanpintan3: どんさん
[429.072] おかあさんいつも: タチまじか
[430.574] (S)sakippo_o: ネモさんにいじめられた！
[430.718] (S)わたあめワゴン: ドンさんだ！
[431.459] (S)lovepeace369: ドンさんやん！
[431.639] (S)teitei0343: どんさ〜ん
[432.212] (S)けめこ___: ドンさんだ
[432.364] (S)raimon_8: ドンさんだ〜
[438.613] あすか002: ドンさん凄かったよ
[439.499] (S)simetu_no_maeba: どもー
[443.007] sakenomen: ドンガイル
[444.844] やあああ: ザク
[446.688] (S)nononono_uhoho: ざくちゃんも！
[447.144] shimokawaa: ドンさーん
[447.206] wacky0000: ザクレイくんも
[448.200] (S)banzokuu: ザクさん！？
[448.371] (S)roval789: ザク
[449.179] (S)ジョニー中本: ざっく
[449.684] (S)hiroumi_sea: ザクレイくんやー
[449.769] (S)えむしーぽんぽん: ザクレイ
[454.050] (S)kanpintan3: ザクさん
[454.099] 冷えたとうふ: ざくちゃん！
[454.368] (S)simetu_no_maeba: イケメン
[454.761] (S)neonkzsyou: ザクさん
[454.936] (S)雑食: ザクレイだあああ
[455.224] (S)takumaru23: www
[455.756] yonayona04: ザク
[456.135] えいす7: ザクさん
[456.255] richard_starrky: w
[456.515] guest324438: ザクレイ！
[456.670] シル_: ｗｗｗ
[457.080] (S)asayake_cider: ザクレイくん
[457.290] (S)TNTNBRN: ｗｗ
[458.042] しーぶん: ザクレイイケメンやな
[459.216] roran922: ザクレイw
[461.155] (S)けめこ___: ザクレイさんだ
[461.484] (S)オシシ: 声聞こえねー
[461.535] nakamurahima: ほんまかぁ？
[464.655] (S)roval789: ゼロスと
[465.001] えいす7: ゼロスト
[465.076] (S)hiroumi_sea: ゼロちゃんも
[466.168] (S)miyami022: ザクレイさん
[467.262] シル_: ゼロスト
[467.281] (S)雑食: 偉大さんも
[468.115] ほねこっぷ: wwww
[468.897] (S)nononono_uhoho: ｗｗ
[469.144] (S)えむしーぽんぽん: ゼロストいたあ！
[469.224] guest324438: うおゼロスト！
[469.434] テンカワ: 偉大！
[470.586] (S)asayake_cider: ｗｗｗ
[470.915] (S)アブーラ: ザクレイ
[471.360] Deaxxaed: wｗｗｗｗｗ
[471.600] (S)simetu_no_maeba: ゼロストぉ！
[471.673] kobayan86BRZ: 小峠いたぁ！
[471.802] ほねこっぷ: ワロタ
[471.906] アルにゃん: w
[472.565] (S)takumaru23: 草
[473.496] (S)banzokuu: ｗｗｗｗ
[473.592] (S)めしをくえ: いっぱいでてくる～
[473.834] nasi1129: 偉大な男
[474.095] ハゲエギル: 🐸
[474.856] suzumaki: 偉大な処理
[475.329] (S)teitei0343: 次から次へとw
[475.411] (S)TNTNBRN: 🐸
[475.558] shunin77: 偉大なガン処理
[475.648] ぐるるるる: スマブラやってたもんななるちゃん
[475.673] (S)13eeb: OSFrog
[475.797] (S)オルコッ党員: ゼロスとか
[476.014] ほどが: wwww
[476.397] (S)sakippo_o: ガン処理からの処理ｗ
[476.399] puyo2007: w
[477.023] (S)kanpintan3: みんな来た
[477.320] irohasu8765: 偉大さん
[477.410] あすか002: 突然のゼロスト
[479.915] (S)neonkzsyou: 偉大な男
[480.668] おかあさんいつも: 小峠さん
[480.856] (S)simetu_no_maeba: GG
[483.068] X_March_X: 2日目いけただけでもすごい
[484.345] (S)nononono_uhoho: OWみたいねー
[489.324] なっつ: ｗｗｗ
[491.635] (S)えむしーぽんぽん: 死に様に華があるでおなじみのゼロスト
[491.859] (S)nakayubi15: 格ゲー以外は上手い
[491.959] asbr_j: なるお今どんな感じ？
[492.764] (S)miyami022: ｗｗｗ
[493.419] puyo2007: まずい
[493.644] (S)lovepeace369: www
[499.373] X_March_X: なるおは敗退
[499.780] (S)lovepeace369: なるお敗退
[500.007] (S)おりもと31: なるおはナウに負けておわってもうた
[500.296] おかかです: ゼロストここにいたのか
[504.681] テンカワ: ゼロストマジモチベ凄いよな
[508.993] asbr_j: まじか
[511.486] (S)simetu_no_maeba: 野生の偉大
[512.624] ほねこっぷ: みんな落ち始めたなぁ
[514.652] (S)TNTNBRN: 格ゲー以外偉大な男
[517.423] (S)ジョニー中本: いやーでも最後にリュウケンみれて幸せだったは
[520.064] kenshi0331: 🐸いたぁ
[520.623] (S)lovepeace369: でも良く二日目残れたよね 凄いと思うよ
[525.423] おかあさんいつも: ふーどさんはどうかな
[526.845] (S)neonkzsyou: ゼロスト意外と身長あるな
[542.050] dani0628: 立川大谷でかじゅの無念を晴らせ
[547.360] yonayona04: 大谷強いな
[551.484] 2430_: ふーどさんは敗退
[556.307] (S)simetu_no_maeba: BCあつい
[557.981] doitunokotoda: ふーどさんは負けちゃったらしいツイッター情報
[560.228] pacifico35: start.ggみてくるか、、
[564.043] takashiintothevoid: 大谷ゆけーい
[564.529] おかあさんいつも: ふーどさんまじか
[565.065] fumbi5566: 大谷割といつも残ってるイメージある
[568.060] (S)MasudaTheMenace: 有名プロみんな負けてない？
[569.651] kenshi0331: マリーザでよく残ってんな
[571.126] (S)lovepeace369: 立川と大谷じゃ無念晴れねえから我がももちを信じろ
[577.060] fizzzsupport: 立川も大谷もW側で残ってるのやるわ
[578.103] X_March_X: おもちゅう
[580.364] (S)teitei0343: お〜
[590.303] うーたんんんっ: オオタニサーン
[604.700] (S)teitei0343: top6誰が残るかぜ〜んぜんわからん
[605.538] yonayona04: 逆に残ってる一般人おるんか
[610.400] あすか002: ももちは終わったよ
[611.713] LafiPresident: ももちも敗退
[617.620] おかあさんいつも: タチおっかけるか
[622.187] (S)lovepeace369: もうなにも信じられねーや…
[623.728] (S)Ganata_6251: もけとPUNKがあたるみたいだけど配信でやらないかなぁ
[624.518] 2430_: ガチくん、翔は誰かわかる？
[624.758] dani0628: 海外勢誰残ってるんだ？
[626.613] X_March_X: 有名じゃない人いたらいいな
[628.716] テンカワ: オオタニサンさすが
[630.401] nakamurahima: しっかりしてんな大谷さん
[631.370] puyo2007: お
[631.493] ramune_since1973: top6に無名の猛者いたらかっけえよ
[631.832] haguremetal777: アップ助かる
[632.367] X_March_X: やーる
[634.051] (S)ジョニー中本: ももちも負けるってなんなんだよ’（なんなんだよ）
[634.747] (S)~MISSING_COMMENTER_INFO~: コサク（一般人）残ってるよ
[641.847] あすか002: おお
[643.383] (S)simetu_no_maeba: アップありがとー↑
[647.043] (S)mojamoja314: 翔とりゅうきち
[647.107] (S)teitei0343: コサクってcosa?
[651.167] あすか002: 普通に仕上がってる
[652.185] fen6te: コサクすげー
[655.269] number29yona: ウイナーズです
[656.449] あすか002: ウィナーズよ
[658.307] (S)hiroumi_sea: 大谷このピクピクスタイルか
[661.282] ほねこっぷ: ああ
[662.646] (S)TNTNBRN: 動画の方のコサ
[663.211] X_March_X: おじにはいんぱくと
[676.940] ほねこっぷ: あるよ
[677.718] yonayona04: 大谷の動きおもろいな
[680.643] johndoe6523rp: ときどさんもＷ
[681.507] あすか002: めっちゃ刺さってるなチラチラ歩き
[683.323] (S)mojamoja314: ガチくんとHOTDOG
[685.515] hvbsjsbsdhjd: ウメとあたるRBってネームド？
[688.138] fffteemo: ｗｗｗ
[691.266] X_March_X: これウィナーズ？
[701.880] (S)teitei0343: 堅実だ
[706.166] spellbound0401: ルーザーズかな
[706.194] johndoe6523rp: ウィナーズのはず
[708.889] kurobedam: 翔りゅうきちもけパンクが一堂に会する地獄プール
[711.968] あすか002: ウィナーズだよ
[718.316] spellbound0401: ウィナーズか、すまそ
[730.152] X_March_X: 情報あざす
[733.378] LafiPresident: あ
[734.286] (S)teitei0343: マリーザの中段派生全然見たことねぇや
[738.865] guest324438: ひろみき～
[739.135] haguremetal777: まずい
[743.252] (S)ジョニー中本: おおお
[747.599] haguremetal777: ｾﾌｾﾌ
[749.755] ギガゾンビ: それつえー
[750.465] (S)MasudaTheMenace: 板Zがんばっとる
[751.778] (S)simetu_no_maeba: おー
[753.717] あすか002: 確認だな
[755.448] X_March_X: SA2なんだ
[757.372] おかあさんいつも: ひろみきー
[760.455] (S)ジョニー中本: 堅実ぅ
[770.968] ぴすたちーお: ウィナーズのセミファイナルだから抜けは確定してる
[775.727] ほねこっぷ: あ
[779.648] (S)ジョニー中本: おお
[780.875] X_March_X: もうリーサルか
[782.348] ほねこっぷ: うま
[784.317] (S)可愛い嘘のカワウソ: 次配信台もけpunk
[785.131] ほねこっぷ: あ
[788.952] (S)TNTNBRN: あ
[789.087] (S)takumaru23: BibleThump
[789.136] ギガゾンビ: うんま
[791.485] (S)teitei0343: 通る通る
[792.666] (S)ジョニー中本: 残るが
[794.452] puyo2007: あ
[794.854] e29_nantara: 飛び食らいまくったな
[798.580] (S)10jqka: ああ
[799.199] X_March_X: ええええええええ
[801.916] guest324438: うおおおおおお
[801.916] (S)kapibara3729: えええ
[802.460] (S)nononono_uhoho: ああ
[802.853] (S)ジョニー中本: うわああ
[803.023] ほねこっぷ: あああ
[804.395] (S)TNTNBRN: おおおおお
[805.360] X_March_X: まーじか
[808.455] aiueo03: ん？
[808.611] (S)やくりのやっさん: ；；；
[808.644] なっつ: おおー
[808.899] あすか002: おお
[809.098] puyo2007: うおおお
[809.345] (S)simetu_no_maeba: よけたー
[809.368] fumbi5566: キョロキョロ
[809.419] (S)teitei0343: え〜！？
[809.948] Deaxxaed: ？？？
[812.251] おかあさんいつも: キョロキョロ
[812.826] (S)ジョニー中本: え？勝ったの？ってかおｗｗｗｗ
[813.021] gularain: きょとんしとるｗ
[813.035] (S)gazesd: naru04NHK
[813.054] テンカワ: 板z
[813.528] レベルゼロ: 絶対勝てる連携だ
[814.073] yuu_kunsan: なんで不思議そうなんだw
[814.743] johndoe6523rp: ラッキーか？ｗw
[816.978] えいす7: おわったっけ・・？みたいな感じだった
[817.755] roziumu: すっとんでった
[818.382] beru711: 大谷ｗｗｗｗｗｗ
[819.011] (S)けめこ___: naru04NHK
[819.267] (S)TNTNBRN: 今の対策？ｗ
[819.999] karaage_sio: オオタニサーン
[820.328] (S)すじゃーた: な、なんか勝ったあ！
[825.890] あすか002: 確かに色々あった
[826.725] レベルゼロ: 削りでも終わるしSAすかせるしで
[836.216] ほねこっぷ: これでルーザーズか
[838.725] X_March_X: ？
[839.256] fen6te: なんで不思議そうなんだよ
[840.198] okoge2: w
[843.351] (S)ﾄｪｪｪｪｲ: ・３・
[846.491] (S)teitei0343: なんも言わねぇ
[848.400] (S)TNTNBRN: なんやねん今の顔
[852.547] あすか002: 板ザンさんはルーザーズやな
[853.008] (S)どらごんまん: すげぇ
[857.265] (S)MasudaTheMenace: 椅子を確保し続ける
[857.346] なんぱす: ふにゃっとした顔
[858.488] X_March_X: どういう表情やｗ
[859.526] (S)0001100111: なんだその態度ー
[860.520] おかあさんいつも: 何故しんじがずっといるのかはわからぬまま
