[121.303] (S)Nagio623: がんばれぇぁぇぇ
[121.415] (S)mmmmiina: がんばれー
[121.732] (S)るぁ__: 8888888
[121.919] (S)whirling_cat: 88888
[121.946] (S)oshiro33: DinoDance
[122.012] (S)オッチャン55: すごおおおおおお
[122.012] (S)z1gzagb: がんばって！
[122.023] akumawami: 88888
[122.135] takumi248: おめでとー
[122.409] (S)sa_sya1: hiirag17Fight
[122.642] (S)DAyTrece: hiirag17Nice
[122.888] (S)siomm_: おめでとう！！！！
[122.986] (S)kingyo122: おめでとー！
[123.126] (S)mentanpin333: hiirag17Fight
[123.332] (S)08ryyyyy: 8
[123.367] (S)mon9n: おめでとう！！！
[123.501] sakuraisatorujp: コーチは誰なんだ〜〜〜〜
[124.049] (S)ぼるち: ファインティンー！！！
[124.201] fuu5353: おめでとうござますー！！！
[124.298] (S)うどん太郎: 88888888
[124.368] annnnna61: 勝つぞー！
[124.416] (S)min__109: おめでとーーー！！！
[124.502] (S)omarukun_96: hiirag17Fight
[124.523] (S)nekone12345: きちゃ
[124.832] (S)pnpn0: いえーーい！！
[124.930] (S)メガあめふらし: よっ！
[125.036] (S)のーるん: DinoDance
[125.057] (S)琥太郎です: hiirag17Fight
[126.365] (S)0022abyss2200: どりゃぁぉぉぉ！！！！
[126.379] (S)kasteera: コーチはこく兄だよ
[126.498] (S)bite_m_: 88888888
[126.731] (S)parasor404: hiirag17Boss
[126.982] (S)Haru_Hanami: ファイト！！
[127.023] (S)marui_ao: きちまったか
[127.194] (S)naani752: hiirag17Boss
[127.310] (S)the_goku_sf: おめ！がんばれ！
[127.506] (S)温泉饅頭さん: ｵｫ(*˙꒫˙* )
[127.731] (S)yaiyueyo: やった〜〜〜〜)
[127.947] (S)オッチャン55: 楽しみ！！！！！！！！
[128.454] (S)redrumS21: やるぞおおおおお 
[128.919] (S)runn_x: runn_x subscribed with Prime. They've subscribed for 2 months! 
[129.117] jgsakaey: どっちでやんの？モダン？
[129.567] (S)musasihideo: 頑張れーーーー
[129.878] (S)るぁ__: おめでとう🎊
[130.628] (S)tommyykknn: たのしみだー！
[130.925] (S)noin2277: おめでとうー
[130.961] (S)qoo6649: 応援しとるぞ～～～
[130.964] (S)もんぬサマー: しんじさんあつ
[131.117] torrro_6: きちゃー！！！！
[131.359] (S)うどん太郎: おめでとうございます！
[132.161] (S)miiiiko12: おめでとー！！
[132.449] (S)8cotton8: がんばれー！
[132.585] (S)neco2279: 応援してるぞ！！！
[132.763] chiepu: ８８８８８８
[132.864] tenmankougi: ないすぅーーーー
[132.990] (S)トムケイシー: ここでお肉繋がるの熱い
[133.234] (S)エメラルドスプラッシュ: これを機に覚醒するんかて！
[133.366] (S)chishin99: がんばれえ
[133.909] rururu2054: きてしまった
[134.455] (S)udonprin: とうとうきたね...
[135.192] ~MISSING_COMMENTER_INFO~: やるからには勝て
[135.484] (S)raamen014: BloodTrail
[135.699] (S)saesae321: やれんのー？
[135.722] (S)ryo_8697: hiirag17Nice
[135.944] (S)summertrek: しかもケンでな
[136.738] (S)歴戦のゴリラ: hiirag17Boss
[136.979] (S)pickles_1130: にょっす〜
[138.273] (S)omarukun_96: hiirag17Fight
[138.514] (S)yuyu_s: 勝つしかねえなあ！！！
[138.588] (S)るぁ__: 応援してるぞ！！
[138.729] (S)bite_m_: おめでとう
[139.041] (S)raim_1223: hiirag17Nice
[141.367] akueriasu0112: 今回は初心者も多いからツルギお前は上級者や
[142.089] (S)zuu_mg: とうとう！
[143.305] (S)hotatechang55: いいねぇ！
[143.381] (S)tommyykknn: 成果を見せる時
[143.604] (S)giv_213: 優勝するんだろ
[143.657] (S)sabohanin: 本気でやる時がきたな
[143.715] (S)08ryyyyy: がんばれ！
[144.792] (S)z1gzagb: いいね
[145.679] (S)yamu_ymym: アツい！！！
[146.396] (S)awaif: 勝つしかないなぁ
[146.506] akueriasu0112: マスターやね、それ
[146.601] (S)pariri622: 10倍
[146.713] richa2525: 応援してます。
[147.670] (S)bubu_0830: おおおお
[147.994] tenmankougi: かてんのかてんのー
[148.714] (S)kimito0075: おめ㊗️
[148.959] (S)bite_m_: いいね
[149.554] nyarudosub: じゃマスターか
[149.850] (S)08ryyyyy: ええやん
[149.990] (S)raim_1223: hiirag17Fight
[150.926] (S)bubu_0830: hiirag17Boss
[151.558] akueriasu0112: マスター行こう！
[151.856] (S)karu_064: コーチ誰になったの？
[152.529] (S)motiizu: いいね！成長しよう
[152.811] asirance: 相手とゆかりのある人ばっかや
[152.883] (S)marui_ao: ええやん
[153.028] (S)Nagio623: モダンとクラシックどっちで行くんですか？
[154.158] (S)wallnat: ダイヤいこうぜ
[154.777] (S)purinchan_05: こんー！
[155.597] (S)saesae321: ？
[155.848] k0u0722: いや、10
[156.383] (S)ぱりぴーす: 吸収しまくれ
[156.536] (S)saitengrat: マスターいけ！
[156.610] (S)hotatechang55: 盛った
[156.701] ~MISSING_COMMENTER_INFO~: マスター助かる
