[8.571] フﾄ: umetya-nn!
[811.805] monjirou1: 負けないねえ
[812.360] takuyatakuyatakuya: 強かったなぁ
[813.062] mohumonn120: ぶっ刺さっちまった
[814.289] balthazar000: 100winまで積み重ねませんか？
[815.671] niemalsaufgeben: ゆさぶりが流石の一言
[816.548] Darkaleexz: 64!!! Nintendo 6444
[817.743] (S)kwsk3: 強いな
[822.672] xicano87: すごい 
[826.507] (S)kwsk3: スーパーマリオ64!
[828.524] (S)Bakobako1234: umehara64
[829.816] chaperone6: つよい
[832.263] 将門ゴルゴロ: 6連勝してたし実際強い
[833.143] (S)omedetroit: umeBoom
[838.254] umeguile: ウメハラ64
[839.279] かささぎ: 700位以内まできてるー
[848.392] mrhams1: my figthing in 60 year?😆
[848.844] eeejon: 連勝続いてるー
[851.471] InstantRiot: ウメ64
[852.177] 緑ぺこ: 弱いと言われてるリュウでここまで上がってくるってことはそうとう強いよね
[857.550] sonohigura: こんにちは
[857.714] muji_na: マチ
[861.563] (S)kwsk3: 今の間なんだよwww
[875.848] 将門ゴルゴロ: 時が止まった
[885.241] (S)tukumi07: Σ先に動いたら負ける≧
[894.569] 平和太郎: あのあとこくにぃ仲直りペックスしてたけど寝落ちちゃったんだよなー
[894.835] umeguile: お見合い
[897.980] muji_na: そうね
[911.740] mrhams1: daigo bling bling Rock Star 
[911.914] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[912.022] matsaman_curry: ウメちゃん掃除おつかれー
[920.472] muji_na: あの時間だったらそら寝るだろｗ
[920.967] shiro_risu01: ちゃんと家事して仕事して遊んでるうめさんえらい
[921.588] 不渡哲也: 仲直りペックスってなんかえっちやな
[922.589] kaigaizei: 一晩中仲直りペックス
[928.484] une3333: 近づいてからの誘いあいがヒリヒリするー
[936.571] (S)blackcoffee0821: 掃除してたのはどこなんだろう
[936.686] baldrak00: Hi Daigo!!!! from Mexico =)
[943.571] muji_na: 普通に仲良くＡＰＥＸ楽しんでたね
[949.657] 平和太郎: 仲直りペックスは盛り上がるって言ってたよ
[950.445] shupii097: 略して仲治りックス
[950.629] donachan: もう対応した形
[952.429] yuyu09250925: むちゃくちゃペックスしてたね
[953.065] InstantRiot: 65! 
[958.406] (S)Bakobako1234: umeBoom
[959.846] あるびす: よかったね
[965.522] だいこん_: pex!!!
[965.693] (S)tukumi07: CAやっぱ意識シてる感じです？
[967.801] shiro_risu01: ペックスもうこくにいが弱気で愛しかったで
[972.114] polar_chan: スパコン当てるマン
[973.451] kaigaizei: あのあとむちゃくちゃペックスした
[975.596] girotin89: やっぱりゲーム最高や。香川で時間切れでできなかったことや
[978.099] mohumonn120: おじの仲直りっクスは相当キツい
[980.645] 将門ゴルゴロ: いやらしい
[983.763] 粘菌野郎: こんにちは
[987.557] nozomaro: メキシコのファンもいるのか
[989.270] 不渡哲也: 香川も雲行き怪しくなってるね
[995.511] たあぼ0126: 香川じゃ仲直り出来ないじゃん
[999.218] kaigaizei: KSKペックスうまいんでしょ？
[1003.827] だわさワサワサ: 固い相手とみるやすぐ戦法修正できるのすごいなぁ
[1005.755] haamds: hiiii
[1006.163] shiro_risu01: うまかった
[1011.786] muji_na: 弱気（幼稚園児の年長）
[1020.400] mrhams1: Big money,Big figth money 👏😂
[1020.650] (S)omedetroit: 香川の条例不正疑惑出ててほんまええ加減
[1025.433] niemalsaufgeben: 香川はコロナでもゲーム1時間?
[1028.164] mrhams1: good
[1035.360] たあぼ0126: もちろん
[1036.783] Stenio_Arley: idomnyHey
[1043.980] だいこん_: 地獄やん香川
[1044.595] shiro_risu01: カタンの次ペックスどうかな、うめさん介護ネタで行けるよ
[1046.763] 不渡哲也: こくKSKとローションみたいな潤滑油野田氏の3人ペックス
[1048.011] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1049.125] 将門ゴルゴロ: 〇ックスうまい
[1053.338] iAsura: did he already play Kage today?
[1059.670] nomitora1234: この状況じゃ家で勉強するかゲームくらいしかないのに、ゲームを封印するとか香川県は鬼か
[1065.391] girotin89: まーたウメちゃんが道に迷ってしまうのか
[1073.552] niemalsaufgeben: 香川、元気でな
[1075.731] たあぼ0126: うどこんこねるのは時間制限ないぞ
[1077.229] hato_pizza: FPSは迷子なるでしょ
[1080.765] gowest2018: 不正してまで作る条例でもないだろうに
[1081.597] (S)blackcoffee0821: カゲやるか？って
[1082.346] (S)hahoniko_: こんちは
[1094.093] すずのすけ: 今日も配信ご苦労様です！
[1096.238] しぶやひろし: ゲームやれないなら配信見ればいい
[1098.406] konbu123: おはようございます
[1098.501] umeguile: まだカゲやってないよ
[1101.012] kaigaizei: ペックスやったらKSKに惚れちゃうかも
[1102.944] pianoniisan: ネットも1時間みたいな感じだったっけ？
[1103.165] 将門ゴルゴロ: ウメちゃん痩せたね
[1105.437] shiro_risu01: そんなうめさんを全力で介護したら仲良くなりそじゃね？
[1111.802] (S)hahoniko_: 今日は61からスタート？
[1126.020] 不渡哲也: ウメさんは別にKSKとわだかまりないよw
[1126.764] (S)kwsk3: ペックスいいなぁ！
[1128.952] だいこん_: ネット1時間とか死ぬしかない
[1134.031] polar_chan: スマホとかpcも一時間じゃなかったっけ
[1141.794] (S)kwsk3: www
[1146.604] girotin89: おいｗ
[1147.408] misawazuku: ｗｗ
[1149.287] (S)tukumi07: 寿司ソニック
[1149.325] umeguile: @iasura Not yet
[1149.411] muji_na: ガイルずっと冷たくなってるけど
[1154.240] ホナウド: 寿司食べ終わったかな
[1154.853] 将門ゴルゴロ: ソニック
[1156.643] 灰狼葛格: WutFace
[1157.013] mohumonn120: ガイルひえひえでワロタ
[1158.606] kbjn10mg: 早食い対決じゃないよ
[1161.744] polar_chan: 冷やしソニック
[1161.929] chaperone6: 冷えなあ
[1163.429] (S)ken3358: he has not played kage yet.
[1163.951] shiro_risu01: あ、いやＫＳＫ氏とこくにいの共通のネタ作りに
[1164.770] iAsura: @umeguile ty 
[1168.142] (S)157655: カゲ→ガイル→カゲで20ずつの連勝がまだ途切れてないのか
[1168.202] (S)ebithunder: カワノの対策と同じだ
[1182.874] (S)kwsk3: ぬぁー！
[1187.648] akzakr114: コーリン顔負けの氷使い
[1188.168] mrhams1: open your one saloon men,sf5 is finish, PlayStation 5 and sf6 is serious,last figth
[1190.319] kanegon7237: 横でMAXが寿司食ってる
[1194.674] takarasann: ソニック削りでめっちゃへったな
[1201.142] muji_na: 寿司おいしかったのかな
[1214.265] muji_na: あれ終わった後もずっと食っててワロタ
[1215.526] (S)blackcoffee0821: サーモンくいたい
[1226.495] mrhams1: open you men
[1226.643] しぶやひろし: うめちゃん自営業しろはワロタ
[1229.481] (S)kwsk3: すしくいねぇれ
[1240.013] shiro_risu01: うめさんちょっと顔疲れてる？
[1243.087] iAsura: wut??? 
[1245.421] ko_kanagawa: ギルのガタイちいちゃくなったな
[1249.763] mrhams1: open you the World 
[1253.410] muji_na: 掃除して疲れたんやろ
[1263.530] (S)kwsk3: 掃除は重労働だからね
[1273.402] muji_na: あー
[1276.421] (S)tukumi07: あぁ！
[1277.622] shiro_risu01: なる、掃除疲れか
[1277.693] misawazuku: あちゃー
[1278.092] tibusa8: いったーーー
[1279.060] (S)kwsk3: やべぇ…やべぇよ…
[1283.354] (S)hahoniko_: 今日はスパコンじゃないのね
[1286.821] mrhams1: is Real champion ?
[1292.235] kasayu17: 投げられますねえ
[1296.108] une3333: おっ
[1296.211] muji_na: おー
[1298.127] (S)yamasa141414: うめええええ
[1298.875] 将門ゴルゴロ: こっから
[1301.026] shiro_risu01: あ、笑顔出た
[1303.956] すずのすけ: がんばれ～
[1304.867] InstantRiot: wow
[1305.057] muji_na: ふー
[1305.329] bcontyan: おー
[1305.977] une3333: うひぃー
[1306.372] (S)tukumi07: あっぶねー
[1307.887] (S)kwsk3: あぶねぇ！
[1307.979] rhayader_alone: すげえ
[1308.619] niemalsaufgeben: かつんかーw
[1308.960] misawazuku: おお
[1309.901] Moshimoshi_hey: PogChamp
[1310.000] kaigaizei: かったーー
[1310.551] muji_na: さすがに空いて強いな
[1310.947] youcan3904: すげー
[1311.642] (S)ebithunder: あぶねえ
[1311.790] 将門ゴルゴロ: さすがー
[1312.535] realStudoggydogg: realst7NAISU
[1312.709] may0nn_aaaisee: クールポコなのに勝つ
[1312.776] hako_box: すげえ
[1312.822] ko_kanagawa: まくるかー
[1313.567] tibusa8: 危ういねえ
[1314.462] (S)highspeedwarakia2: 立ち回りでコーリントリガー1発動したら大足や裏拳でクラカンとれますよ
[1314.850] すずのすけ: ッケイ！
[1315.906] rko1111: ひやひや
[1316.895] かささぎ: あと一歩のときの差がすごいんよなー
[1319.214] mohumonn120: あっぶね
[1319.935] InstantRiot: お-
[1319.954] (S)hahoniko_: っけい！
[1321.583] etimpt: 66 wins
[1322.052] gowest2018: うま
[1323.190] 不渡哲也: 先生！
[1323.489] 将門ゴルゴロ: ワラキア先生ー
[1325.182] gedow_nukky: ガイルでよーーーやるわ
[1327.168] (S)kwsk3: ワラキア先生！
[1329.688] (S)yamasa141414: これは抱かれるわ
[1329.822] shiro_risu01: つよい
[1333.539] rhayader_alone: ガイルでまくるのは大変
[1333.603] muji_na: ワラキアありがとー
[1333.731] infammerz: WOW
[1337.169] infammerz: ncie comeback
[1341.182] gorizou0600: マジか
[1341.494] (S)its_333_: umeWin
[1341.899] mohumonn120: わらにぃ😺
[1344.441] (S)hahoniko_: ワラキア先生あざ！
[1346.240] ehong100: Wow
[1347.340] (S)omedetroit: ワラキアにぃ〜
[1352.848] ehong100: Come back is real
[1363.319] wascarsc: umeYay
[1373.347] shiro_risu01: わらにいすごいんね
[1407.565] une3333: へるーｗ
[1414.973] すずのすけ: この連勝止めたらだいぶ誇らしいだろうな
[1419.391] muji_na: うお
[1419.536] une3333: おお
[1420.624] Moshimoshi_hey: VoteYea
[1425.071] mrhams1: gg
[1429.055] smg_ghostpurp: That was sweaty
[1430.616] (S)kwsk3: すげぇどんどんいけるな
[1432.326] mrhams1: Come on
[1432.531] ~MISSING_COMMENTER_INFO~: My god kolin robbery is something else
[1437.253] muji_na: これ８０連勝したら猫見せてくれるの?
[1440.879] しぶやひろし: リバスピつんよい
[1443.080] isanabechop: 屈大Pクラカンのあと最速前J大K入るのってポイズンの強テンダー以外にあるのかな
[1447.844] ビフィダス: 昨日面白かった
[1447.981] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1448.837] ~MISSING_COMMENTER_INFO~: if that happened when the health is lower is straight win
[1449.089] shiro_risu01: 猫と聞いて
[1449.181] jtojupiter: 67
[1464.794] tibusa8: 洞窟物語ができるならいつかロックマンコレクションやればいいのに
[1466.047] ghostofnavigators: 76! at grand master level!
[1471.047] ghostofnavigators: 67*
[1477.836] pantan_dabeast: this triple dash its possible just in hitbox controller?
[1483.459] すずのすけ: 100連勝で自分にご褒美あげようぜ
[1486.169] (S)ledlight9413: 洞窟もみたい
[1495.372] (S)tar2800: ロックマン好きだっけ？
[1496.364] (S)titan0130: ロック マンコ レクッション?
[1498.723] ghostofnavigators: no, i can do it on fight stick too
[1499.935] mrhams1: all bronze 
[1504.066] (S)kwsk3: MEGAMANだって…
[1510.083] (S)hahoniko_: もう700切ったのか…
[1510.228] MrPsyked: holy 67 win streak
[1517.944] pantan_dabeast: i see, thanks bro
[1524.315] ghostofnavigators: but it's definitely hard
[1528.091] une3333: ひいーｗ
[1529.528] しぶやひろし: やっぱpc版なんだよなぁ
[1534.222] pantan_dabeast: i'll try more this combo
[1545.759] mrhams1: daigo 30year expérience SF 😂
[1548.645] muji_na: カラスいるのか
[1549.164] TheeCorrupt: godlike
