[122.725] (S)are_ya_kore_ya: 大丈夫
[123.123] (S)maga_1897: みんなちょうどいい
[124.030] (S)okome_taberu: ありさんの声のが小さいかな
[124.478] koby620: 銃声も良いかんじです。
[124.680] (S)ak6141126: 大丈夫
[124.849] (S)まり㌠: チームメンバーの声はいつも通りだと思う
[125.109] gemarurampage: ありさんちょい小さいかも
[125.330] sirokuro_713: ありさん声低いからいい感じ
[126.163] (S)キレる17秒前: 気持ちありさんが小さい
[126.378] (S)pwlwq: 画質めつちゃいい
[127.801] はっっっちゃん: 大丈夫
[128.005] akanee125: ありさん少し小さいかも
[128.006] (S)tokievi: 問題ない
[128.592] (S)亜弥ノエル: いつも通り
[128.816] moon_snow__: いつもよりありさんの声が気持ち小さいかも
[130.581] sakumasaku029: あひさん声低めかも
[131.074] mayumayuuuu: ありぴの声が若干小さいかも
[131.320] 桃の葉: わこさか〜
[131.332] (S)ksnt007: わこさかー
[131.521] (S)oavow: ありさんが気持ち小さい
[131.556] (S)kyumekumu: 小さくないぞ
[131.956] syake04230423: みんなの声きくとありちゃんちょい小さいかも
[132.586] kani_nee: ちょい小さいか？
[133.549] (S)maga_1897: そんなことないよ
[133.645] no2ko: 動物、撃てる❓
[133.781] chat__noir08: 今日も今日とて、いい重低音だ！
[133.872] 1r000: 声が低いね
[134.129] あぃりす: 前より小さくなったね
[134.970] 星詠せれね: 俺らはいつでもいい感じやね
[136.947] (S)満月: いつも小さいのよ
[137.421] (S)らうぃ: バランスいい！全部小さい！
[138.454] (S)yuharu_t: わこさかー！
[138.759] (S)ゆゆすけです: ありさんのこえがちょっとちいさいかも？
[139.605] (S)07FZK: ありさんが小さめか…
[140.593] (S)subaru_91003: ちょうどいい
[140.770] (S)NaoMiiii_3: バランス良さげです
[140.962] (S)sapasa: じゃあちょうどいいかもｗ
[141.070] (S)ak6141126: なるほど
[141.613] (S)okome_taberu: www
[141.894] (S)hiiiiro_o: そんな感じ
[141.984] (S)mokomoko05: わこさか〜
[142.231] (S)pipipipipi_piiiii: 画質いいね
[142.889] pote_r: あ、いまちょうどいい
[143.078] (S)aaa__nn: ならええか
[143.418] nasunasuuuuuuu: わこさか〜
[143.585] nikonikosannn: なるほど
[143.716] (S)キレる17秒前: 海賊王になったら丁度いいか
[143.827] oki4353: いい感じ
[144.040] (S)oji1chan: ちょうど良い
[144.263] noeshisu: わこさかー！
[144.603] (S)まり㌠: 声張ってないま？w
[144.733] (S)kuro_nekotan: 声が低い
[145.111] 和梨47: こんばんわー！
[145.298] nikonikosannn: おけい
[146.359] semosemay: じゃあ大丈夫かな
[146.568] psyduck1127: 喉大丈夫ですか？
[146.782] ariworip: じゃあ大丈夫か
[147.608] (S)__まる: こんばんは〜
[148.872] (S)airuka_16: わこさか～！
[149.040] (S)risaaachannn: じゃあいいかも
[149.740] まっちょす: 一回叫んでみる?
[150.487] あぃりす: そうしよう
