[5.270] (S)RFKage: umeCossack
[1213.813] lun__01: スト3が格ゲー冬の時代だった
[1216.808] ebiebi12: 4のほうがすごかったよ
[1221.046] (S)gularain: そうなんだ
[1221.822] てべす1103: あなたが世界の中心でしたよスト4
[1221.954] warotyphoon: スト4はあくまで格ゲーやってる人が集結した感じする
[1224.314] melon_pan14: スト6で格ゲーをちゃんと知って、この前YouTubeでウメちゃんのNガイルを見ました。
[1225.797] Moyashi300: 配信で1万人以上集まるのザラだったから、結構すごかったと思う
[1226.835] kiyosiro: ネットある無いじゃ、盛り上がりの基準がわからなくなる
[1227.034] aranami0: 4は内輪の盛り上がりって感じ
[1230.535] だいこん_: 4は動画勢でけっこう見てたなー
[1231.842] (S)グレンシア: 4はこんなに新規が来なかったもん
[1236.966] kc_tc0006: スト2、スト4、スト6のイメージ
[1238.538] yamato925925: スト4はアーケードのウメハラの衝撃からやな
[1242.174] heijitusan: 完全新規なら絶対6が多い
[1248.572] noriyuki3: 4で盛り返したよね、4から見てる人はかなりいると思う
[1251.122] 記入漏れ: ４はプレイヤーは別に、動画勢が多かった
[1253.607] akkerakan_: その時代の1万は相当じゃない
[1255.471] maddy2623: それは配信のライバルがいないからじゃない？
[1255.829] johndoe6523rp: 海外の方は4みたいに難しいの好きですよね
[1259.938] てべす1103: zavac神とかいたからなあ
[1260.749] lun__01: 小野さんの功績
[1263.896] greekrambog21: I swear it sounds like he is saying are you a bitch lol
[1265.135] tabibitox: 配信が少なかったからね
[1265.687] Moyashi300: 配信者が少なかったから集中してるのも勿論あるけど
[1266.321] one596: 2の盛り上がりを直で知ってるかどうかで4が盛り上がったかどうかの感覚違いそう
[1266.730] warotyphoon: ニコニコとの親和性が高かった
[1268.970] hirokiaaa: ニコニコで小足見えないっていってたやん
[1282.490] kuniyoshi8: 画質は相当悪かっただろうけどね
[1285.732] tarako330: ４の時も追加キャラはDLCだったの？
[1286.698] (S)グレンシア: スト4って スト2触ったことある人が帰ってきただけでこんなに新規が増えたイメージない
[1286.927] myako_toshi: スト2の時、まだ生まれてない、、、
[1287.183] (S)まとご: ４のときは配信文化がまだメジャーじゃなかったけどね
[1288.885] ebiebi12: 6はそろそろ飽きられてる
[1293.111] prisira: ニコニコ全盛期だしな
[1293.764] 건우__: 이거 지금 뭐하는거에요? 계속 승룡권만 쓰는데
[1294.027] tabibitox: あとお金も動かなかったと思う
[1294.042] shellfish55: 5は盛り上がらず
[1296.903] yamanoberui: 当時誰が配信してたんだよ
[1305.201] takahashiseigi: スト４はワロスコンボ食らって引退しました
[1308.173] bec118_japan: それで言うとスト6で2万人3万人集まってる配信何十回と見たしやべぇよ
[1311.639] をかし: 配信のパイオニア
[1314.695] noriyuki3: 4はマッチングも早かったしなー
[1315.220] lun__01: 5は地道にじわじわ盛り上げていった感じ
[1315.965] Moyashi300: ゲーセン勢的にはやっぱウメハラ復活のインパクトは正直半端じゃなかったよw
[1317.448] maddy2623: gameinnでXBOX買った人は相当いた
[1323.271] Deusis: Show you Ken. Show you Ken.
[1323.452] kc_tc0006: スト4はネット黎明期プラスプロゲーマー誕生とかで盛り上がってたような記憶
[1334.459] hiaaru: otaniPien
[1335.959] bec118_japan: そうなの？？
[1335.983] kuniyoshi8: バーンアウトした
[1337.708] (S)ponponguripon: しぱしぱ
[1340.462] だいこん_: umeFail
[1355.016] moricocoa: 苦しそう
[1370.551] melon_pan14: 今日の40代町内会は２０時からだっけ？
[1375.738] (S)グレンシア: 何をもって盛り上がってたかって基準によるけど何基準にしても2はエグい
[1385.080] latenight000: 今の時代はゲーム自体が面白いよりも、どれだけ配信者がやってくれるかが重要だしねぇ
[1389.482] てべす1103: 2は社会現象レベルだったからねえ
[1394.253] Moyashi300: 2は国民的ブームだったからねぇ
[1395.446] tabibitox: ２は社会現象だから別格なのは当然
[1398.661] popqqqqq: めんてあけた
[1401.461] poposuke: 4の頃がネット黎明期ってのは、語弊が強い
[1402.074] ギアふっしー: ２は一番売れてる格ゲーやろ？
[1408.277] shellfish55: 2、4、6偶数は盛り上がるんやな
[1408.477] myako_toshi: 正直、スト6の盛り上がりで初めてストリートファイター知ったよ、、、ジェネレーションギャップ、、、
[1409.304] bec118_japan: ブルーライトカットとかしてるの？
[1413.890] prisira: スト６はやっぱ１回目のＣＲカップでかかったと思う
[1414.032] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1420.847] moricocoa: 一番売れたのって鉄拳2とか3じゃなかったっけ
[1422.863] (S)ちぇんぷる: そーだよー
[1427.499] v_harumi_v: ２０時ですね
[1428.652] tabibitox: じゃじ
[1430.781] だいこん_: じゃじぃぃぃ
[1457.474] aranami0: じゃじぃ君もやる気勢だね
[1484.009] てべす1103: じゃじぃ最近露出少ないから寂しいぜ
[1488.647] melon_pan14: 俺の父は鉄拳勢だったみたいだから今のスト6ブームもあんまりピンと来てない
[1494.516] (S)グレンシア: 鉄拳は一番売れたのでもたぶん150とかじゃないかな
[1504.686] ebiebi12: 6の盛り上がりってなんか人工的
[1511.111] johndoe6523rp: じゃじいくんずっと坊主でいてほしい
[1518.662] ギアふっしー: ４の頃はネット黎明期というかニコ生主流でアングラ感が強かった気がする
[1519.064] prisira: 鉄拳７はクソ売れてるはずよ
[1520.684] une3333: ルーク勢は気合い入ってそうですよね
[1524.997] (S)グレンシア: 世界だと鉄拳800万とかいくのか
[1532.258] Moyashi300: 今のゲームって配信者から流行るから、王道な流行り方ではあると思うけどなぁ
[1535.795] だいこん_: ザ・ワールドCA
[1539.255] moricocoa: 鉄拳3が1454万本だって
[1545.999] 310pure1: 当時は牧場物語やウイニングポストでも動画で何万再生って行く時代だしなぁ
[1582.618] latenight000: 配信者コミニティーがどのゲームを盛り上げるかにかかってる気はする
[1630.980] yasubewe: やっぱゲーム自体がおもしろいから盛り上がりもついてくるんじゃないかね
[1633.797] tabibitox: コンジンギ
[1637.828] henly1984: 2023はスト６が配信者に刺さったと断言していいと思う
[1647.335] niemalsaufgeben: 配信みてる人からしたらそうだろうね。視点次第
[1655.641] だいこん_: 面白くないと続けないもんな
[1671.374] henly1984: 面白いよスト６。単純に
[1673.364] lun__01: スト6が面白いゲームだったてのが大前提なのは間違いない
[1674.749] laffinxxx: きっかけは配信だとしても、ゲーム自体がおもしろくないと、リスナーはやらないでしょ
[1697.935] ギアふっしー: スト２世界で１５５０万か 鉄拳と良い勝負やな
[1702.754] シロテア: どの時代も流行りはインフルエンサーからではある。それが良いものだったら継続的に流行る
[1723.966] 記入漏れ: 正直、別にそれで日本の売り上げが海外の売り上げに迫ってるとは思えないなぁ
[1729.303] latenight000: 面白いゲームは無限にある、でもどれをバズらせるかは配信者が決定権をもち始めているって話
[1735.294] だいこん_: 前歩きなーげ
[1736.863] moricocoa: スト6ブームとはいえ視聴者減りつつあるからなぁ
[1739.453] (S)グレンシア: 始めやすいから誰かがやらなくなっても他の有名配信者がはじめるからスト6は強い
[1749.764] niemalsaufgeben: 国内だとポケモンで一番売れたの初代だしな
[1760.518] (S)グレンシア: 減ってるんじゃなくて視聴者がバラけてるだけじゃないかな
[1762.365] prisira: 増え続けるってことはないからな
[1764.545] なかしょう: GTAのスト6二次会に次々人が集まり朝まで起きてたハイタニ
[1780.385] pepepe393: スト6だけじゃなくて格ゲーが流行って欲しいなーみんなGGSTやってください
[1796.555] laffinxxx: 格ゲーが流行ってるとか言える時代がくるとは！
[1796.699] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1796.788] (S)hoshi_boshi_0: ナイスー
[1796.990] Hikaru_256: 整地で鍛えた集中力と筋肉さすがやで
[1800.681] ギアふっしー: ビースト
[1808.926] oasis______: clean start
[1817.062] tarako330: 今年は鉄拳８も出るからね
[1817.954] hiaaru: いつもの半袖
[1820.545] ぜくちゅ: でもlolは全然流行らない
[1822.925] 蝉時雨: ネセスマジで動画化してくれんかな
[1833.206] moricocoa: LoLは界隈が流行らせようと頑張ってる
[1834.440] 新ころりん: 一体何をいれたんだろうｗ
[1837.676] pepepe393: lolは何やってるかわからんからな
[1844.924] niemalsaufgeben: 楽しんでそれがいい思い出になったらいいさ
[1849.357] moricocoa: やれば見てても神ゲーなんだけどね
[1852.837] prisira: lolはチャットをミュートにするとこからスタートってきいた
[1857.161] Moyashi300: 1試合長いから見る方も大変だよね、lol
[1858.752] だいこん_: AKI使ってそうなケン使い
[1865.202] lun__01: 格ゲーはやり込むと深いけど、基本的な部分はわかりやすいね
[1873.188] tabibitox: この名前だけどたぶん中国の方
[1877.706] kuniyoshi8: すげぇ名前ｗｗ
[1880.349] Bureaucrats: 次はネセスが流行るぞおおおお！！！
[1882.628] tarako330: lolは何が面白にのかよくわからん スピーディじゃないからか？
[1893.596] pepepe393: 特に6はインパクトとかジャスパとかわかりやすく盛り上がるよね
[1899.541] moricocoa: 単純に何してるかわからないからじゃない？
[1909.611] yasubewe: スイカも多分わかりやすさとさわりやすさがウケた
[1913.817] tarako330: そうなのかなぁ
[1922.496] のぶとも: lolとかはやってる側はおもろいんだよね
[1923.685] ギアふっしー: スト４，６はウルコン、SAで決まるのが結構あるから、配信的に見栄え結構良い
[1929.554] HRN476: LoLは複雑すぎるんだよな。キャラも160体くらいいるし
[1929.901] lun__01: キャラが殴り合ってHP0で決着は相当わかりやすい
