[333.411] donguri326: リタイアの罰ゲーム決めよっか
[335.016] akasanz3x: いるんだ ありがとう
[335.982] izumi_ryu: 痩せればいいんだよ
[337.427] wonderhit1: ベビーパウダーでもある程度防げる
[337.593] (S)redpeppar510: アールに負けたらどうするの？
[339.227] hukohuko: 今どきTVでやれないレベルのデスゲーム
[339.562] ima_son: 膝サポーター買ったの？
[341.331] mogai555: スパッツ的なのはいたらいいんじゃない？
[342.774] momochan6: 今日台風並みの風だが大丈夫か
[344.118] ポンポン: ウメちゃん体調万全ですか?
[344.454] (S)bec118_japan: スパッツ履くと全然ちがうよ！
[345.230] teruharu_: 命を大事に…
[347.527] 弾き一閃: 痔の人も穴にワセリン塗った方がいい
[348.245] hi_im_botti: ｗ
[348.835] あと1983: KSKさんどこお
[351.923] meganesandesuyo: www
[352.925] suikan3: 靴連れ対策はしてますか？
[354.958] 新福菜館マン: 熊とかイノシシでたらKSKが闘うの？
[354.983] ememeume: 楽しみすぎる！！
[356.114] nonsugar_436: 最期w
[356.569] _うに_: 長時間自転車乗るときもシャモワクリームっていうワセリンみたいの使うのでオススメ
[359.916] LogicalDashGG: ついにきたー
[360.975] Kanquez05: デスゲーム
[362.325] ame512: 始まってしまうのか
[364.825] ロンロ: サーベルタイガーやん
[365.464] よもぎです: ハンサムいる？
[365.553] light_hight: 四つん這いで完走してるかもしれない
[366.870] taroumaruh: 長時間行軍は経験上まず微熱がでてくる
[374.309] ememeume: 痔、、
[375.530] ロンロ: よっわｗ
[377.487] gorogorogorn: 運転席配信環境いかついｗ
[377.858] ゆなっこ: えいたさん・・・ｗ
[380.418] v_harumi_v: あらら
[381.825] queuhcs: ざっこ
[382.112] vungo_mr: 虚弱
[383.480] taroumaruh: オワ
[383.707] uirou01: 😂
[383.815] beehive3: 塗っとこう
[384.220] (S)inkgran: えいたもう…
[385.634] kaigaizei: 痔は歩くと悪化する
[385.694] ctn0912: 痔は歩くと出るぞ
[386.219] ライム_: えいたは無理じゃん帰りな？？
[388.867] chanmipoin: 死んだわこいつw
[389.467] meganesandesuyo: えいた初日リタイアありそう
[389.776] (S)m1s4m0: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[390.382] (S)食用ばるさみこす: 初日脱落まであるな
[390.887] prototypeie: でも勝っちゃう さすがに？ｗ
[391.096] nikorinko: 嫁さん泣くぞw
[392.895] TUBE_MAN: えいた始まる前から負傷してんのかよ
[395.473] mogai555: 半日もつかな？
[395.704] teruharu_: 痔が爆発しちゃう
[396.757] LogicalDashGG: えいた始まる前にもう・・
[397.033] atom0324: 車にコンデンサマイクとか、どうすんだそれｗ
[398.492] sikusi: LUL
[399.047] (S)bec118_japan: やっぱり勝っちゃう
[399.138] momochan6: えいたはすぐ脱落しそうだなｗ
[400.179] donekofg: りらんちゃん待ってるよ…
[404.258] あと1983: 人生ぶっぱ
[404.859] MadEggMania: 一番歩くは絶対ない
[406.696] Areca129: ウメさん、仙台で食事先決まってますか？
[408.779] lg99632: 靴擦れ 股擦れは絶対対策 ワンちゃん乳首も擦れる
[412.988] light_hight: 初日で終わりでしょ
[416.681] _うに_: ここ川崎ですか？
[418.641] taroumaruh: 夫がしにゆく様を放送中…
[421.524] tora6666: シュート君は完走予定なの？
[423.783] matsumo2: takamori315 subscribed with Prime. They've subscribed for 32 months, currently on a 1 month streak! 
[425.036] perfecttakahashi: ついにこの日が来たか
[427.304] wonderhit1: 絆創膏類持った？
[427.962] teruharu_: 乳首にバンドエイドして
[428.122] ima_son: イェーイ見てる〜？
[428.443] eremin_39: すふぇー車にマイクがある
[430.839] justinfun74185269: パナシで最終日まで通す
[432.659] vungo_mr: えいたさん昔道端に寝転がった話聞いて不安しかないｗ
[433.572] (S)super_fluo: 牛タンっしょ
[435.715] wahaha7788: 上も下もインナー着たほうがいいよ
[436.172] _うに_: めっちゃ見たことある景色なんですけどw
[441.362] 000105: アールさん乗ってるからもう埼玉じゃね？
[443.894] Areca129: 牛タンの閣っていうところオススメです、ぜひ。
[448.564] LogicalDashGG: シュートどこーみせてー
[450.789] (S)redpeppar510: えいたは２日目の朝に筋肉痛でリタイアだな
[450.894] tora6666: 早いだけ？
[452.437] usa451: dango、折笠は明日合流ですか？
[454.041] queuhcs: うめちゃんだけ最後に立ってる
[456.129] (S)Lyrinxxxx: どんな感じのルート歩くんでしたっけ
[457.456] (S)yaminoiiii: あれ折笠さんは？
[457.680] (S)食用ばるさみこす: KSK技術班はPC作業してるのか
[460.052] suikan3: 乳首はすれて血が出るから予防してね
[462.059] どみのん: この中でウメちゃん以外自信ある人いるんです？w
[462.314] akinikuihuku: 賭けさしてくれ
[463.957] sikusi: あ
[464.014] ポンポン: ドライバーさん安全運転たのむね
[464.456] myodent21: w w w
[464.584] (S)にろろに: にろろに subscribed at Tier 1. 
[465.613] ememeume: 1人もw
[469.253] v_harumi_v: ｗｗｗ
[470.477] dekamega: 徒歩で・・・
[470.884] myodent21: 徒歩で
[475.007] wednes12: 結局何キロ歩くの？
[477.510] ラリぶべぼ: 全部で何人？
[478.779] (S)ゆなっこ: ゆなっこ subscribed at Tier 1. 
[479.831] usa451: 龍太郎はクレイジーじゃなくなった
[480.601] vungo_mr: 日時だけ聞いて二つ返事したえいたさん
[484.954] dekamega: 弘前は結構山の中だよな
[485.413] フﾄ: あれ折笠さんいる？
[486.215] ememeume: 青森はでっかいどう
[486.953] kaomoji3: さくらで有名
[491.417] daichan1200: 都会だと結構歩くからなぁ
[491.642] sistersguitarreplica: 折笠さんいる?
[496.057] ポンポン: 仲間
[498.367] ukiyo55: 岩手横断？
[501.699] wednes12: 東北って意外と縦に長いんですよね
[501.964] taku_ram: 青森の北のほうか
[504.703] 000105: 田中邦衛おるな
[504.912] (S)食用ばるさみこす: これは王の右腕
[505.136] (S)泣き虫サクラ: 行軍王
[506.134] qwer______: 健脚
[506.507] よもぎです: 健脚王
[506.743] weeep1: 折笠さん東京まで来ないでしょ
[508.626] usa451: 健脚
[508.862] ~MISSING_COMMENTER_INFO~: 仙台から青森と聞いて...どうゆうことだ...
[510.458] mogai555: 画質落とさない？容量足らなくなりそう
[511.681] ガイ長: 体力王
[515.040] A135alfa: ハンサムは仙台合流じゃないの？
[515.109] pochichan11: Cheer100
[515.329] ジード: スティールボールラン企画もお願いします
