[286.690] okometora8: 今回もモノマネの振りは対応しないんかいｗ
[286.757] (S)しゅぺたろ: テイク２
[295.074] (S)なすかわ__: あっあっ
[296.592] ran73110: wwww
[300.749] (S)c_world_: あかりんｵﾊﾖｵﾊﾖ
[300.863] (S)げってぃはミートソース: あかりんマイク変えたのかないつもと違う気がする
[302.241] (S)未知数みちお: あかりん！
[308.205] (S)れすポン: コマ投げだせるだと！！
[309.287] (S)ムーンバナナ: あかりん！
[311.218] 手のひらグルグル: キャスじゃないんや
[311.547] ~MISSING_COMMENTER_INFO~: ﾊｲﾝｯ
[312.778] 鯖缶だよ: ﾊｲﾝ
[313.532] nana43: ﾊｲｯ
[320.539] (S)uzend: モノマネの安売りはしないスタイル
[322.610] (S)ツカサ10: はいん
[324.884] patto_1023: UGとか絶対おもろいやろ
[325.196] (S)シルニカ: コーチ陣豪華すぎｗｗ
[327.363] (S)adglan: がんばえーーー
[328.439] (S)もふーお: ｵﾊﾖｵﾊﾖ
[337.670] fj_psun07: いいメンツだ
[337.937] (S)shi12poke: おー
[343.168] こーじょ: シコるんがんばえーー！
[344.995] (S)ccc020202: ハローこんばんわ
[349.615] dubu0214: ugのキャラは誰使うんだ？
[374.832] (S)ccc020202: ｗｗｗｗｗｗｗｗｗ
[375.551] ろあ00: wwww
[375.583] (S)qpchan: ｗｗｗ
[375.618] (S)バロン67: ｗｗｗｗｗｗｗｗ
[375.907] (S)シルニカ: ｗｗｗｗｗｗｗ
[376.078] (S)しゅぺたろ: ｗｗｗ
[376.133] (S)mira_koko: wwwwwwwwwwww
[376.245] (S)きゅむぉ: とんでもねえやｗｗｗ
[376.957] オオゼキ: ｗｗｗｗｗｗｗｗｗｗ
[377.134] (S)xyz_3931: wwwwwwwwwwwwwwww
[377.284] nana43: ｗｗｗｗｗｗ
[377.490] (S)its_MuNya: ｗｗｗ
[378.479] dk0831: wwwwwwww
[379.432] (S)patrick1000koo: wwww
[379.635] (S)Jewel_meat: wwwwwwww
[380.387] (S)craxton7: ｗｗｗｗｗｗｗｗｗｗｗ
[380.441] hoikkktv: wwww
[380.518] (S)蛙田いぶき: wwwwww
[380.577] (S)mitsuki5252: wwww
[381.904] (S)to9ton: wwwww
[381.933] (S)ムーンバナナ: ug何使うんやろw
[382.150] (S)いうた: wwwww
[382.984] えんえんトンネル: wwwwwww
[383.284] (S)rebecca_76star: wwwwwww
[383.297] moa_8131: ｗｗｗｗｗｗｗｗｗ
[383.821] (S)ハルハル3: wwwwwww
[383.914] 鯖缶だよ: wwwwwwwww
[384.073] (S)_龍角: wwwwwwwwww
[384.227] (S)alohapon: ｗｗｗｗｗｗｗｗｗｗｗ
[386.740] (S)ムーンバナナ: wwwwwwww
[388.596] tomoomot1231: wwwwwww
[389.902] patto_1023: wwww
[391.302] (S)シルニカ: GGEZ
[395.033] (S)buju: www
[396.398] tomoomot1231: 名前終わってるw
[397.894] dubu0214: GGEZWP
[402.426] (S)ムーンバナナ: おもろww
[403.874] 00どらい00: 誰やろなぁｗ
[404.049] (S)iguanakaitai: やばすぎｗ
[404.344] (S)生のイモ: ｗｗｗ
[411.064] ~MISSING_COMMENTER_INFO~: ﾊｲﾝ
[416.821] (S)rebecca_76star: wwww
[416.928] りょうげーさん: ファンさんのお声が聞こえない
[417.274] nana43: アイの無いあかりん！？
[421.537] (S)火曜日3: アイなどいらぬ
[421.765] 暇人1231: こんばんは〜
[425.345] (S)バロン67: AKARN？ｗ
[425.352] kaaaaaaaaame142: ファ太るんがんばれー
[429.011] (S)jimami47: ﾊｲｨ…
[431.513] (S)ccc020202: 民度わる
[439.648] りょうげーさん: ｗｗｗｗｗｗ
[441.394] (S)れぶりみ: うばー
[443.137] tomoomot1231: コマ投げでてるねぇ
[444.852] (S)いうた: いてら
[448.066] (S)きゅむぉ: まずはちゃんこ
[448.199] (S)テバ_02: 豪華面子やわ
[449.922] (S)qpchan: メンツよすぎる
[452.118] (S)Jewel_meat: ちゃんこか？
[455.324] (S)xyz_3931: wwwwwwwww
[455.988] (S)jimami47: ちゃんこ？
[457.240] _ふーせん: ｗｗｗｗｗｗｗ
[457.573] オオゼキ: クホいいね
[458.796] にこにころあ: スクリムふぁいとです！！
[465.475] spraoul: ちゃんこ？
[465.584] nzowp: 今日って風呂どうするだろう
[468.607] yuuko1014: 風呂入った？
[468.817] (S)飛びます飛びます: あかりん紅一点か
[469.169] (S)もーーーたん: ｵﾊﾖ ｵﾊﾖ
[470.310] taku611111: へー
[472.429] (S)ルルルラララ: すご
[473.547] (S)ムーンバナナ: そーなんや
[474.542] (S)sharps000: ちゃんこ～くわんか～い
[474.700] (S)いうた: そうなんや
[475.394] nana43: おー
[476.439] (S)生のイモ: 長期だねえ
[476.622] 陥没祈祷丸: なんかこの部屋加齢臭すごいな
[477.827] えんえんトンネル: すごいな
[481.843] (S)adglan: しこるんどこいったのー？
[483.287] (S)alohapon: すご
[485.091] (S)きゅむぉ: ｗｗｗ
[485.180] patto_1023: すげえな
[486.667] (S)ccc020202: NA育ち
[491.001] (S)ムーンバナナ: wwww
[503.342] (S)ぽっしぃ: UGとしゃべってるのうれし～～
[510.470] taku611111: おかえり
[512.722] (S)未知数みちお: この部屋暑苦しいｗ
[517.846] tesofo: ugさんと結構縁あるね
[518.336] (S)ピン汰: ファン太さんスクリムがんばれー！！
[519.594] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[536.597] (S)ムーンバナナ: あかりん、おじさんに囲まれてるなw
[536.811] dubu0214: ファン太はアケコン？
[539.471] masasasa01: あかりん、オタサーの姫やん
[540.294] (S)なすかわ__: なんで関西弁w
[540.661] (S)uzend: あかりんかわいい
[540.763] zeta0006: あかさんかわいい
[546.052] (S)ももどいう: BibleThump
[547.069] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[549.209] hatiware25: あかりんかわいい
[549.436] (S)ピン汰: あかりん可愛いーー
[554.130] (S)八咫烏: こん塩～
[555.912] たみーさん: ハイン
[566.721] オオゼキ: 一旦ね
[567.272] みんみん458: オタサーの姫使い方ちがうだろw
[568.462] りょうげーさん: でっか
[568.864] nana43: ｗ
[569.356] (S)ender_ear: スシマス兄やん！
[570.385] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[572.080] (S)シルニカ: あまちゅき♡
[572.489] (S)udon_54: 声でかい
[581.785] (S)OudonEater_kun: 寿司♡
[582.001] dubu0214: あまちちゃんー
[585.366] asagaya_a: 天兄❤️
[586.025] (S)rebecca_76star: あまにぃ
[586.722] ttt2836: 天兄
