[1062.930] pienistear: あの激励なかったら負けてたろアイボ
[1074.917] びーざわん: ソルダムマジで本当に好き！！！！
[1084.207] miraigata: 韓国選手だと兵役の話とかするの？
[1090.678] coral_leaf24: オーナー視点気持ちよさそう
[1092.060] びーざわん: ビッグブレインすぎるｗｗｗ
[1111.312] イッパツイキ太郎: jojoの全員の名前呼んでOK?って聞くやつ好き
[1119.023] ice7se: IGLってjoxjoだっけ？
[1125.219] カナ口ア: IGLって大事だと思うわ
[1125.423] 無限0024: 心臓であり頭脳
[1127.355] なおき3: vorzがいるよ
[1137.237] rasukaruuuuuu: vorz in
[1154.659] yk8mr910: もしアセンションも勝ってリーグ決まったらかえでとかどうなるんだ
[1156.463] カナ口ア: 優勝請負人すぎる
[1161.370] chofu_2: リーガー組がしっかり声出して支えてるの偉い
[1163.136] pokepokepopopo: IGL偉大
[1164.964] imokorori: ほえー
[1167.970] ただのともや: 喧嘩するんだ
[1169.742] tomoars: joxjoみたいなのが、しっかりIGLって呼べる人なんかね
[1178.733] カナ口ア: @yk8mr910 たぶん出れる年齢になる
[1180.701] bonheihe: 喧嘩はまずくね？
[1183.699] (S)leing_dayooon: やっぱ喧嘩か…w
[1191.428] カナ口ア: 喧嘩バフか
[1202.907] coral_leaf24: ファミリーってこと？
[1205.445] (S)りゅうきゅうきゅー: Joxjo保護者すぎる
[1206.419] (S)yayuuu2222: パパやん
[1211.240] zeroa3939: それだけ真剣って事か
[1211.329] silva518: 親父とは喧嘩するもんや
[1212.187] 臭めのこかりん: それはそう
[1213.262] カナ口ア: DFMもT1前に喧嘩してたし
[1217.468] (S)yoshg7y: 熱量
[1225.855] ただのともや: 思ってることあるなら言わないより言った方が良い
[1227.138] 無限0024: 一生喧嘩しててほしい
[1227.349] ask_asterisk: 男の喧嘩って次の日に持ち越さないの良いよな
[1229.302] (S)雨水ぺとる: そんぐらいマジならあとからでも仲直りできるからな
[1230.735] 臭めのこかりん: 自分の意見主張は大事
[1231.521] なおき3: 今日のreject河川敷で殴り合った後くらい強かったからな
[1243.682] みゆちゅちゅ: miyuch5Hi
[1246.583] カナ口ア: 良いチームやね
[1285.365] (S)雨水ぺとる: Riddleのクラシックでたら買うね
[1287.656] カナ口ア: 韓国ぽいなぁw
[1290.560] imokorori: いいね
[1290.638] イッパツイキ太郎: vorzがガチギレしてるとこ想像できねぇや
[1293.614] (S)leing_dayooon: 雰囲気保つための心構えすごい
[1294.264] udonsobasuki: 熱い漢やな
[1296.652] あいしあいし: いいね
[1302.183] aaaaa2239: ハッキリ言えるのかっこいい
[1303.032] ice7se: アイボの3-9折り返しの時もちゃんと言ってたね
[1306.515] あいしあいし: 本気で向き合ってくれるんやな
[1307.931] chofu_2: それ言われて拗ねないガキたちも大人だね
[1309.712] rosary_r: あと1勝すればプレイオフは確定？
[1315.211] 無限0024: はっきり言えるのいいよなやっぱ
[1329.952] siochan_jp: リスペクトマジで大事や
[1331.614] らむぽっぷ: 偉大だなあ
[1362.235] ikageso_6: 結果出してるからなぁ
[1371.423] (S)雨水ぺとる: 神様仏様JoxJo様やな
[1377.230] イッパツイキ太郎: jojoが日本人はハッキリ言わないからキツいって言ってたし本人にとってもいい環境なのかな
[1377.335] pulsar_oppai: おはようございます
[1380.171] (S)leing_dayooon: まじ大黒柱父
[1385.185] なおき3: IGLから解放された後の少人数戦もしっかりクラッチするし
[1393.815] coral_leaf24: 逆にじょじょが学んでる部分もあるんかね
[1408.334] カナ口ア: @ippatsuikitaro Medusaも似たようなこと言ってたな
[1432.395] 臭めのこかりん: そうだね
[1434.787] pulsar_oppai: お互いが出せないよね
[1436.901] chofu_2: たしかに
[1438.857] tomoars: joxjoも戦い方変わってるって誰か言ってたね
[1445.180] nac__c: ほんま最高のチームや
[1455.659] siochan_jp: さよなら
[1462.751] カナ口ア: 分かる
[1478.483] rasukaruuuuuu: その言い合いも無駄だしなw
[1479.854] ただのともや: わかる
[1484.345] カナ口ア: あと腐れするやつね
[1486.495] 臭めのこかりん: まじでいるしわかる
[1489.918] ikageso_6: 無いよって言いながら不機嫌になるやつ
[1495.012] (S)leing_dayooon: 変な心遣いになる
[1496.266] ISRdafty: おはようございます〜
[1498.298] hunbaa13: 日本人って言い方めっちゃ気にするよな
[1501.642] イッパツイキ太郎: 勝ちに行こうとしてるのにチーム内でわだかまり作ってたら一生勝てないよな
[1509.529] damact7326: 不信感はプレイに影響する
[1558.631] 臭めのこかりん: チームいい感じやねん
[1560.816] Classyjp: チーデスめっちゃやっててええね
[1561.768] (S)雨水ぺとる: うみちゃんと話した？
[1562.880] chofu_2: エペも楽しみ
[1568.914] nac__c: チーム友達
[1569.855] 電気マツモト: チームいい感じ
[1577.034] imokorori: そうなのか
[1577.135] ただのともや: PNG差がね
[1578.466] ghsjjfbi: そうなんだ
[1579.682] hunbaa13: 帰るんだ
[1579.918] あいしあいし: それ心配やなー
[1581.045] evasusu123: 移住や移住
[1586.275] chofu_2: 大会サーバー重いらしいねー
[1590.596] coral_leaf24: オフじゃないのも心配やな
[1592.441] 無限0024: いやきつそう〜
[1594.852] (S)leing_dayooon: 大会でラグはなぁ
[1603.748] miraigata: ムラゲのオフィス借りよう
[1605.179] jinpay: 貯金作っとこう
[1606.582] びーざわん: 重いんだ大会のサーバーって
[1613.738] yk8mr910: VISAの問題ですか？
[1619.099] なおき3: 俺の家泊まる？
[1633.342] あいしあいし: 俺の家でやっていいよ 
[1636.751] udonsobasuki: ZETAオフィスってタダ？
[1641.773] imokorori: まぁ金かかるよなー
[1647.174] rasukaruuuuuu: やはり金か
[1650.782] ただのともや: 東京平日でもまじ高い
[1657.364] アンディゴ: グッズ売りまくろう
[1665.759] chofu_2: グッズ買います
[1669.306] あけちゃ: いまホテル高い
[1684.340] evasusu123: 大会期間家借りたら駄目なの？
[1699.498] morio_maru: w
[1701.144] Tokumei_no_mickey: www.
[1702.477] imokorori: w
[1702.693] (S)yoshg7y: www
[1703.625] らむぽっぷ: ww
[1703.890] guri_guri: ｗｗｗｗｗｗｗｗｗ
[1704.314] hunbaa13: wwww
[1704.777] archaique7: ｗｗ
[1705.030] ただのともや: えぐwww
[1706.518] 電気マツモト: 狂ってら
[1707.052] imokorori: ひどすぎるw
[1707.376] あおのり___: wwww
[1707.772] カナ口ア: 豪遊してる 
[1708.890] roppusu_xx: なめてるｗ
[1709.881] (S)leing_dayooon: 豪遊やん
[1711.734] rasukaruuuuuu: ww
[1711.939] (S)佐藤めいこ: ｗｗｗｗｗ
[1712.384] あるこ_: ボド合宿所経営しよう
[1712.576] yanyan_53: 若いしねww
[1714.461] (S)雨水ぺとる: いかれてるｗｗｗｗｗｗ
[1715.459] Jinenjyo: ちゃっかりしてらw
[1722.611] damact7326: 腹壊さんか笑？
[1725.713] (S)雨水ぺとる: かわいいなｗ
[1726.094] imokorori: 食費は出してもらって良いんじゃないの？w
[1726.388] エミュー3: wwwwwww
[1728.223] rasukaruuuuuu: そりゃ食うよなw
[1732.683] zeroa3939: 予算上限とか無いんだw
[1751.991] azusa8911: 裸で語ってきたから
[1757.453] mumei_666: おはようございます
[1762.887] 電気マツモト: ご飯行った後にご飯行くんだよね
[1763.100] あいしあいし: 仲良いね 
[1767.913] throughthewire: 青春
[1769.755] (S)yoshg7y: www
[1769.808] 臭めのこかりん: w
[1769.945] あおのり___: wwww
[1773.262] Classyjp: そりゃそう
[1773.687] azusa8911: w
[1774.318] yk8mr910: マンスリーマンションみたいな借りれないのかな
[1775.190] chofu_2: wwwwwx
[1775.827] エミュー3: ボドが命削って配信時間増やして稼ぐしかない
[1776.208] archaique7: なるほどなぁ
[1776.323] ghsjjfbi: wwwww
[1778.949] rasukaruuuuuu: それが強さの秘訣かもしれない
[1779.060] ただのともや: 確かにw
[1779.681] イッパツイキ太郎: www
[1782.960] Cartass_Jp: 寝れなかったんですか？
[1783.685] mumei_666: 10時に寝て5時に起きました
[1784.239] (S)yoshg7y: 気概が良すぎるオーナー
[1785.287] imokorori: 給料出してますやんw
[1787.125] (S)佐藤めいこ: お小遣い渡したらええやん
[1793.216] Tokumei_no_mickey: その分Apex部門に稼いでもらおう
[1793.680] hamumelon43: 本来なら青春真っ只中だもんね
[1793.776] バンブルビーー: 福利厚生もちゃんとしてて最高のチームや
[1799.692] 無限0024: ますますスポンサー募集やな
[1810.156] azusa8911: ミルダム貯金ありがとうやで
[1811.778] tesutasan: おはようございます!!体調大丈夫ですか?
[1812.403] yk8mr910: ゆきおの稼ぎもらおう
[1814.000] chami_05: モチベにも影響しそうだしな
[1818.213] なおき3: 出張手当みたいなもんですか
[1825.029] 春茶ソ大好き侍: まぁ確かに。自宅にいる訳じゃないからなぁ
[1827.243] hunbaa13: 無限に広告だけ流す配信とかできない？
[1827.700] rrsora: おはようございます
[1830.240] あいしあいし: スポンサーはよ 
[1835.615] zeroa3939: デカいスポンサーに付いてもらおう
[1844.505] udonsobasuki: スポンサーついてくれー
[1845.775] オタク社会人アルト: リドルのグッズ買おうと思ったんすけど、売り切れてました 
[1848.116] ただのともや: RIDDLEオフライン行ったらグッズ出る？
[1849.630] chofu_2: オーナーかっけえ
[1853.566] yk8mr910: 他のチームどうしてるんだろうな
[1865.058] udonsobasuki: NAVIのフーディほしかった
[1874.706] n4sty_tea: ヴァロ部門強いからスポンサーついてくれそうやけどな
[1875.108] azusa8911: ゼタありがとうやで
[1878.178] Jinenjyo: ほー
[1881.319] カナ口ア: ZETAオフィスMRGと取り合いなのまじでおもろいww
[1882.369] 電気マツモト: 今後ridオフィス作ったりしないの？
[1889.403] エミュー3: ZETAありがとう
[1895.306] imokorori: そうなんやw
[1898.206] rasukaruuuuuu: zeta最高だね
