[1477.847] (S)domontyan: トーナメント表ってありますか？
[1482.950] (S)rdstus: りゅうきちくんがもう大人か～
[1484.787] omedetroit: 吉本力入ってるね
[1485.440] umechin7: ジョビンTOP８まで残れやこら
[1486.830] oisiisio: そのときは漢の10戦でしょ。
[1487.648] quququ12345: あるらしいよ
[1491.870] (S)user0511: EVO優勝したら全部よしもとに賞金もってかれるの？
[1494.853] (S)ta3z_: evoで最終日残ったら、スポンサーの話来るだろうねぇ
[1495.939] tentough: おわっち
[1501.247] omedetroit: トナメ表はジョビンのツイートにリンクある
[1505.871] taos06: ***
[1511.247] (S)francis_02446: ***
[1512.411] k_ao_twitch: 芸人は金ださずこいうとこに金使ってるのかw
[1513.578] daipansyokunin: ＥＶＯで結果だされるとジョビンの居場所を奪われる要素しかないぞ
[1513.823] (S)domontyan: マゴさんの配信にも出てた
[1526.418] daichan1200: サガット待ち勢なのかな
[1530.769] (S)domontyan: ｗ
[1531.072] mayamikio: 吉本はギャラ配分9:1な
[1532.637] まっきー赤色: 殺意の波動に飲まれたりゅうきちくん
[1533.885] ShivaJones: A
[1533.981] (S)rdstus: 吉本ってギャラは９割持っていくけど賞金とかは大丈夫なはず
[1534.425] (S)kumatedd: ｗｗ
[1536.077] k_ao_twitch: 吉本の金の使い方w
[1537.687] bacchuskou: 負けたらジョビンくびなの？
[1538.653] ~MISSING_COMMENTER_INFO~: どぐら「みつからないんですけど」
[1540.971] taos06: ジョビンのツイッターにchallongeあるよ
[1544.307] Purplehamster: lulRTSD1
[1544.349] umechin7: TOP８まで残ってください
[1549.124] uhauhap: しゃべり方が黒ちゃんｗ
[1549.289] (S)domontyan: 逆にやられるぞ
[1552.157] quququ12345: どぐらなっつww
[1553.355] ~MISSING_COMMENTER_INFO~: 物騒？平常でしょ
[1553.851] rabiqq: ギャラ9割マジ？ｗ
[1555.321] chamomile21: 壇上行かないとクビか・・・
[1559.191] daichan1200: ジョビンさん痩せたクロちゃんみたい
[1559.491] k_ao_twitch: 負けたらムッキムキジョビンは脱いでww
[1560.536] (S)komine58: ジョビンそういうとこだぞ
[1560.821] (S)hosp1990: よしもとマネーをじゃんじゃん回そう
[1562.088] (S)あけち002: 吉本 ＴＶにちょい出てる芸人でも 営業１本５０円らしいねｗ
[1567.379] (S)oleo0227: よしもともスター選手に飢えてるから仕方ない、受け入れていけ
[1568.025] namenamekonkon: ジョビンが更に上の結果出せばいいだけじゃんねぇ
[1569.869] omedetroit: どぐらps3はさすがに？
[1582.566] tentough: ジョビンより今日の優勝者でしょ
[1584.095] daipansyokunin: ベスト8＝壇上
[1589.338] kurage88: 元をただせばウメちゃんもだしな
[1593.444] mayamikio: 浅井企画は芸人側9もらえる素晴らしい事務所やぞ
[1596.177] (S)ta3z_: あのマゴさんですら、513位に・・・
[1598.766] m_tw: ネカリはガイルがきついのが
[1605.734] (S)maryjazz: そういう世界でしょ
[1608.394] (S)obo_006: それ負けられねーｗｗ
[1610.478] MadEggMania: くそｗ
[1611.002] まっきー赤色: ｗｗｗｗ
[1613.024] soy315: ｗｗｗｗｗ
[1613.581] (S)user0511: ウメちゃんとエキシのがよくない？
[1614.208] ~MISSING_COMMENTER_INFO~: こものwww
[1614.689] k_ao_twitch: はよ！ジョビンの胸板とうめちゃんはよ！ww
[1615.717] ~MISSING_COMMENTER_INFO~: クズ思考ｗ
[1615.905] ~MISSING_COMMENTER_INFO~: ＷＷＷ
[1617.342] (S)domontyan: おいｗｗ
[1619.932] kurage88: 立ち回り
[1620.271] uhauhap: 格付け
[1620.312] m_tw: それはマジ大事
[1620.949] ____蟹____: リアルファイトでぼこってけ
[1621.184] chamomile21: 負けたら相手スポンサードｗ
[1621.385] (S)thefrozensun_: wwwwww
[1626.075] ort12345: 吉本は出演料50円の時があるから、賞金は99.9持っていかれる。
[1628.796] X2sanX2san: よしジョビン倒そう
[1629.002] (S)obo_006: やってよｗ
[1631.531] canon_203: 正直者め！！
[1631.597] daichan1200: スポンサードをかけようぜ!
[1632.567] myaaaaaa123: 逃げるのか？
