[5699.104] Aug_Leaf: こないだ座りすぎてうまく歩けなくなったvtuberおったな
[5700.677] 味噌ダレ: 何が見えてる？
[5712.722] (S)so_Fc_07: 適当に喋ってるやん
[5715.610] ko_ta_: にわかｗｗｗ
[5721.118] agitoro: 生えてるｗ 
[5724.477] zen7lk: 興味ないもんね
[5730.918] 味噌ダレ: 無理あるよ～
[5735.809] aqutan_sukikamo: 衛門だから。。。
[5742.118] ぱいおにだ: 所属してる事務所すら興味ないからね
[5747.883] Aug_Leaf: 判定あまめのあかりん
[5752.792] AnAnonymousGifter: An anonymous user gifted a Tier 1 sub to 濃いめのあかりん!  
[5756.638] (S)sayu_lul3: vodkav2Vdk
[5761.456] beeeeeefff_: 加藤純一 ZETA👈 
[5781.672] boon062424: うおw
[5782.512] pudding229: 何十年レベルじゃね？
[5787.496] 味噌ダレ: しんじからひげ取ったら何が残るんだ
[6022.415] 96nowa: うま
[6090.791] 96nowa: あ
[6105.248] atarashifuro: おもろいんだよなーvalorant
[6142.366] 勘定奉行: ﾊｲﾝ!
[6206.269] Juicewisdom: axeumSip
[6242.067] florianiuszka: ヨルが弱いのは韓国が日本嫌いだからですか
[6254.064] 勘定奉行: ヨルは強いですよ
[6267.985] 味噌ダレ: ヨルはガチ
[6287.568] florianiuszka: @勘定奉行 SaaSはだまりな
[6305.908] 勘定奉行: ヨルは弱いって…アイソ君の前で言えるの！？
[6320.169] 勘定奉行: クラッチさんガチうまい
[6402.709] atarashifuro: 実際オペより褒めて士気保つのはあり
[6443.727] 虎徹茶々丸: あ
[6463.241] saiakureagve: ぼっさん 
[6468.585] ssssssssszx: ばか
[6488.776] 96nowa: あ
[6492.644] nonta963: めっさんリコン？
[6504.843] (S)so_Fc_07: あっ
[6552.729] seima01: 頑張って！
[6696.896] おいぴー: 5ポイント差になったからあかりが歯茎でちゃう
[6719.365] takumiti_jpn: ｱｻﾋｨ！！スーパードﾗｧｧｧｨ🍺💥
[6746.432] mevius3711: ｗｗｗｗｗｗｗ
[6765.776] ジヴァ: そろそろあかりんの勝ち確タイムさ
[6844.101] 96nowa: つよ
[6845.941] sutaria_: え？
[6864.515] らむぽっぷ: やるねー
[6870.480] sannzui: 仕上がってない？
[6881.624] kyo_1234: 走り打ち一発？！
[6885.623] nonta963: 流石ですあかりんさん
[6921.009] zihamu: vodkav2Toilet
[6933.773] ES_BOON: いまのうま
[6950.499] tokagesangg: ｗｗｗｗｗ
[6974.879] Aug_Leaf: www
[7010.144] aiai_01: !sens
[7010.248] (M)Nightbot: Valo: dpi800, 0.25 // Apex pad: 4-1 linear, no deadzone // Apex mouse: dpi800, 1.26
[7030.334] 96nowa: ヘッドハンターつよ
[7062.566] manydai: こーれまずくないですか？
[7140.345] ゆやーーん: アウトローで抜かれる未来見えます
[7194.172] 96nowa: 抜かれたわ
[7197.832] ゆやーーん: あw
[7271.203] (S)keita0812: a
[7271.703] 96nowa: ！？
[7297.723] boon062424: かちう
[7309.296] tmoil677: これって………
[7340.113] 96nowa: 走りうちスティンガーw
[7351.478] ただのともや: ww
[7352.786] psyduck_cu: ｗｗｗｗｗ
[7423.779] katamaa0000: ま、まずい
[7535.841] キューブってる: vodkav2GG
[7536.837] 96nowa: ｇｇ
[7538.445] ただのともや: vodkav2GG
[7544.996] ななめめ: vodkav2GG
[7552.421] らむぽっぷ: vodkav2GG
[7649.064] あにいぬ: 俺もよくなるなー
[7679.157] こぺん斉藤: 7連敗してます。メンタルやられました。
[7713.191] Hemingwayyo: Gさっき部屋に出たわ
[7715.873] mozunya: 焼肉
[7735.445] raatyan: ブラキディオスカラーが一番いい
[7767.191] しょうゆとんこつ: ？
[7797.152] (S)激ローメタモン: zerost7Doyaa
[7841.948] chrono255: ｗｗｗｗｗ
[7845.060] mozunya: ｗｗｗｗｗ
[7850.939] ただのともや: www
[7893.236] atarashifuro: 何の話やねんwwww
[7913.368] キューブってる: ｗｗｗｗ
[7925.395] 虎徹茶々丸: うん、こ もる
[7978.820] キューブってる: へー
[8014.061] Juicewisdom: axeumSip
[8137.619] atarashifuro: 100T本当好きなチームだからうれしい
[8299.108] (S)asbety7: asbety7 subscribed with Prime. They've subscribed for 5 months! こんばんわに
[8572.406] しょうゆとんこつ: ないす
[8574.500] (S)homuhomuqb: vodkav2Good
[8574.942] 96nowa: うっまああああ
[8575.827] gumic: うっま
[8576.276] キューブってる: ナイス
[8591.651] ねむいいいいいいいいい: !sens
[8591.761] (M)Nightbot: Valo: dpi800, 0.25 // Apex pad: 4-1 linear, no deadzone // Apex mouse: dpi800, 1.26
[8592.366] (S)suuute: vdkvdkvdk
[8593.773] アムロルイ: vodkav2Good
[8596.499] mew3v: これはリドル
[8842.976] ぱすにゃん: here we go
[8904.434] HotDogMonsterZ: !rank]
[8910.001] HotDogMonsterZ: !rank
[8910.095] (M)Nightbot: Apex: Gold4 // Valo: Diamond2
[8955.385] Nasi_1: !mouse
[8955.579] (M)Nightbot: G PRO X SUPERLIGHT 2
[9021.495] 96nowa: 逃走中
[9034.735] 月島のもんじゃ焼き: !sens
[9034.827] (M)Nightbot: Valo: dpi800, 0.25 // Apex pad: 4-1 linear, no deadzone // Apex mouse: dpi800, 1.26
[9051.767] 立派なマシュマロ: www
[9055.127] ただのともや: ww
[9057.073] 4うる: wwww
[9067.528] キューブってる: 馬鹿だね～
[9117.659] yosuke131259: わんちゃん
[9265.517] らむぽっぷ: ww
[9266.105] キューブってる: あ
[9278.694] 96nowa: ｗｗｗｗ
[9325.126] キューブってる: 跳躍力えぐいｗ
[9397.107] gumic: ないす
[9404.496] hyu_su: めとつよすんぎー
[9404.679] 96nowa: ないす
[9423.605] theodoro0826: !rank
[9423.775] (M)Nightbot: Apex: Gold4 // Valo: Diamond2
[9632.313] (S)so_Fc_07: オーメンかなり強気
[9732.648] alfredo_the_meat_boy___: uniteddjKuh
[9740.809] alfredo_the_meat_boy___: こんぼどしゃ
[9790.591] 96nowa: ｗｗｗｗｗｗｗ
[9797.876] ただのともや: www
[9812.932] Juicewisdom: axeumSip
[9901.330] 96nowa: 金が一生ない
[9901.377] (S)arumon_JP: vodkav2Eguui
[9996.775] (S)arumon_JP: 大沼バトル
[9999.529] 96nowa: ナイスリフティ
[10081.909] ただのともや: ｶﾁｶｸ
[10140.980] キューブってる: かちかく
[10167.368] おもてくん: おもてくん subscribed at Tier 1. They've subscribed for 12 months, currently on a 3 month streak! 
[10262.130] 96nowa: つよ
[10416.383] sayoung66: 敵のボム拾おうとしたボドカ思い出す
[10419.526] (S)foxy27999: ？？？「あれ？ボム取れへんのやけど」に近いものを感じる
[10532.418] ただのともや: vodkav2GG
[10537.614] 96nowa: gg
[10552.127] (S)foxy27999: vodkav2GG
[10561.495] Aug_Leaf: ちゃんと芋が相手背負ってたな
[10566.253] sayoung66: キャ、バ
[10866.148] (S)so_Fc_07: 音割れぶっさん
[10894.583] Aug_Leaf: ん
[10914.892] キューブってる: ３人まとめて４んだｗｗｗｗｗ
[11009.581] シンラくん: vodkav2Riddlesmile
[11052.187] 96nowa: era
[11053.555] キューブってる: (ヾﾉ･∀･`)ﾑﾘﾑﾘ
[11057.557] (S)foxy27999: 惜しかった
