[773.530] みょうぎ: 楽しみにしてます！
[775.257] natsume1313: セビ滅できる人？
[775.540] ~MISSING_COMMENTER_INFO~: ウメは裏口で東大入れる
[778.110] rondarchia: ｗ
[780.009] (S)margareta1111: ｗｗｗ
[786.174] (S)ポンポン: 楽しみ
[787.719] ぼぜ: すーぐセビ滅
[789.139] (S)higashimurayama: ウメ漫画も角川絡みよね？
[793.836] ~MISSING_COMMENTER_INFO~: セビ滅なんてできるわけねーだろ！
[795.880] Captain_TheRealOne: Heyy Daigo! I hope all is well
[807.235] kiitank: ノールック成功は流石すぎる
[812.099] prisira: 見ずにクリアしたｗｗｗ
[813.148] missilepants: ときど本のタイトルちょっと臭くないっすかね？
[816.389] 壱万円札: ベテランの方なのかな
[821.380] (S)degajun: ぬきさんとかゲストみてみたいなー
[823.960] prototypeie: 見るまでもなかったか
[825.585] ranrannbi: 運よくクリアしたよ
[828.322] ぼぜ: 草
[835.551] ~MISSING_COMMENTER_INFO~: なんだこの面ぴたごらすいっちだな
[835.586] ilm0806: 梅ちゃんの方もいうて、数年前でしょ。いい年だろうな
[841.031] (S)lunasolnars: どんな流れでゲスト出演の話になったの？
[841.281] 157655: あっ
[841.370] Captain_TheRealOne: flipper 
[860.421] lapistaxx: 分からず？
[866.779] Aatyu: umeWhat
[867.362] tatsu0000: え？
[871.235] pinio1022: え？
[873.150] ilm0806: ゼルダ、こういうのが多そうだよな
[875.257] かげでん: 1日ひとつ～もノウハウ本だね。
[879.707] pinio1022: コロコロポトン？
[880.554] oden_shin: コメにうつつ抜かしてるから～
[882.411] ranrannbi: そうかなら
[882.471] prisira: 見ずにクリアしたからしてないと思うでｗ
[882.845] (S)triton11519: パズル要素強めだな
[882.982] rondarchia: さっきほんと偶然玉乗ったんで
[883.880] おじキッズ兄: 言うほど考えるか？
[885.495] prototypeie: wwww
[895.408] ranrannbi: さっき偶然できたからな
[897.745] (S)lunasolnars: ここはスムーズに行く方じゃないか
[898.642] (S)blackcoffee0821: 疑う
[899.820] ぼぜ: 物理エンジンってものに馴染みがなさそう
[900.821] lapistaxx: さすウメ
[908.641] kiitank: とりあえず爆破
[930.363] lapistaxx: w
[944.876] ranrannbi: これモリゲーム？
[948.365] (S)lunasolnars: 原人のトロッコの方が100倍むずい
[955.636] prisira: 難しく考えなくていいやで
[965.815] oden_shin: 学習するために最初からやり直したほうが良さそう
[970.744] Captain_TheRealOne: flipper bro
[981.646] (S)margareta1111: すごい位置にボール止まってるなｗ
[987.138] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[997.934] 多抜深夜: ヒント なにもいらない
[1005.500] orange016: わっかんねー
[1009.523] せいちゃん4: ww
[1014.044] dobakon: ここはさすがにゴリ押し無理や
[1016.902] ぼぜ: めちゃくちゃ難しく考えてる
[1017.369] rondarchia: さっきホントに偶然突破したんで…
[1020.637] saiontea: saiontea subscribed with Twitch Prime. They've subscribed for 11 months! 
[1020.773] (M)Moobot: @SAIONTEAさん、サブスク登録11ヶ月目！
[1025.483] ぐらぁ: 毎回ちゃんと悩むから見がいがある
[1045.037] ranrannbi: 悩んでるの見るのおもろい
[1051.702] せいちゃん4: 1番ゼルダ楽しめてるやつやん！
[1052.351] prototypeie: 味わっていけ
[1053.311] 多抜深夜: 最初のやり方を工夫しましょう
[1059.420] momochan6: ゼルダきてたあ
[1077.672] kurumayulv38: kurumayulv38 subscribed with Twitch Prime. They've subscribed for 16 months! 
[1077.813] (M)Moobot: @KURUMAYULV38 with the 16 months re-sub! 
[1082.883] (S)iheuko4: iheuko4 subscribed with Twitch Prime. They've subscribed for 4 months! 
[1082.976] (M)Moobot: Thanks for subbing for 4 months, @IHEUKO4 
[1086.321] おじキッズ兄: ウメちゃんどうして
[1089.114] (S)kurenai976: kurenai976 subscribed at Tier 1. They've subscribed for 10 months! 
[1089.198] (M)Moobot: Thanks for subbing for 10 months, @KURENAI976 
[1090.418] pinio1022: おれわかった！
[1090.696] ぼぜ: もう一歩の気づきが必要
[1095.885] (S)margareta1111: ウメちゃんがんばって
[1098.900] ranrannbi: がんばれー
