[8.305] (S)gogopimimi: ウメちゃん
[2026.502] rudorasosu: いて、、いて
[2028.401] (S)元気な変態おすぎ: 絶対殺すマンだ
[2035.131] (S)pem97476: ｽﾞｶﾞｯ!
[2037.212] (S)ポンポン: かりーーーーーん
[2039.237] (S)ケンザキ_ザック: 勇者武器で追撃発生？
[2044.165] tamaow: 泣くまで殴るのをやめない人
[2047.557] (S)toshioj: アマルダ・・・どうして・・・
[2052.254] (S)zakkn: はわわー
[2052.614] rudorasosu: いて、、
[2057.224] kohsalasolanii: いてーよー？
[2070.709] Ceciltaisa: いた・・・
[2077.613] Ceciltaisa: けっけっけ
[2078.123] (S)zakkn: けっけっけ
[2079.847] (S)toshioj: むしろ運悪いねｗ
[2081.279] (S)pem97476: けっけっけｗ
[2087.278] ジンクス: 現実にリセットはない！
[2089.048] (S)nagilay1: アマルダ死んだら相当運悪い
[2090.555] fepro0: アマルダは一定ターン生存保障されてた気がする
[2092.894] Ceciltaisa: しのいだｗ
[2093.627] (S)pem97476: のこったー
[2095.085] ryuka1983: 無敵系？
[2095.417] tamaow: のこったのこった
[2095.794] rudorasosu: いて、、
[2102.272] (S)zakkn: つよーいｗ
[2103.104] ~MISSING_COMMENTER_INFO~: 無敵モードあるのか
[2103.250] rudorasosu: すげぇｗ
[2107.462] friedebi: 土俵際の魔術師
[2112.554] (S)ポンポン: のこったのこった
[2123.481] ~MISSING_COMMENTER_INFO~: 民家どうなった？
[2127.283] (S)zakkn: ！
[2127.787] rudorasosu: 全盛期の稀勢の里っぷりのしぶとさｗ
[2130.179] (S)apapa1031: 電話
[2130.259] 先日助けてもらった鶴です: ウメちゃん？！！
[2130.573] (S)pem97476: w
[2132.818] tamaow: がい～ん
[2134.197] (S)twtchid: カーン
[2134.934] ForwardLife: ramen is burning
[2137.622] ジンクス: 祝電！
[2138.693] (S)poposuke: ｶｰﾝ
[2141.188] silca12: 一回リセットして誰か担いで中央まで連れて行った方が速いｗ
[2141.555] (S)varoshi: これ、お手伝いさんだな
[2142.558] (S)avmajvm: 今日もいい音してるねえ
[2143.844] ForwardLife: SAVED 
[2161.912] (S)pikachupikac: what anime you wont me to stream boys ??? 
[2171.399] ryuka1983: まさかの回復せず
[2175.846] (S)クズ220: 育てたいやつ中央に運搬だな
[2182.132] ForwardLife: Howls Moving castle @pikachupikac
[2190.221] rudorasosu: かりん いてぇよしそう
[2221.704] (S)momomo00123: 運搬能力有効活用せなな
[2223.679] (S)pikachupikac: @ForwardLife ok , sub to me now
[2225.194] kohsalasolanii: あらら
[2230.128] (S)poposuke: ｶｶｰﾝ
[2230.968] showsbsp: きーん！
[2234.425] herumesuwind: ｶﾞﾀﾝ
[2236.942] (S)avmajvm: 2ｶｰﾝ
[2237.244] ForwardLife: you first @pikachupikac
[2238.937] andyimsc: ??
[2244.982] (S)komine58: カンタンがなんだって？
[2248.206] herumesuwind: 物は大切に
[2249.762] (S)pikachupikac: i am going to start streaming afther daigo stream
[2252.878] balthazar000: 運搬覚える面かな？
[2260.139] ドア裏最高: HyperX「こわれりゅうう！」
[2262.568] gyahhaa: セイラムマップで飛行運搬を学んだはずなのに・・・
[2264.119] ForwardLife: if you stream it you will get banned
[2272.936] balthazar000: 耐久テストだから、、、
[2278.580] Ceciltaisa: ウメちゃん何食ってんの
[2289.041] (S)~MISSING_COMMENTER_INFO~: サブスク用動画がいつくるとか発表ってありました？
[2292.245] andyimsc: is it the ending?
[2292.716] (S)pikachupikac: @ForwardLife i dont care
[2302.144] friedebi: 忙しいな
[2305.725] (S)maemaemaema: はーい
[2309.428] rudorasosu: 猫きた？
[2312.104] (S)avmajvm: うめちゃんち来客？多すぎない？
[2313.226] androidand: ウメきた？
[2313.718] (S)タイラーダーデン: サブスク動画は今日か明日かもって言ってた
[2315.655] tamaow: 攻略を気付くまでの耐久テスト
