[1076.674] ゴン攻め: お
[1080.455] (S)ponponguripon: w
[1081.071] (S)nakao1976: おや
[1083.677] (S)hal0087: どこだろう
[1085.219] lobelia_c: ん
[1088.354] sh1zuku716: ん
[1088.535] (S)ましゅダヨ: それ真理な気がする
[1088.688] (S)yogyogsothoth: 2022年の名古屋の話した？
[1089.502] tw_numa: あ''...
[1090.107] クラクラ777: まままま
[1091.806] chin_56_: ｷﾋﾞｼｰｯ
[1092.249] kahaku91: わかる～
[1096.396] 風水ライダー: 2024は更にチーム増える
[1097.917] blackuma: リジェクト,CR・・勝てるのか？
[1104.804] masamumune: 昔のレアルマドリー、巨人みたいなチームもあってもいいけどね
[1105.011] bec118_japan: 賭けがあれば穴狙いで価値出るけどね
[1112.449] tw_numa: 弱小だっていいじゃないか…ファンがいれば
[1121.256] ~MISSING_COMMENTER_INFO~: daigo hadoken!!!
[1126.314] (S)monpiipop: sflリーグのチームって、リーダーが監督なのかな
[1126.441] west_dogs: グッパチのことかな
[1136.879] ヤサイマシアブラカタマリ: RJ,CRが助っ人外国人枠とか連れてきたらおもろそう
[1140.112] kahaku91: ずっと低空飛行は見てる方もきつい
[1141.801] niemalsaufgeben: 個人で練習し続ける人もいるよね
[1149.904] tomohirom: 入れ替え戦があるくらいチーム数が増えると、メンバー集めもシビアになっていくんだろうけどね
[1170.775] デコ_: スタンドプレーの結果生じるチームプレイなだけやね
[1171.935] sndkzfm1: リジェクト、CRが参加してメンバーも流動化するからわからんでー
[1176.888] yamatotakeranai: 要は、身内のリーグに見えてしまうってことだよね
[1178.572] cielcloudy248: 個人戦、って言葉が腑に落ちた
[1184.068] maddy2623: KSKと三太郎さんは一億ノリうちしてる。
[1196.925] クラクラ777: いわんとすることはわかる
[1201.278] ざきたけ: そうですね
[1203.808] tw_numa: 見る側としてはいろんな人、いろんなキャラがいて欲しいと思うなー
[1207.612] chin_56_: こうへい感
[1209.153] PRETTYF0X: ストーム久保かわいそうすぎるやんって
[1209.481] pandasan_power: でもチームを固定気味にしていくことでそのチームのファンってのはできるからねえ
[1233.685] bec118_japan: 広告効果も下がってると
[1233.948] prisira: シノビとかに他の人入ってもなんで？とかなるしなぁ
[1238.486] ariaria0: なるほどね
[1238.626] tomohirom: 元々、不公平なチーム戦をしているのだからしょうがない
[1240.243] BabyBaby7313: 納得だ
[1246.059] (S)moppu_gake: 細分化して考えてる
[1258.924] rakuari: Mリーグがいい例ですね
[1260.466] sh1zuku716: 企業が決めてるんでしょ？何がダメなん？
[1264.963] johndoe6523rp: あれ面白かった
[1270.625] velonasaul: ドラ枠1ほしいなあ
[1272.511] 無心に: パイナポーがいた頃のやり方、好き
[1273.157] ariaria0: まーでもそれだとチームに愛着わかないんだよね
[1273.450] vanhoten: 一番最初のプレイヤーがリーダーになった時が見てる分には一番おもろかったなぁ
[1275.397] maddy2623: ドラフト面白いしね
[1276.118] curryko: 代表決めて何人かドラフトとかにして欲しいわ
[1276.384] sndkzfm1: ハメコがクジ引くとまずい
[1276.781] takeiteasy55: 不確定なものは企業が望まないから難しいね
[1279.349] terry_man630: 選ばれたのにリザーブばかりの選手がいるってのはいつもどうかと思ってる
[1279.588] (S)moppu_gake: ドラフト制はなんで終わったんだろ
[1280.783] 風水ライダー: チームの強さの均一化か
[1282.380] peperon17: チームとか選手によって待遇も違うだろうし難しいね
[1283.426] 闘劇のアルベルト: ドラフト面白かったね
[1286.824] BabyBaby7313: ドラフト制はシンプルおもろかった
[1287.032] pandasan_power: どっちもどっちで面白みはある
[1289.215] nikkou18: でも企業主体で参加してるのにわざわざ自分たちで蹴訳してる選手が自分たちのチームで出れないほうがおかしいって感じるやね
[1294.240] sei_6: キャラ差あるのに公平は無理だと思う
[1300.104] tabibitox: 魚群やシノビはチームとして出したいだろうしな
[1301.845] cernilton: でもナリとか入っちゃうのは寒かったなぁ
[1302.457] サラバア: 接戦になるか独走になるかなんて誰にも読めない
[1302.567] t_orange1000: チームを応援するってことが生まれるから別に今のままでいい気がする
[1305.648] tosshy_type89: ドラフトやってもどうせリザーブだしな
[1307.410] jigojigo: プロ野球も戦力均衡を頑張ってるけど中日みたいなチームもある
[1308.583] iguchiill: ドラフトも含めてエンタメとして面白かったね
[1309.203] シミズム: そのドラフトに企業の意思が入ることもありそう
[1317.982] ~MISSING_COMMENTER_INFO~: favろーと
[1318.290] pandasan_power: 格ゲーのチーム作ろうって企業は今の方が増えそうだよね
[1318.805] prisira: ドラフトして一生でなかったなり君の話する？
[1321.543] uguisupan1192: プロモーションから考えりと地域性だしたいんじゃない？
[1323.632] sndkzfm1: プロチーム運営側からすればチーム単位の方がいいよ
[1325.091] curryko: 間違いないね
[1325.760] kasutadonshirokuma: ドラフト見るのも面白かったからな
[1327.092] blackuma: いうてそこまで考えてないと思うわ。5時代やが格ゲーでBANルール作ったし
[1327.141] niemalsaufgeben: サッカーや野球でもプロは実力以外のとこも加味されてるのがわかる
[1327.682] sh1zuku716: 野球なんてそれこそ公平感ないやん・・
[1328.799] kaban1192: ネモブラック
[1330.566] tw_numa: 面白いですわ
[1331.255] maddy2623: それは間違いない
[1331.541] takeiteasy55: 視聴者としてはドラフトの方が面白い
[1332.157] hikky722: もうビジネスになったもんね
[1334.460] もきち555: ナリくんどうして
[1334.498] クラクラ777: ビジネスだねぇ
[1336.376] chin_56_: ビジ
[1340.134] sndkzfm1: そもそもビジネスです
[1343.490] bushman0913: 台本でもいいからドラフトやったほうが。。。
[1343.680] gyu_nyuu_pann: せやな
[1343.926] BabyBaby7313: 面白ければ何でもいい派
[1345.040] cochi5: 興行が成功しないと続けられないからね
[1346.874] BigbossJP: ビジネスにならないとスポンサーつかん
[1348.652] iguchiill: それはそう
[1348.735] tarantarantaran: umeOredayo
[1349.421] sh1zuku716: サッカーも野球も戦力さなんてめっちゃあるじゃん
[1352.509] vanhoten: 興行としてやって欲しいのとビジネスとしたいのは大きな違いなんだよね
[1353.814] ババシャツ: 不満を抱くこと自体は悪いことじゃないし
[1353.824] west_dogs: 面白さと企業の利益は違うからね。ゲームの会社なんだから面白さより利益を優先するのは当たり前
[1356.341] dustblowers: 野球は新人に関しては公平だよ
