[108.296] suzu__0: 一緒にVCT見よう
[108.674] (S)Yukimaru__31: VCTのために早寝しとるのかと思った
[108.828] (S)ららら0913: こ
[109.013] lunaa1967: オールするの？
[109.244] あーなるどしめつけねっかぁー: とんで今北埼玉
[109.708] ラムネ味: radaoWakotu
[109.781] (S)4maten: らっだぁ赤鯖誘われた？
[110.510] shu_piiiiiii: 絶対サブスクする、いつか
[110.692] howlin_0: 5時までやってくれ
[111.675] (S)kinari_iro_: radaoWakotu
[111.929] (S)haruharu_a: radaoWakotu
[112.524] kashiwa_ppz: わこらだ
[112.663] (S)わるた: わこらだ
[112.742] ぽちかに: やってくれてありがとう 
[113.190] saya_gon: 今アーカイブ見てた
[114.218] wantikin: わこらだ
[114.349] (S)にゃんねね: わこらだ 
[114.395] (S)そふぃ3: これ何配信？
[114.559] miyukomemaru: わこらだ
[114.674] shuka0926: VCTすごかったな！
[115.103] Maron_1129: 鼻詰まってる？？？
[115.673] 夏目信乃: radaoWakotu
[115.759] yamaaaaaa0616: ありがとう
[116.549] akiaki0819: VCTまで雑談しろ
[116.555] な_を: hasu2hasu subscribed with Prime. They've subscribed for 19 months! 
[116.831] sapichaaan: sapichaaan subscribed with Prime. They've subscribed for 4 months, currently on a 4 month streak! 
[116.991] mihaz_ra: わこらだ
[117.670] tomomo252: radaoWakotu
[117.901] たろぬ: わこらだ
[118.046] さたさた: わこらだー
[118.509] (S)ラム0158: radaoWakotu
[118.511] y_yuzuki: わこらだ
[118.664] machiru88: わこらだ
[118.735] hino__0712: 朝までやろう
[118.955] salt_w12: radaoWakotu
[119.140] fuwaru_4128: わこらだ
[119.375] アルセレニア: ハエ飛んでるよ
[119.835] kyooooo_2525: わこらだ
[119.948] (S)izmu02: わこらだ
[119.974] 国民: わこらだ！
[119.988] 湯巾: わこらだ
[120.065] loupe_2525: わこらだ
[120.121] harurunda: 明日学校なのだがー
[120.657] popon_0218: わこらだ
[120.890] riamatui: わこらだ
[121.090] kuu0934: わこらだ
[121.110] hanadango823: わこらだ
[121.133] うーりん: わこらだーー
[121.336] (S)snow__forest: 朝まで？
[121.563] 夢現: バツ2にでもなったか？
[121.649] みあ_0709: わこらだ
[121.823] momo_6113: わこらだー
[122.017] (S)yoichimu: radaoWakotu
[122.274] santa020: わこらだー
[122.535] さつまいもおいしい: わこらだ
[122.963] pon_12345: わこらだ
[123.051] (S)mirei800__: わこらだ
[123.116] (S)ユイ_11: わこらだ
[123.209] xcrash777jp: わこらだー
[123.839] ararara2525: わこらだ
[123.892] osigatoutoinngo: わこらだー
[123.933] muutyo_io: わこらだ
[123.946] (S)hiro1106nj: わこらだ
[124.061] 葵陽: わこらだー
[124.067] loupe_2525: マイクラ？
[124.102] eruuuDayonn: V最協みてる？
[124.123] (S)にゃんねね: radaoWakotu
[124.288] yume_1103: わこらだ
[124.538] kuram10092: わこらだ
[124.539] まひつじ: わこらだ！
[124.745] huuuyooo: わこらだー
[124.759] MaSaTaRoooooo: わこらだ！
[124.774] なきち: わこらだ
[124.779] ルロア: わこらだ
[124.899] yuk_iha_d_esu: あと20分待って昨日はやらないって言ったって言って欲しかった
[124.972] pondaa2525: わこらだぁ
[124.983] (S)ほっけ1107: わこらだ
[125.081] sinkaiminato_kaisendon: わこらだ
[125.157] あのめ358: わこらだー
[125.227] liz_288: わこらだー
[125.249] hakusei11124: わこらだ
[125.470] (S)nakihai556: あー
[125.529] ぱんだぁぁぁ: あー
[125.634] imoyoukanmaru: わこらだ
[125.689] (S)そふぃ3: やる気出ねぇーってやつでしょ
[125.704] rundakedo: わこらだー
[125.723] q_a_0219: わこらだ
[125.815] pchii108: 何時に起きたんですか？？？
[125.909] yuume_rada__: わこらだ
[126.063] (S)みんてぃぁ: わこらだ
[126.095] chaku_camo: わこらだ
[126.152] kinkan_yokoseya: まじ？
[126.194] そんじゅちゃん: わこらだーん
[126.605] tubuann3: やるんかい
[126.635] nasimaru18: わこらだ
[126.758] (S)のせ太郎: radaoWakotu
[127.046] quiz1945: わこらだー
[127.280] konomi_0404: わこらだ
[127.486] (S)ankoro0825: わこらだ〜
[127.516] kurari_complex: やるんかーい
[127.579] nemu_1213: わこらだ
[127.632] rarararada: わこらだ
[127.659] zaurusu_0503: マイクラ出てないよ
[127.751] 888SHIROINU888: わこつ
[127.776] sparrow__7__: radaoWakotu
[127.872] (S)zawdard: わこらだ！
[128.110] kei7572: わこらだ
[128.115] magurodukushi: わこらだー
[128.322] 0zero029: わこらだ
[128.350] takosan1484: やっぱやっちゃったか
[128.353] (S)mikan_san: はぁ
[128.559] nn_uuu: わこらだー！
[128.610] ~MISSING_COMMENTER_INFO~: わこらだー
[128.636] moka_1311: そういう時あるよねぇ
[128.787] (S)つっきさん: akatukigame subscribed at Tier 1. They've subscribed for 2 months! わこらだ
[128.824] おいしいざっそう: わこらだ
[128.826] (S)fuu_maru: あー
[128.839] yunetyi0505: わこらだー
[128.906] dachshund0201: わこらだ
[129.025] ranwen: わこらだ
[129.073] あいくえお: わこらだ
[129.296] nanana_ka: わこらだ
[129.321] 揚げたこ焼き: わこらだ
[129.321] 夏目信乃: VCT生活してたから助かった
[129.351] (S)そふぃ3: wwwwww
[129.696] hakota00452: わこらだ
[129.791] (S)さくららて: わこらだ
[129.803] koyaryo48: わこらだ
[129.932] souta0116: わこらだー
[130.070] noragon_: わこらだー
[130.093] l7_hr: わこらだ
[130.103] (S)ほっけ1107: radaoWakotu
[130.108] デッデッデ: わこらだー
[130.260] akanetonbo: わこらだ〜
[130.298] mami_0228: わこらだ！
[130.340] ajataka66: わこらだ
[130.362] さいのめ: わこらだ
[130.588] magurodukushi: まじで？
[130.627] yu_ki_r: わこらだ〜
[130.663] urx_77: わこらだ
[130.820] (S)rosemary0920: わこらだ
[130.844] Ishio_62113125: わこらだぁ
[131.162] fafkun_1225: わこらだー！
