[28.429] huroran_: こんどぐ〜
[1196.472] unimel1x: メガネありがとう
[1225.285] あすか002: 疾空閃ないから基本上は見なくても良いと思う
[1227.897] (S)さとチャ: かじゅか～
[1239.344] alice__n_n: さすが東のクソメガネ
[1244.038] (S)さとチャ: ガチやん・・
[1252.698] (S)ハラショータロー: ハラショータロー subscribed with Prime. They've subscribed for 7 months! ひなーの勝てますように🙏
[1255.681] r18_takemaru: 西誰なんだよw
[1260.371] (S)gos0810: あんま響いてない返事…
[1266.744] (S)鉄板: 岸田
[1268.896] (S)LooseDash: go1Coco
[1275.015] atamamiru: ブルー
[1277.279] soh1375: 岸田なんだw
[1280.260] maneuver33: 投げも多いからなー
[1283.299] acis3983: 岸田
[1312.876] r18_takemaru: そうなんだw知らなんだw
[1330.195] あすか002: 弾使って飛ばせるのも良さそう
[1330.422] (S)mukubado2: こんどぐー橘さん仕上がってまっかー？
[1333.991] (S)さとチャ: 極度の緊張状態だと最後に出るのって手癖だよな～
[1340.936] shi_a__: タイミングむずいよねぇ
[1342.340] dejiru: 響いてる？
[1342.477] naryuhama: ううぃいｗｗｗｗ
[1342.830] unimel1x: ういいいいww
[1342.895] 日向りょう: ｗｗｗ
[1343.264] ゆきち08: うぃ～ｗ
[1343.904] こすもどりっぷ: なんやねんw
[1344.986] Rlain: ういい～～ｗｗ
[1345.594] shi_a__: ういぃぃぃｗｗｗ
[1346.406] mix_camp: ういぃー
[1346.943] にゃんたー_121: ういー
[1347.191] junktaro: 歌うか
[1348.892] (S)mukubado2: 緊張ううぃーw
[1350.117] ろくりす: うぃ〜
[1350.339] maneuver33: 大会はインパクトや
[1352.755] varomu: 緊張してます？
[1355.260] soh1375: おじさんすぎるww
[1358.807] (S)yumaaan_21: インパクトうとう
[1367.281] めめせー: 本配信の解説で出るのかと思ったらどぐにゃんでないんだ
[1369.320] naryuhama: ありっすねえ
[1375.464] bonjiri7: ボタン押せないとね
[1390.267] (S)LooseDash: 今回は生駒コーチデビルです
[1394.285] buretan555: 日向坂のとき緊張してたもんね
[1395.757] スタフム: 解説はハイタニさんよ
[1399.518] (S)アベ0206: 緊張してるときにどうしようってなるよりはかなりマシ
[1401.210] hannie_jersey: 原人狩りはやめた？
[1409.990] shi_a__: 緊張って聞くとハイタニさんとどぐらさんのやつ思い出してしまうな
[1413.444] (S)iwap0n: 本番は強アシスト決めるとこ見たい
[1417.114] あすか002: 解説はハイタニと立川だっけ
[1426.326] (S)さとチャ: 緑が見えたら黄色いアッパー
[1427.391] meslon1203: 解説は立川もいるんだったかな
[1437.979] (S)鉄板: ﾊｲ…
[1439.763] あすか002: もう時間ないね
[1449.360] tkgnotamago: あと一時間もないな
[1451.617] (S)madaraomi: 配信開始16時じゃなかった？
[1453.018] unimel1x: ラッシュにアッパー意識して食らっちゃう起こりそうで怖いな
[1457.641] risa_rice: 0回戦敗退はやめてあげてね
[1471.955] (S)さとチャ: 改めて大会のマリーザやばそうやね
[1474.206] junktaro: メガネメモ
[1487.745] Jam10505: 旅行たのしかった？
[1495.295] katanantoka: マリーザは思考整理してる間に溶ける
[1504.716] unimel1x: アカリーザはどんな立ち回りなんだろ
[1512.011] あすか002: 割りとあかりんのマリーザ特殊だと思う
[1516.484] nahasaka: 投げめっちゃ擦られそう
[1526.529] risa_rice: モダンマリーザは暴力だからな
[1529.878] にゃんたー_121: ｿｺﾀﾞｧ!
[1535.732] tkgnotamago: グラディウス最強ーーーーっ！
[1535.990] boboneiro: 力こそパワーって訳
[1541.931] unimel1x: ｿｺｫ!!
[1543.658] あすか002: ファランクスも飛んで来るからな
[1556.584] (S)LooseDash: 対マリーザってなるとわかりやすいのはとりあえず飛びなんかな
[1565.786] shi_a__: あたるんだ！？知らんかった
[1608.261] unimel1x: TCは当たったらいいなくらいでええか
[1608.466] (S)さとチャ: 忘れようｗ
[1622.474] katanantoka: なんにしても足元攻撃多めやね
[1624.256] unimel1x: 前ステ微歩きムズいからキルステにしたのか
[1624.495] shi_a__: なかったことになったｗ
[1625.998] maneuver33: 垂直いいねー
[1659.093] ry0444: マリーザでどんな対空して来るか
[1668.881] katanantoka: どっちも中で牽制できるのがでかい
[1675.441] (S)やぎう氏: 最初はだいたいグラ対空やろなぁ
[1679.159] (S)godog02: 草
[1679.558] ゆきち08: ｗｗｗ
[1680.120] shi_a__: ｗｗｗ
[1681.558] zetuei0: www
[1681.770] nolen9210: www
[1682.378] unimel1x: 悪童マリーザ
[1686.573] にゃんたー_121: www
[1692.988] こすもどりっぷ: 殴り合いはキツイからねぇ
[1693.025] (S)鉄板: マリーザちゃんとは遊んじゃいけません！
[1695.909] tkgnotamago: まぁ付き合って近距離やったら間違いなく死ぬし......
[1699.123] risa_rice: マリーザちゃんとは遊んじゃダメ
[1704.279] ogurincap: 殴り合ったら絶対負けるからねｗ
[1707.764] あすか002: ルークの方が多分100倍きついと思う
[1709.416] にゃんたー_121: ｴｰ!
[1717.163] risa_rice: 火力差がえぐいのよな
[1720.972] (S)さとチャ: 割と得意な間合いがエドと一緒よね
[1721.314] kurokokuroi: 人読みだな
[1724.553] ポケットをふくらませて: ザ、エンド
[1731.180] maneuver33: ルークやな
[1733.818] 3hashibirokou: ﾊｲﾝ…
[1734.211] atamamiru: ルークかぁ
[1737.407] katanantoka: うるかルークが飛びぬけてるわね
[1737.670] juno0220: ルークさんはねえ
[1737.741] seven_bluewave: ザ・エンドってね
[1740.235] (S)napo575: 最強キャラがなー
[1741.960] tkgnotamago: ルークはさぁ、、
[1742.427] こすもどりっぷ: 主人公だから強いんだわ
[1744.671] kurokokuroi: ルークはしんどいわな
[1745.259] (S)musi_namazu: ルークはきついわよねえ
[1746.019] あすか002: ルークは本当にキャラ差ありすぎる
[1749.212] (S)madaraomi: うおおおお
[1751.754] dejiru: ほ～～ん
[1756.092] seven_bluewave: 最強キャラっす
[1759.693] (S)鉄板: うるかルークド厨房すぎる
[1759.805] ぎんがさん: うおおおおお
[1760.570] ogurincap: ルークというかモダンルークは本当に対策ムズイ
[1763.982] tkgnotamago: うおおおおおおお！
[1765.285] unimel1x: 教えてもらったぁ！
[1766.336] にゃんたー_121: うおおおおおおおお
[1768.564] (S)驚天動地風林火山パフェ: 驚天動地風林火山パフェ subscribed with Prime. 
[1771.893] (S)madaraomi: 重ね
[1772.775] あすか002: モダンなのが強いんだよな
[1772.911] junktaro: やる気あるーの
[1774.807] セクシーラッコ: うおおおお
[1776.039] unimel1x: うるーかモークなのか
[1776.192] めめせー: うるーく
[1779.614] (S)shfb915: 昨日ラッシュ中段にすごいやられてたもんなｗ
[1780.735] sawatari11: うるかのコピー忍者きたからね
[1781.554] (S)napo575: うるかコピー面白かった
[1785.525] ry0444: うるかさん上手くなりすぎてたね
[1786.697] shi_a__: とれたｗ
[1788.664] (S)all_hd: とれたww
[1788.816] saifar99: とれちゃったかぁ
[1789.166] にゃんたー_121: 取れた了解
[1790.940] taks1911: たくさんのうるーかさんと対戦しました
[1793.371] reirei205: ササさん仕込みのルーク
[1793.656] konagaki: うるーかを名乗る者たちと戦いすぎた
[1797.621] こすもどりっぷ: 義指じゃけぇ
[1798.563] (S)やぎう氏: う、るか
[1800.818] katanantoka: ラッシュ中段の申し子
[1804.351] buretan555: 玉見てからSA１やってきたからなぁ
[1805.165] あすか002: ラッシュ中パンもするよ確か
[1806.757] saifar99: 予備あるんかなぁ
[1817.274] chef_oizumi: はい
[1817.733] 変なコメ: はい
[1819.737] shoooookgo: そう
[1824.162] maneuver33: 打てるねー
[1825.269] junktaro: はい
[1828.230] ry0444: コマンド出来てたね
[1829.209] seven_bluewave: 大ナックルコマンドで打ってる
[1831.582] (S)LooseDash: エドの4F短すぎて
[1833.639] tkgnotamago: つよ
[1841.782] unimel1x: 小技さ〜
[1843.554] atamamiru: ほんま
[1854.941] dejiru: ｸﾞｯｷｭｯ
[1879.043] あすか002: 難しくね？
[1882.254] (S)さとチャ: ｗｗｗ
[1883.378] maneuver33: 対空出るからバッタはできない
[1884.025] (S)うちま_: とっさに垂直も大変そうだなあ
[1885.095] naryuhama: やめろやー
