[772.453] kasyu_940: てんたの声戻してもいいかも
[777.680] すべすまんがに: 声はもとのままでいいよ
[788.479] maharaja_osu: その合わせうま
[809.854] にゃんキャッツ: lazvellNt
[810.077] (S)もあ_모아: w
[811.484] gorilla515adgjmptw: 声さっきので良かった
[812.421] Neko_bag: ｗｗ
[812.535] takuma153: しゃーないな
[812.979] mpmpmqmpmp: www
[812.999] かん太: www
[813.398] yukimu3939: www
[814.239] (S)_あしゃ: ｗｗｗ
[814.615] sora_eieio: www
[814.636] maru_3366: スティンガーつええ
[814.808] takanashi_rui: ww
[815.101] betanon: wwwww
[815.319] kasyu_940: ごめんて
[817.338] ギムネマ茶: ほんとにね、うるわいよね
[818.263] かん太: どれでもいいよ
[820.618] _えびふらい_: wwwww
[821.967] どこチキ: themus62ToadHype
[830.954] にゃんキャッツ: オコwww
[832.349] maharaja_osu: どれでもいい
[832.971] しゅーまいい: もう無音でやれ
[833.337] すのは_: これでいい
[834.756] kiyo_109: www
[836.399] ダダスベリ社長: 今のでいいよ
[837.028] delendpg: もういいよ
[839.951] karaage_96: 今いい感じです
[840.240] _えびふらい_: いいよー
[840.453] (S)もあ_모아: いいよー
[841.750] (S)_あしゃ: いいよ
[842.842] 5nz0o: もう全部音なくていいよ
[843.791] takanashi_rui: いい
[844.314] すべすまんがに: いいよ
[847.580] かん太: www
[849.568] yukimu3939: 最高だよ
[850.005] kasyu_940: ｗ
[850.719] すのは_: wwwww
[851.000] にゃんキャッツ: ww
[853.584] かん太: depowZETAWIN1
[863.635] モブエフ: キャップ予約しました！🧢
[866.186] suoro75: DEP頼む
[870.593] 1400dpi_riki02: Bしか行かないやん
[881.899] かん太: つよ
[888.084] にゃんキャッツ: あ
[893.621] suoro75: NT
[895.030] Neko_bag: おっしい
[896.347] ちえぴ: ちえぴ subscribed at Tier 1. They've subscribed for 23 months, currently on a 23 month streak! てんくん、はろー！今日もZETAWIN
[898.978] にゃんキャッツ: lazvellNt
[900.809] maharaja_osu: ないえこ
[902.021] ろーーさん___: 武器差か
[904.568] まりもくん: テンさんのヘアバンド買おうと思うんだけど、何色がおすすめ
[909.453] かん太: ないエコ
[911.386] ツヤムラサキハナムグリ: でも常にわんちゃんあるこの感じいいぞ
[914.716] kai8dy: Gekko vs Gekko
[923.772] ギムネマ茶: かるぺ欲しいときにちゃんとキルするのえらい
[933.421] yukimu3939: カルぺ強いねぇ
[950.029] かん太: てんたはオレンジが良く似合うね
[950.515] ただのぶいすぽ好き: 白玉ヘアバンド買った？
[950.951] (S)ココ茶_26: ヘアバンドまじかわいい
[954.673] kasyu_940: どっちも買えばええ
[955.781] ikona1017: 俺は黒買った 服はどっちも
[957.965] ギムネマ茶: 似合うな
[961.661] にゃんキャッツ: 似合うね 
[961.815] wolf_vltt: レイキャビックテンエディション
[969.488] TsHsAs_: TsHsAs_ subscribed with Prime. They've subscribed for 24 months, currently on a 11 month streak! 
[973.170] (S)もあ_모아: オレンジの方がてんた感あるね
[973.393] wolf_vltt: テンさんオレンジ似合うよね
[974.471] まりもくん: オレンジいいなぁ
[978.678] Sfiya_Ab: きたよお
[981.298] きょむろーら: オレンジかわいい
[983.036] にゃんキャッツ: 邪魔なんか？ww
[984.286] nyankoropi: ジュニオとカルラオどういう会話してんだろ
[987.133] かん太: www
[992.115] かん太: rionBanibani
[1002.104] ギムネマ茶: tennnBiblethump
[1005.449] まりもくん: tenさんのヘアバンドつけたら強くなれる？
[1008.636] Sfiya_Ab: てんた声小さいかも
[1012.933] yukimu3939: lazさんトムだ
[1012.994] gjmmd: ラズさんファントム！
[1020.391] わやみんぐ: てんたグッズ欲しくなってきた…
[1021.688] かいり채널: ちょLazさんがトム買ってる！！！
[1027.412] かいり채널: え！？
[1030.247] kei_vlz113: 最初のオレンジキャップ黒Tもかわいかった！
[1031.057] ギムネマ茶: ヴァイパーウルトのときはトム買ってるよ
[1034.451] かん太: ウルト使ったからなのかな
[1035.198] ばってんまる_: これ付けたらエイム良くなって彼女できて親の病気治りました
[1043.703] kasyu_940: #PR
[1047.231] ギムネマ茶: #PR
[1048.481] kasyu_940: あ
[1049.575] 社員ますかっっと: wwwww
