[698.812] micaTM: おつかれさまでした！
[698.976] コタ: お疲れ様でした！
[698.985] cook_5921: topang1Bye
[699.057] right_8: お疲れ様でした！
[699.246] kaikoman: 乙
[699.551] oyukakete3min: お疲れさまー
[699.718] matumatu777: お疲れ様でしたー
[699.951] maddy2623: umeCatHope
[700.232] Komandz: 素敵なオフシーズンだ
[700.557] sam21111: おつうう
[701.631] うぇいる: お疲れ～
[703.650] もきち555: おつおつー
[705.543] sou87: おｔです
[706.930] akinikuihuku: おつかれ
[708.101] tamatama213: おつー
[708.741] m_k_style: umeStretch
[712.277] (S)binbougachiyaba: 明日も頑張って
[712.420] 失地王: だんごさんもお星さまに・・・
[712.487] oleo0227: おつおつ！、配信終わってイライラしてきたな
[720.794] トネ: おわった、温泉はバスでね。
