[556.443] degajun: リュウは？
[557.020] だいこん_: ﾔｯﾀｱｱｱｱｱｱｱｱｱ
[557.148] nanmi__: ちょっとで済むのかなぁ
[557.573] oinari6: 今アプデしてるの？
[557.828] shiro_risu01: umeCat
[557.882] ragdoll303: ウメ殺意！
[558.030] 新福菜館マン: ガガガガイルは
[558.387] berurusuko: カゲが未来を変えるんや！
[562.299] いぬみみ: 1時間後・・
[563.475] danny_love_danny: きええええ覇権きたあ
[563.667] bokaaan: ガイルでしょー結局ーｗ
[564.486] gomesu: ルークはいっぱい沸きそうだ
[564.773] (S)トシロー: うめかげ見たい
[565.979] shiro_risu01: あるんか！
[566.589] ebismine47: と言って使わない定期
[567.888] げろげろまる: リュウの不利キャラ落ちてるなら行けるんちやうか
[568.741] fabregas123456789: リュウかなりたま速いで
[568.744] (S)kanzakinaochan: RyuChamp
[570.961] Qpo_: "If Kage ends up only slightly weaker than Luke, I'd probably go for Kage"
[571.527] tabibitox: 屈中Ｐ屈中Ｐ中足弱昇竜CAカスあたり追撃竜巻昇竜とか
[572.290] reganfa: ウメさんは一強キャラ好まないよね
[574.850] kinakobuta: とりあえずリュウみよう！
[575.301] IKEPON_: リュウ昇竜対空CAいけますよ
[575.331] 食用ばるさみこす: ついに殺意の波動に目覚めたか
[575.835] ニャンコロ助: 梅影ｷﾀﾜｧ━━━━━━(n'∀')η━━━━━━ !!!!
[576.175] brutal9998: リュウがもう少しいければなあ
[576.362] neon_d99: まあプレイしてみてでしょう
[578.383] (S)yut7xot8: ウメ影期待しちゃうね〜＾＾
[578.549] guruguruwan: アレクは使わない？
[580.156] (S)tama_zx61: ガイルでいいでしょ 小足からサマーいけるっす
[580.669] weeep1: とりあえずsakoさんに発掘お願いしようか
[580.802] Ceciltaisa: カゲハラ
[581.447] burisuke: ルークエディション！
[583.333] (S)Rodianis: PowerUpL
[584.312] (S)いがぐりころころ: うめカゲ見たいなー
[585.014] papipopon: 正直ルークのほうが大分強そう…
[586.052] feel2525: 楽しいのはカゲ
[587.200] itinitizaku: もう調整は来ないのかな？
[587.877] bokaaan: そっすよねｗｗ
[589.309] reganfa: ルーク強すぎるよ
[590.863] donachan: さっすがにルーク
[591.107] 1108044k: 伸びた立ち中K先端から瞬獄っていけるの？
[591.403] foriqos: ですよねｗ
[591.667] une3333: まぁそうね
[592.616] maddy2623: プロだしね・・
[594.013] よもぎです: ルークだ
[594.441] (S)ichi_gatsu: やっぱルークかあぁ
[596.090] same_no_obake: ガイル 
[596.438] (S)tama_zx61: ガイルはきついって嘘でしょｗｗｗｗ
[597.768] mmiiacha: そうだよねぇ
[599.227] rxz_2017: さよならガイル
[600.632] ねこざけ: ウメガイル好きだった
[602.052] archerenshima: whats ur thought on Guile after the patch updates?
[605.473] outerheavenats: outerheavenats subscribed with Prime. 
[605.604] (M)Moobot: @OUTERHEAVENATSさんTwitch Prime登録ありがとうございます！
[605.909] archerenshima: Daigo san
[606.944] bokaaan: まぁガイルっしょｗｗｗ
[607.037] latenight000: ガイルさよならか
[608.293] (S)シミズム: さよならガイルかー
[608.390] (S)njpw2017: 調整はまだ来る
[609.086] (S)いがぐりころころ: ルークですよね
[610.133] akiaki0612: ガイルvt２の中足ヒットからcaまでいけるの楽しい
[610.401] ememeume: ガイル大佐…
[612.379] degajun: ガイルはVトリ２次第なんか
[612.461] feel2525: ルークは人口がやーーーばい
[613.494] hiaaru: FamilyMan
[614.233] (S)じゅうしまる: umeGuile
[614.763] suupu: キャラ変するとしたら何年振り？
[615.240] reganfa: まぁトッププロみんなルーク使ってカプコンに無言の抗議だよ
[615.709] fubatusitai: 空中波動がどれだけ牽制に使えるかみたいな
[616.037] auroradon5: トリガー2は中足先端やコアコアからサマソ入ります
[616.080] usizura: りゅういけるやん！に期待
[617.013] Eigyotyu440: Eigyotyu440 subscribed with Prime. They've subscribed for 65 months! 
[617.117] (M)Moobot: @EIGYOTYU440さん、65ヶ月目のサブスク登録更新！ありがとうございます！
[617.177] おすかいと: まだ触ってないから
[618.452] brutal9998: サブはどれに可能性ありそう？
[619.375] gomesu: 最後に優勝したし！
[619.464] ememeume: umeGuile
[619.961] canadian__ed: canadian__ed subscribed with Prime. 
[620.455] (M)Moobot: @CANADIAN__EDさんTwitch Prime登録ありがとうございます！
[621.592] げろげろまる: ルーク同キャラエディションの
[621.764] 157655: 中足サマー１本のモチベ
[621.857] Nao_iwt222: ネタ枠も1キャラ欲しい
[622.207] berurusuko: まあ梅ちゃんの戦略的にね
[623.274] Akiosroom: メタ的に考えるとカプコンはルークを使ってほしいのかな？販促的にも次の主人公をウメハラさんに使ってほしい的な
[623.400] kaigaizei: トリ2ガイル自体は強いな
[624.247] (S)kanzakinaochan: umeSad
[624.920] vorivoriman: ガイルさようならか
[625.176] (S)njpw2017: どう考えてもルークが強い
[626.643] weeep1: ルークだらけはつまんねーなあスト6でやれって感じだよねｗ
[629.017] stabata54: ガイルお疲れ
[629.931] 新福菜館マン: ソニックでゲージプレゼントしちゃうのが致命傷なん？
[630.395] kamiyamamulti: ガイルどの辺が致命的ですか？
[630.605] (S)ichi_gatsu: 読むのかｗ
[631.341] Ramen_soul: WutFace
[634.287] 有栖永真: 有栖永真 subscribed at Tier 1. They've subscribed for 17 months, currently on a 16 month streak! 
[634.349] (M)Moobot: @ALICE_EISHINさん、17ヶ月目のサブスク登録更新！ありがとうございます！
[635.057] 食用ばるさみこす: 大会ルークばっかりになったら流石に調整したりするんかなぁ
[636.046] yuta123456889655: とか言いつつ結局ガイルなのがいつものパターン
[636.073] IKEPON_: リュウいけるに期待したい
[643.541] mosaic000: リュウは
[645.537] stren_jp: まだチャリティーしてるの？？？？？
[646.834] firmamentord: Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu! Ryu!
[647.710] bokaaan: リュウいけるは ないっすｗ
[648.470] berurusuko: みんな使ってくれたほうがルーク緊急弱体化くるかも
[648.698] plnmt: カゲは特に中P大竜巻が繋がるようになったのと、caカス当たり弱竜巻大昇龍が熱いらしいです
[648.752] degajun: 鉄拳のリロイ現象みたいにルークばっかになったらつまらんな
[648.860] Qpo_: he just said that if the new trigger is strong eonugh to not have to depend completely on sonic boom  then Guile is fine, I think
[649.200] (S)dj0d4y4k4: ルークもう見たくねえ～
[650.013] same_no_obake: 同キャラつまらないのはきつい
[650.531] latenight000: ガイルは同キャラ面白かったしねぇ
[650.986] reganfa: ボンちゃんもマゴさんももうルークでしょ
[651.439] (S)kanzakinaochan: プロみんなルークやるのやだなぁ
[651.459] vorivoriman: 同キャラまじでおもんない
[653.838] フﾄ: カゲがルークにいけるならあり？
[654.771] maddy2623: ルーク人気キャラにしたいのかもしれないけど戦っててつまんないからむしろ嫌い
[654.912] tabibitox: ガイルはルーク用に残しておこ
[655.196] fabregas123456789: リュウセビ滅できるでw
[655.821] kinakobuta: プロみーんなルークって言ってる
[659.505] brutal9998: 同キャラつまんないキャラ嫌っていつも言ってるもんね
[659.963] okamasa456: ルークだらけのCTP
[660.323] kaituburi: 決勝ルーク同キャラ。。。地味そうだ
[660.812] (S)MisaMisa_12: ルークをなぎ倒すキャラの方が応援したい
[662.977] toaluH2O: ルークばっかりやろなー
[662.982] suupu: チャリティーゲージ残ってるで
[665.449] げろげろまる: 今のところ皆ルークっぽいしな
[666.779] kaigaizei: ドネーションバーが出っぱなしなんよ
[668.397] shiro_risu01: あーバー表示されてるからか
[668.790] ao_sagi: ao_sagi subscribed at Tier 1. They've subscribed for 57 months, currently on a 57 month streak! 
[668.888] (M)Moobot: @AO_SAGI with the 57 months re-sub! 
[669.254] お兄ちゃんお姉ちゃん: 大規模大会のスケジュールめっちゃ難しくなりそう
[669.896] chinnen1: 逆にみんな素直にルーク使って、カプコンにあななたちが作ったゲームがこれですよってアピールしてもいいような・・・
[671.858] 1108044k: 下に出てるよチャリティの
[672.230] 滝川投ゲステル: 滝川投ゲステル subscribed at Tier 1. They've subscribed for 38 months! 
[672.292] (M)Moobot: @TAKIGAWA_NAGESUTERUさん、38ヶ月目のサブスク登録更新！ありがとうございます！
[674.192] 45tm83: ルークへの被せキャラってなんだろう
[675.040] son_gokutsubushi: カゲは脳汁が出るから楽しい
[675.961] だいこん_: カゲ弱竜巻大昇竜いけんの！？
[676.210] よもぎです: ルークはなんでそんなに不人気なの？強すぎる？
[678.155] arigato_arigatou: thank_you_wa_nihongo_de subscribed with Prime. They've subscribed for 14 months, currently on a 1 month streak! 
[678.206] (M)Moobot: @THANK_YOU_WA_NIHONGO_DE with the 14 months re-sub! 
[678.303] ~MISSING_COMMENTER_INFO~: スト6のためにもいいと思うよ
[678.459] bokaaan: 反ルークでいこう
[679.794] shopynis: まあ触ってみてからね
[680.371] (S)dj0d4y4k4: ストシーン冷えるのいややなあ
[680.560] degajun: ルークはなんかストリートファイターのキャラって感じしないんよな。。
[681.188] vorivoriman: カゲいっちゃうか
[681.841] tabibitox: ﾈｶﾘやばい
[682.611] sei_6: かりんとかキャミーもきえたらルークだけやん
[683.453] fez_geburand: ガンファイト兄さん報われたか？
[683.965] raurakd: 今回の調整総じてどう？
[684.159] いぬみみ: 尻軽ｗ
[684.753] meganesandesuyo: でもウメちゃんだったら全一ルークになれそう
[687.000] sly_igozei: ベガも強い
[687.267] berurusuko: マゴさんも怒りのルーク
[687.693] (S)tasuminn: ルークメタ何キャラかいないとね
[688.378] SOLAS1D: ガイル調整の文章かなり気つかってる感じだったけどその点はどう感じましたか？
[690.381] sasanqua1985: 影の空中波動はアビのみしゃがみでも当たるみたい
[691.208] gomesu: トパチャンルークばっかりになりそう
[691.276] おすかいと: カゲに期待
[691.353] ~MISSING_COMMENTER_INFO~: ルークみんな使うよなあこれ
[694.624] sly_igozei: ダルシムも強いし
[695.405] feel2525: みんなサブにルークもっとく感じか
[695.712] slavetolm: ガイルのVT2凄そうだから早く話聞きたい
[696.494] hato_pizza: アレクはどうですか
[697.730] fez_geburand: ベガとコーリンは許されたね
[697.954] ~MISSING_COMMENTER_INFO~: 別にいいと思う
[698.403] BiffTannen777: どうせもう５やらんやろ、６に引っ越せってメッセージやろな
[698.565] (S)njpw2017: キャミィ使ってた人はルーク行くよね
[698.650] totomaru_chan: 正直プロがルークだらけになったら観てる側は面白くないです
[700.293] olivemocomichi: サーバー入れなかった
[700.513] kinakobuta: ウメちゃんの視点でルークに立ち向かえるキャラ見つけてほしい
[701.331] antoninovich: アレク強くなったけど上に通用するのかなあ
[701.491] (S)亀仙人_ナム子: 亀戦人_ナム子 subscribed with Prime. They've subscribed for 6 months, currently on a 1 month streak! 
[701.558] oggy_ggy: 配信画面にチャリティーのバー残っちゃってる
[701.567] (M)Moobot: @KAME765さん、サブスク登録6ヶ月目！
[701.644] brutal9998: カプコンがルーク強いままにしたすぎか
[702.279] ebismine47: ベガも相当強いで
[702.858] mosaic000: ミルダムやんないの
[704.396] archerenshima: wooow I think Daigo have many characters can play on tournament after the final patch
[705.817] cafe_gondo: ジュリやベガ辺りも強そう
[706.027] おかめ王: みんなルーク一強認めてるもんね
[706.439] ryo_1600: ryo_1600 subscribed at Tier 1. They've subscribed for 16 months, currently on a 4 month streak! 
[706.497] (M)Moobot: @RYO_1600さん、16ヶ月目のサブスク登録更新！ありがとうございます！
[707.345] dk_1201: 結局前verより見るキャラ減ったらやだなあ
[707.986] archerenshima: Is that ture?
[709.246] bokaaan: カリンキャミィまじで終わってる
[711.194] jrmallaba: ***
[712.161] okamasa456: 最後勝ったやつが偉いから強キャラ選ばないとね
[713.528] toshio0224: 鉄拳のリロイ並みにひどいんか？動画勢だからわからん
[715.950] pi_dayo: 全員ルークはつまんなすぎ…！
[717.370] usizura: ウメアレク見たいけどウメちゃん投げキャラ使わないよね
[718.018] weeep1: tier1キャラのお仕置きが極端すぎたね
[718.536] おすかいと: カリンかわいそう
[718.578] son_gokutsubushi: ルークだらけは流石につまらん
[720.444] reganfa: ルークむしろ強化だと思うダメージトリガー２倍溜まるのと結局自然回復維持だし意味分からん
[721.674] esrever42: ルーク全員で使えばファイナル最終調整ワンちゃん
[721.879] 将門ゴルゴロ: リロイエディション状態
