[729.157] 高架橋橋脚下: 顔めっちゃ隠れてるのにw
[730.433] 大六天魔王: PS、、、パクナツメとシャンクズの頭文字やな
[730.660] rouhey: ゴレンジャイみたいになってる
[743.664] (S)kina_g1: チンのは一番キモい露出の仕方
[754.967] (S)tatsuroism: あれ？
[758.245] そーわ_: これは今合同でやるところですか？
[759.615] yukito127: もぐもぐ～
[762.429] nana43: もぐもぐ～
[763.044] (S)chinpanmansan: @大六天魔王 パクナツメだれやねんw
[764.291] 7lowcy: @大六天魔王 誰その韓国人
[769.744] hiro_918: karubisBakubaku
[771.415] てんまああ: あれ？ヘラシギいるやん
[788.748] (S)dateascka0930: 今から買いに行くか
[790.851] joukunuoj: ｗｗｗ
[792.387] (S)ro__ots: 客船合同
[795.281] (S)maro_0827: パクナツメwwww
[796.088] (S)PINODAY0: kettunFurue
[797.180] tkshan: 横取り来たらさらに大変だ
[800.400] karaagexvii: 頭隠して生足隠さず
[802.418] (S)hitorigotuu: 今来た、デヤンスとへらしぎフュージョンした？
[807.442] kaaaaaaaaame142: パクナツメww
[811.032] happysakai: パク・ナツメ
[812.587] ももけろ: ボスイケメンやな
[813.072] yukito127: いいねぇ
[813.133] みんみん458: どうみても合同
[815.186] (S)タナカ太郎: 朴ナツメ！？
[815.788] (S)ponzy48: @7lowcy wwwww
[819.497] (S)ender_ear: フュージョンしたらサンライズになった
[819.751] (S)マルディー: この時間だし残してた横取り来そうだな～
[823.033] tkshan: しゃあなしやな
[827.875] みんみん458: シャンライズやで
[831.887] 甘酒014: いいね
[832.359] rouhey: さすまる
[832.425] (S)ムーンバナナ: いい
[832.820] (S)PINODAY0: さすまる
[835.977] ゴルーン: 警察多いからなぁ
[836.188] (S)ムーンバナナ: 天才や
[837.009] (S)obisan4646: さすまる
[838.019] (S)べねでぃくと: いいね
[838.995] mochimochi9_0: 客船で合同？
[839.229] (S)ketanketa: さすまる
[841.127] snack_jpn: まるすごいわ
[841.348] ももけろ: さすまる
[842.609] (S)はふやん: いいね
[845.609] (S)ムーンバナナ: まるちゃんすげぇ
[846.916] pteryuu: さすまる
[848.130] みんみん458: IGLまる強い
[849.344] (S)sakae_gumi: まるが輝いている
[850.708] (S)PINODAY0: sorapo1Yo
[857.889] akabeko0003: 新たな作戦生まれる感じいいな
[865.138] takanaya0083: フナ提案なんだよね
[865.968] (S)ponzy48: 発想力◎
[876.541] (S)hakusai142: ヘリ2台あるならいいね
[905.331] (S)chinpanmansan: 中の銃のレベルたかくね？w
[906.606] (S)カニピザ: 今来てシャンクズさんたちは今何しようとしてるんですか？
[915.556] (S)かぐらんチャン: たしかに
[920.077] tkshan: 最強部屋は開けないのが鉄則だな
[920.937] (S)ponzy48: @soniya1820
[923.904] (S)haba_kiri: コンセと客船
[929.541] (S)chinpanmansan: @カニピザ ccと客船合同らしいですよ」
[930.485] (S)ponzy48: コンセと合同でーす
[930.713] 声に出して読むな: コンセあつ
[933.401] glasses02: いいね
[936.161] (S)カニピザ: 皆さんありがとうごさいます！！
[957.957] zora9712: 合同のために服合わせた感じですか？
[964.391] (S)ponzy48: そうでーす
[965.407] (S)chinpanmansan: そうですね
[967.120] (S)かぐらんチャン: コンセあちぃー
[973.643] zora9712: ありがとうございます！
[979.286] テルン: ワクワク！
[985.830] guridebi: 優しい世界
[989.242] machina01remake: SAYきたー！！
[998.118] kaaaaaaaaame142: かんセルジュ出来ないかな
[1018.716] ゆういち084: 服つくらなあかんから
[1020.963] (S)かぐらんチャン: 服作る時間あるのか
[1033.630] (S)chinpanmansan: 服つくれるか
[1036.676] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[1039.816] (S)ponzy48: 時間きびいかなー
[1044.860] ぷにくま: ヘリなら服わかりづらいしそっちのがいいか
[1057.915] らんちょんミート: 服つくらんとか？
[1064.802] sho3327: かんセルジュってどういう意味ですか？
[1069.048] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[1070.400] みんみん458: ブースティングか
[1070.632] pteryuu: 入れたいんだ？
[1089.356] user127438539: 入れたいんだ
[1091.539] hajime227: あ
[1092.982] yukito127: また油そば食べたんか？
[1094.429] nana43: また激動が
[1094.870] sebasutinn: 今ナニ中でしょうか
[1095.649] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[1100.328] (S)tofu_mint: 💩 
[1101.313] zannennako: FutureMan
[1102.632] (S)asobuhimajin: 寿司の後遺症
[1105.044] (S)ぶらさぶ: sorapo1Au
[1105.247] (S)yahoo1192: あたったか
[1107.362] k140316: 寿司食べるからー
[1114.515] yukito127: ｗｗｗｗｗ
[1114.522] (S)ender_ear: 普段からお腹弱いんですか？
[1117.634] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[1118.119] (S)arusa_02: いてらｗ
[1118.284] himajin_235: 寿司当たったか？
[1120.542] (S)chinpanmansan: ＣＣと客船合同
[1120.743] (S)つちのこ83: いてら
[1121.067] (S)未知数みちお: 寿司の日お腹弱い
[1121.208] 0_157_: StinkyCheese
[1121.565] (S)qpchan: いてらー
[1122.151] hiro_918: karubisMouuuu
[1122.427] ももけろ: 大丈夫か
[1122.519] らんちょんミート: 間に合うか？
[1122.729] (S)c_world_: ww
[1123.223] 雪乃_にし: いてらw
[1123.255] (S)toris_2: fantas22Kitanai
[1123.650] zannennako: 💩💩
[1123.864] nana43: いっといれ
[1124.601] hikarinxxxx: 匂うな
[1125.032] (S)べねでぃくと: いてら
[1125.095] tec1228: 湯冷め
[1126.715] (S)八咫烏: batoraSushi
[1128.863] (S)でじたま: 寿司の日激動だねw
[1129.466] umi1531: ロケラン飛んでこないかなー…
[1131.358] miyayou864: フンフン
[1131.596] kamase1nu422: StinkyCheese
[1132.578] (S)ketanketa: まにあえー
[1133.377] (S)chinpanmansan: fantas22Muscle
[1133.466] (S)tofu_mint: 気をつけて 
[1133.685] (S)オレティンコスモール: 寿司ナーフ
[1135.554] tkshan: 最近腹痛やばいね
[1136.121] asagaya_a: StinkyCheese
[1136.336] (S)猪木さんガチ勢: 青い魚ははやいからなｗ
[1136.664] (S)ぶらさぶ: sorapo1Baki
[1139.959] (S)ティータイムはぴお: バーニングタイム
[1140.030] (S)シナシナな梨: 腸激動
[1145.509] (S)amos5656: 間に合ってくれ・・・
[1146.048] 甘酒014: WutFace
[1146.581] (S)tarako_0420: お腹激動！お腹激動！
[1148.821] kore552: ビオフェルミンＳ飲もう
[1164.916] york2928: ファン太でも💩には勝てない
[1165.872] (S)sankakubuchishinjukyo: ﾌﾞﾁﾁ
[1174.345] (S)tofu_mint: ウンチングタイムお願いします(早口)
[1185.603] イクラちゃ: おしりがバーニングタイム？
[1186.104] 0_157_: StinkyCheese
[1188.551] surumekabu: 席離してるうちにこんな大所帯になってたw
[1189.790] (S)toris_2: StinkyCheese
