[894.652] (S)あずきば: あずきば subscribed with Prime. They've subscribed for 4 months, currently on a 1 month streak! いつもありがとうございます！
[895.413] (M)gameinntwitch: 完璧だぁ
[895.843] v_harumi_v: おおお！タイマーもばっちし
[910.721] ~MISSING_COMMENTER_INFO~: w
[922.803] raurakd: 余裕たっぷりw
[929.520] rockmantarou: 負けたらやめさせられるー
[935.426] のぞみくん: 心から声が出てるね
[957.751] 蝉時雨: 右下で小人が暴れてるのおもろい
[959.129] (S)kakutora_no_o: 点差からくる温度差すごいなw
[974.633] (S)kakutora_no_o: 止めてるなぁ
[1013.849] (S)y_proto: イウサールのコマンドミスしなければ勝つ
[1019.148] rockmantarou: ジョンうめーー
[1021.108] nameless_774: こくｗ
[1022.389] (S)kakutora_no_o: あーw
[1024.573] maddy2623: 勝久の声デカすぎかも
[1025.455] dasaku_yaniki: ジョン君のってる～
[1036.567] kobetaf: ジョンともけの試合久々に見たかも
[1040.967] ~MISSING_COMMENTER_INFO~: w
[1046.591] (S)kakutora_no_o: めっちゃ止めてるぅ
[1091.675] のぞみくん: いったんもけ
[1091.893] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1095.133] raurakd: 草
[1096.531] v_harumi_v: 余裕がｗ
[1097.714] aranami0: 余裕やｗ
[1104.343] v_harumi_v: こまごまってｗ
[1104.430] (S)kakutora_no_o: 富豪の考え
[1104.631] だいこん_: LUL
[1105.264] (S)ponponguripon: こぜになんて
[1122.241] (S)y_proto: ラシードは普通に強いと思う
[1149.907] (S)すれいまん: 食らい逃げ
[1162.355] (S)shinobityaan: shinobityaan subscribed with Prime. 
[1164.556] maddy2623: ジュン
[1172.058] (S)kani7321: ジュン？
[1174.375] axlmonk: じゅｗ
[1177.908] (S)FilthyOjiChan: www
[1181.517] meganesandesuyo: じゅんww
[1193.205] (S)kakutora_no_o: でるぅ
[1197.360] ayataka33: あーー
[1203.423] nameless_774: ｗｗｗｗｗ
[1204.743] aranami0: ｗｗｗ
[1204.797] v_harumi_v: ｗｗ
[1205.481] maruino351: ｗｗｗｗｗ
[1207.380] shifoncafe: ｗｗ
[1207.823] sai927: まずいまずい
[1207.985] dasaku_yaniki: ｗ
[1209.082] (S)kakutora_no_o: wwwww
[1211.678] axlmonk: ｗｗｗｗｗ
[1213.554] siba510: ｗｗｗ
[1214.088] (S)kakutora_no_o: 富豪がw
[1220.615] johndoe6523rp: ｗｗｗｗｗｗｗｗｗｗｗｗ
[1221.449] (S)kakutora_no_o: 空投げぇ！
[1224.478] v_harumi_v: 声出てきたー
[1228.886] (S)kani7321: ハメツダ
[1233.221] ster9908: 同時にsfl見る方法あるんですか？
[1239.872] (S)kakutora_no_o: あ
[1246.223] (S)kani7321: 二窓
[1260.070] だいこん_: umeFail
[1263.945] (S)kakutora_no_o: ジョンつっよ
[1270.758] dasaku_yaniki: こく完璧やん
[1276.267] donekofg: スマホで見てるんやろ
[1276.763] (S)gularain: ｗｗｗｗ
[1278.825] ふかしいもん: 守りにwww
[1280.242] ayataka33: ｗｗｗｗｗｗｗ
[1283.074] ヨコグシ: wwww
[1284.600] ひじきもち: 面白すぎるｗｗｗ
[1286.198] sistersguitarreplica: w
[1292.588] tabibitox: ジュリだしナウマンだろうな
[1301.621] kahaku91: 金持ちがしゃべりだしたｗ
[1318.359] 蝉時雨: いや〜荒れたな
[1339.737] johndoe6523rp: 板ww
[1342.932] maddy2623: 大将の組み合わせ予想するの直前じゃなかったっけ？
[1381.588] chanmipoin: 自分、リークいいっすか？昨日マゴが板ザンのサブ垢見つけてジュリやってました
[1394.564] (S)y_proto: この二人は明日の方が重要だろうし
[1397.589] 蝉時雨: leakきたああああああ
[1400.436] sugata128: つまりマゴさんが･･･？
[1423.779] (S)kakutora_no_o: ん？
[1428.858] kahaku91: こくなんで口紅してるの？
[1448.732] 5don: @ster9908 Twitch theater みたいな複窓サービス使えば、あるいは。無料です
[1474.233] yukarigham: あれ予想やしてるじゃん
[1494.878] v_harumi_v: へー
[1502.091] Ryota_theCAREN: サブ垢ばれちゃったやつだ…笑
[1505.329] yousuke778: ジュリザンギはザンギ有利らしい
[1509.443] サルクモ: youtubeが音ズレで少し時間かかるかも、次の戦い
[1513.434] kasasagi7: マゴさんがサブ垢を突き止めた話ねｗ
[1515.935] (M)gameinntwitch: 大丈夫そうね。仕事戻りますー
[1520.553] NekkyOne: サブアカってどうやってばれるの？
[1522.736] (S)ponponguripon: こくにい発色が良すぎる
[1541.636] takkuoki03: ちなみにサブ垢全然勝ってなかった
[1542.956] (S)switchdv: ザンギが有利だと思う
[1548.565] cielcloudy248: ザンギに有利なんてあるんですか！？
[1551.079] v_harumi_v: @gameinntwitch いつもありがとうございます。お仕事がんばってくださいませー。
[1561.316] gorogorogorn: 板マリさんザンギ使えんの？
[1568.043] Hiclere: ほんとにきた
[1570.318] (S)hoshi_boshi_0: メンおじありがとうございます
[1572.530] une3333: ザンギ！？
[1573.253] narakunohaman: ジュリの玉をニーでぬけてくる
[1573.495] (S)hoshi_boshi_0: お！？
[1573.796] (S)kakutora_no_o: ザンギきちゃあ！
[1574.475] jjjackass: きたー
[1575.200] shifoncafe: きたああああああああ
[1577.810] ayataka33: きたｗｗｗｗｗｗｗｗ
[1577.983] battyo76: ザンギやー！
[1580.601] (S)hachibee888: ザンギきたか
[1581.690] あーるさんは大学生: ザンギ！！？？
[1581.883] (S)akinoko2: きたぞ！！！
[1582.760] 蝉時雨: リーク通りじゃねぇか！！！
[1584.045] gorogorogorn: きちゃあ
[1584.675] SOLAS1D: ジュリにザンギって相当きつそうだけど
[1585.035] Hiclere: ルークとか不利だと思う
[1585.657] char1iebr0wn: キャミィとかザンギだるそう
[1585.971] chiysan: ザンギ！？
[1586.363] (S)kakutora_no_o: きたぞ！w
[1587.966] jamxqc: サブ垢ザンギ
[1590.272] Ten613_: えｗ
[1592.961] Ryota_theCAREN: 本当に来たw
[1598.848] axlmonk: 板Z！
[1602.309] tabibitox: 予想通りやろ
[1608.649] (S)kakutora_no_o: 板Zよ
[1611.841] maddy2623: いたZのサブ垢、韓国国旗にしてて笑ったｗ
[1613.247] akichi018: 板Zザンギ
[1624.576] umanabe: マゴ困惑ｗ
[1629.499] らすねこ: 実際待ってた
[1632.725] 蝉時雨: 板橋区は韓国領土！？
[1635.487] (S)gularain: ツイッチでみてるよ
[1638.979] LGA2011: ツイッチで見た方がいい
[1639.667] ひじきもち: YouTube調子悪いからツイッチでよきだとおもう
[1640.152] (S)kakutora_no_o: ツイッチよー
[1650.553] LGA2011: ようつべ遅延しすぎやねん
[1651.616] (S)kamishiro00000: kamishiro00000 subscribed with Prime. They've subscribed for 5 months, currently on a 1 month streak! 
[1679.289] (S)kakutora_no_o: これはどうなるんだ
[1689.001] bec118_japan: 俺はz
[1689.696] 蝉時雨: リークでは練習してるらしいからなぁ
[1692.302] (S)y_proto: 今日はTwitchの方が若干早いな
[1692.455] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1697.505] nakayubi15: youtubeで見るなら二倍速再生で追いつかないとだね
[1698.143] rockmantarou: マゴさんおもろw
[1698.863] (S)gularain: マゴさん自信ありそうだけどなあ
[1700.484] v_harumi_v: 顔占い
[1706.566] shiro_risu01: umeCat
[1716.193] donekofg: 顔占いは流石ウメちゃんよ
[1753.406] meireon: マゴかなぁ
