[6.682] (S)だーさと: うぃ～
[680.336] khazix_opgg: あー
[683.575] まったんひえしょ: セイジいいね
[683.846] GORICYAN: やっぱり政治
[684.075] (S)yuuuuu066: データ班つんよ
[685.270] (S)sakae_gumi: おいおいポンコツどこいったセイジ！
[685.431] (S)masa1671252: 人多くて心なきいないか
[685.945] (S)sheseec: ありそうだな
[686.709] (S)ネオノアン: なるほどなぁ
[688.272] 老人おじいちゃん: なるほど
[688.376] ebitiri135: せいじすごいなw
[688.959] mojamojamojaaa: セイジマジで優秀やな
[689.428] ちゃびさん: 売れる心なきがほとんどいなかったんよな
[689.721] ddddars: データ班たすかる
[689.771] スピリタスン: もうせいじ諜報員やんｗ
[690.594] (S)gtttjo1: 5番みたいな事が起こってるってことか。
[690.885] (S)Karasususu: すげえ考察だな
[691.550] jagpmda: 歪んだか
[692.114] besdfh: 3000番代が戦場なのでは？
[692.685] (S)banndana5115: 数字が動かなかったのか
[694.412] (S)nvyf6flup11ffpbyzy3k: せいじ有能すぎる
[694.607] あいまー: セイジ政治
[696.068] alohapon: はえー
[696.275] (S)tgf1357: キルポって高いの？
[696.432] hy0ug: 有能
[696.651] (S)highsoooooo: これは政治
[697.291] icecode25: データキャラ
[697.466] なんかちゃ: 政治すぎ
[698.248] rick12237: データキャラセイジ
[699.286] (S)なぎころね: 人が多くて心なきもわかない、バチバチならそうなるのか
[699.292] (S)umeeech4: 田舎だから心なき沸かないとかあるのかなｗ
[699.423] machina01remake: 血みどろじゃんｗ
[700.197] (S)bakubaku52: 歪むとキツいね
[701.199] (S)ネオノアン: なるほどなるほど
[701.996] (S)バロン67: セイジすげえｗ
[702.313] kanapeach99: なーるほど
[702.518] えだまめ侍: マネージャー枠
[703.149] (S)ginjiro27: 警察利用か
[703.298] 高架橋橋脚下: 政治柱
[703.584] pleiades_ruri: 人口密度問題難しいなー
[703.705] (S)yasaigirai2003: 売るの難しいのか
[704.333] (S)papet1452: 3ギャング合同もより売れなくはなりそうよな
[704.721] (S)カメモチ: なるほどなー
[704.753] (S)ライハ0514: データキャラ
[704.787] (S)hagepicarin: セイジすご
[704.941] kAzU_090: おいおい優秀すぎる
[705.263] (S)けかにほこ: 行っても売れないなら3団体にしても意味無いかもな
[705.783] (S)manjuoisii: 警察も来たのか
[706.224] でぃっと_: 情報量えぐいwww
[706.674] (S)takenoko45: セイジそれは言ってくれ！
[707.048] (S)negishio_taro: セイジデータたすかる
[707.295] khazix_opgg: まじでセイジ賢いなw
[708.483] maka_west: 完全に諜報担当やなｗ
[708.738] k140316: うわぁー大変だw
[709.074] icecode25: データチンピラ
[709.763] (S)masa1671252: ある意味作戦かｗｗ
[709.987] (S)しゅうげっそー: データキャラ今までいなかったもんな
[710.260] おべいる: セイジ「さん」
[712.361] (S)ネオノアン: セイジ優秀すぎる
[712.363] (S)peace2233: データキャラｗｗ
[712.881] shion0000000: サプつけてないんかよww
[713.046] (S)さんこん: 人増やしてわかなくして維持か
[713.293] れるれ: 優秀すぎんだろ〜
[713.867] ysk314_: せいじ有能すぎる
[715.207] okometora8: 形質介入はしんどいよな
[715.978] barubatos00: セイジアンボスにしたほうがいい人材では？！
[716.289] (S)shingoshigaa: セイジ情報柱
[716.382] (S)イブプロフェン配合の白井: jaiker3Nade
[718.173] rinori_ddd: めっちゃ知ってんなw
[723.753] (S)sheseec: ｗｗｗｗｗｗ
[725.226] osyasetarou: セイジさん
[726.082] alohapon: それはそうｗｗｗ
[726.939] けんちんんんん: セイジの情報収集凄いな
[727.122] まったんひえしょ: 流石です。セイジさん
[729.274] スヌリ: せいじの分析部隊良いね
[729.448] ~MISSING_COMMENTER_INFO~: すごいな
[732.038] koiotyan: てことは他で発砲させれば撹乱できるかw
[732.395] (S)jessie_0v0_: これは政治(セイジ)
[733.507] (S)58qqq: セイジこれ枠で呼んだわけじゃないのにw
[733.514] 微炭酸こぉら: 維持するなら逆に発砲通知出して警察呼べば逆転されにくくなるのか
[733.782] (S)ムーンバナナ: サプつけなかったんや
[733.809] (S)コスケマン: セイジ優秀すぎるかw
